Stock Symbol,Company Name,ISIN Code,Qty,Average Cost Price,Current Market Price,% Change over prev close,Value At Cost,Value At Market Price,Realized Profit / Loss,Unrealized Profit/Loss,Unrealized Profit/Loss %,
SHRTRA,SHRIRAM FINANCE LIMITED,INE721A01047,30,677.72,943.55,- 0.38,20331.60,28306.50,1956.20,7974.90,39.22,
SIEMEN,SIEMENS LTD,INE003A01024,5,5453.41,3758.70,- 2.22,27267.05,18793.50,6380.66,-8473.55,(31.08),
SKYGOL,SKY GOLD AND DIAMONDS LIMITED,INE01IU01018,110,391.30,523.05,+ 0.39,43043.00,57535.50,8017.51,14492.50,33.67,
SOLIN,SOLAR INDUSTRIES INDIA LIMITED,INE343H01029,4,12063.65,18363.00,+ 0.64,48254.60,73452.00,25225.34,25197.40,52.22,
SOMCER,SOMANY CERAMICS LIMITED,INE355A01028,40,438.51,502.40,+ 1.93,17540.40,20096.00,(2373.50),2555.60,14.57,
STABAN,STATE BANK OF INDIA,INE062A01020,70,703.94,964.70,+ 0.03,49275.80,67529.00,28067.51,18253.20,37.04,
SUNF,TSF INVESTMENTS LIMITED,INE202Z01029,20,625.85,409.15,+ 0.06,12517.00,8183.00,(651.38),-4334.00,(34.62),
SUNIRO,SUNFLAG IRON STEEL CO LTD,INE947A01014,52,256.18,373.10,- 0.17,13321.36,19401.20,4510.36,6079.84,45.64,
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,12,1415.77,1778.60,- 1.14,16989.24,21343.20,3019.24,4353.96,25.63,
SUPLIF,SUPRIYA LIFESCIENCE LIMITED,INE07RO01027,18,642.54,966.00,- 0.28,11565.72,17388.00,0.00,5822.28,50.34,
TATCO,TATA COFFEE LTD,INE493A01027,25,326.70,344.80, 0.00,8167.50,8620.00,0.00,452.50,5.54,
TATCOV,TATA MOTORS LIMITED,INE1TAE01010,107,311.05,380.25,+ 0.20,33282.35,40686.75,0.00,7404.40,22.25,
TATELX,TATA ELXSI LIMITED,INE670A01012,4,9010.91,4355.00,+ 1.62,36043.64,17420.00,(17069.27),-18623.64,(51.67),
TATMOT,TATA MOTORS PAX VEHICLES LTD,INE155A01022,35,933.80,394.30,+ 0.10,32683.00,13800.50,43985.32,-18882.50,(57.77),
TATNID,TATA NIFTY INDIA DIGITAL ETF,INF277KA1364,826,90.13,82.33,+ 0.73,74447.38,68004.58,0.00,-6442.80,(8.65),
TATPOW,TATA POWER CO LTD,INE245A01021,269,354.31,417.75,- 0.71,95309.39,112374.75,89859.44,17065.36,17.91,
TATSPO,TATA STEEL LONG PRODUCTS LTD,INE674A01014,10,807.59,829.95, 0.00,8075.90,8299.50,4270.12,223.60,2.77,
TATSTE,TATA STEEL LIMITED,INE081A01020,2260,126.20,209.60,+ 0.76,285212.00,473696.00,318229.05,188484.00,66.09,
TCS,TATA CONSULTANCY SERVICES LTD,INE467B01029,83,3431.93,2304.60,+ 2.02,284850.19,191281.80,473695.00,-93568.39,(32.85),
TDPSYS,TD POWER SYSTEMS LIMITED,INE419M01027,62,896.69,1290.60,- 2.12,55594.78,80017.20,15557.88,24422.42,43.93,
TECMAH,TECH MAHINDRA LIMITED,INE669C01036,90,1220.29,1522.00,+ 2.57,109826.10,136980.00,221748.69,27153.90,24.72,
TIMGRO,TIMEX GROUP INDIA LIMITED,INE064A01026,20,296.43,451.15,+ 0.40,5928.60,9023.00,6327.72,3094.40,52.19,
TITIND,TITAN COMPANY LIMITED,INE280A01028,6,3487.53,4055.40,- 0.48,20925.18,24332.40,3498.67,3407.22,16.28,
TMLDVR,TATA MOTORS LTD - DVR,IN9155A01020,10,774.00,768.65, 0.00,7740.00,7686.50,11872.87,-53.50,(0.69),
TRENT,TRENT LTD,INE849A01020,7,6647.93,4193.70,- 0.72,46535.51,29355.90,33039.51,-17179.61,(36.92),
TUBINV,CHOLAMANDALAM FIN HOLDINGS LTD,INE149A01033,9,1671.97,1552.10,- 1.89,15047.73,13968.90,837.15,-1078.83,(7.17),
UJJFIN,UJJIVAN FINANCIAL SERVICES LTD,INE334L01012,75,540.00,589.50, 0.00,40500.00,44212.50,35832.69,3712.50,9.17,
UJJSMA,UJJIVAN SMALL FINANCE BANK LTD,INE551W01018,500,59.35,54.57,+ 0.33,29675.00,27285.00,(43805.99),-2390.00,(8.05),
UNISPI,UNITED SPIRITS LIMITED,INE854D01024,13,1570.80,1273.20,+ 0.25,20420.40,16551.60,126.04,-3868.80,(18.95),
USHMA,USHA MARTIN LIMITED,INE228A01035,50,434.58,499.80,- 1.24,21729.00,24990.00,4488.87,3261.00,15.01,
VARBEV,VARUN BEVERAGES LIMITED,INE200M01039,102,607.00,526.35,- 0.31,61914.00,53687.70,37299.80,-8226.30,(13.29),
VATWAB,VA TECH WABAG LIMITED,INE956G01038,10,1408.38,1558.40,+ 2.00,14083.80,15584.00,13077.91,1500.20,10.65,
VISRET,V2 RETAIL LIMITED,INE945H01021,400,184.30,232.37,+ 1.02,73720.00,92948.00,22516.98,19228.00,26.08,
VSTTIL,VSTTILLERS TRACTORS LTD,INE764D01017,2,5207.33,4574.20,- 0.41,10414.66,9148.40,(1261.00),-1266.26,(12.16),
WELEN,WELSPUN ENTERPRISES LIMITED,INE625G01013,40,512.56,517.85,+ 0.14,20502.40,20714.00,(2133.01),211.60,1.03,
WELINV,WELSPUN INVEST & COMERCIAL LTD,INE389K01018,28,1379.54,1825.00,- 0.83,38627.12,51100.00,0.00,12472.88,32.29,
WINBIO,WINDLAS BIOTECH LIMITED,INE0H5O01029,15,719.63,833.10, 0.00,10794.45,12496.50,0.00,1702.05,15.77,
ZINLOG,BLACKBUCK LIMITED,INE0UIZ01018,10,679.93,516.00,+ 1.07,6799.30,5160.00,0.00,-1639.30,(24.11),
ZOMLIM,ETERNAL LIMITED,INE758T01015,80,264.93,249.05,- 0.61,21194.40,19924.00,8631.46,-1270.40,(5.99),
