"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
1309,"CENTENKA","CENTURY ENKA LTD","MICRO_CAP",505.2,0,0.2,2.91,64.7,52.1,"BULLISH",5.3,4,15,20,61.84,70.48,60,58,47,11316518.2,"HOLD",2025-09-01
1617,"BSHSL","BOMBAY SUPER HYBRID SEEDS","MICRO_CAP",139.8,0,-1.85,3.23,64.7,54.8,"BULLISH",10.07,8,8,25,76.04,83.82,86,61.94,57.5,3011697.99,"HOLD",2025-09-01
62,"IXIGO","LE TRAVENUES TECHNOLOGY L","MID_CAP",297.45,0,3.08,28.98,64,73,"STRONG_BULLISH",72.19,16,14,0,NA,NA,NA,NA,NA,1747292957.35,"HOLD",2025-09-01
69,"TIINDIA","TUBE INVEST OF INDIA LTD","MID_CAP",3140.9,0,2.64,11.84,64,60.4,"STRONG_BULLISH",13.77,14,18,0,NA,NA,NA,NA,NA,1570415142.5,"HOLD",2025-09-01
342,"HDFCSILVER","HDFCAMC - HDFCSILVER","MICRO_CAP",119.14,0,5.96,12.43,64,72.6,"STRONG_BULLISH",17.82,16,14,0,NA,NA,NA,NA,NA,329881313.87,"HOLD",2025-09-01
512,"TVSHLTD","TVS HOLDINGS LIMITED","MICRO_CAP",12248,0,1.96,5.1,64,58.9,"STRONG_BULLISH",19.86,12,20,0,NA,NA,NA,NA,NA,170122598,"HOLD",2025-09-01
576,"KAMATHOTEL","KAMAT HOTELS (I) LTD","MICRO_CAP",300.25,0,-0.06,25.55,64,68.2,"STRONG_BULLISH",36.46,16,16,0,NA,NA,NA,NA,NA,141252609.6,"HOLD",2025-09-01
612,"SBISILVER","SBIAMC - SBISILVER","MICRO_CAP",121.51,0,5.83,12.09,64,72.8,"STRONG_BULLISH",17.42,16,14,0,NA,NA,NA,NA,NA,127887260.96,"HOLD",2025-09-01
629,"MAFANG","MIRAEAMC - MAFANG","MICRO_CAP",161.13,0,4.81,2.89,64,63.7,"STRONG_BULLISH",23.53,14,13,0,NA,NA,NA,NA,NA,118995879.07,"HOLD",2025-09-01
1162,"ATLANTAA","ATLANTAA LIMITED","MICRO_CAP",35.89,0,7.46,6.56,64,56.2,"BEARISH",5.14,11,14,20,61.44,58.48,77,58,48,19363508.02,"HOLD",2025-09-01
1654,"SBIETFCON","SBIAMC - SBIETFCON","MICRO_CAP",125.77,0,-0.09,4.43,64,64.8,"STRONG_BULLISH",11.07,10,17,0,NA,NA,NA,NA,NA,2465134.16,"HOLD",2025-09-01
172,"BLACKBUCK","ZINKA LOGISTICS SOL LTD","SMALL_CAP",633.4,0,-2.6,41.65,63.3,68.7,"STRONG_BULLISH",49.49,15,6,20,62.86,66.96,62,58.64,59,804502896.9,"HOLD",2025-09-01
176,"ESCORTS","ESCORTS KUBOTA LIMITED","SMALL_CAP",3644,0,2.11,10.78,63.3,63.7,"STRONG_BULLISH",15.63,14,17,0,NA,NA,NA,NA,NA,778953229.4,"HOLD",2025-09-01
351,"SIRCA","SIRCA PAINT INDIA LIMITED","MICRO_CAP",468.25,0,2.57,7.76,63.3,66.6,"STRONG_BULLISH",27.95,14,17,0,NA,NA,NA,NA,NA,319792120.9,"HOLD",2025-09-01
622,"WIPL","THE WESTERN INDIA PLY LTD","MICRO_CAP",175.77,0,12.64,14.81,63.3,72.1,"BULLISH",24.88,20,12,0,NA,NA,NA,NA,NA,121477258.57,"HOLD",2025-09-01
646,"AVL","ADITYA VISION LIMITED","MICRO_CAP",498.75,0,-0.66,27.35,63.3,67.4,"BULLISH",51.14,15,6,25,73.11,74.35,86,59.86,66,113496029.95,"HOLD",2025-09-01
1192,"LICNMID100","LICNAMC - LICNMID100","MICRO_CAP",63.55,0,8.61,11.9,63.3,75.8,"BULLISH",14.18,18,14,0,NA,NA,NA,NA,NA,17700870.79,"HOLD",2025-09-01
1700,"CENTEXT","CENTURY EXTRUSIONS LTD","MICRO_CAP",21.98,0,1.76,-4.97,63.3,48,"BEARISH",16.07,9,13,20,62.09,68.7,60,57.73,53.75,2029098.5,"HOLD",2025-09-01
