score_date,symbol,enhanced_fund_score,earnings_quality,sales_growth,financial_strength,institutional_backing,processed_date,source_file
2026-07-03,HARSHA,76.9,83.6,78.33,64.25,73.5,2026-07-03,tracker_enrich_derived
2026-06-29,HAVELLS,78.32,77.0,71.67,88.0,80.0,2026-06-29,tracker_enrich_derived
2026-06-20,HBLENGINE,76.36,75.6,71.67,92.25,65.0,2026-06-20,tracker_enrich_derived
2026-08-15,HBLENGINE,89.6,93.75,95.0,93.0,65.0,2026-08-15,compute_fund_scores_from_db
2026-06-22,HCG,62.0,55.6,68.33,54.5,78.5,2026-06-22,tracker_enrich_derived
2026-06-29,HCLTECH,69.13,56.0,65.0,89.75,83.5,2026-06-29,tracker_enrich_derived
2026-06-22,HDBFS,57.36,53.75,55.0,51.67,78.5,2026-06-22,tracker_enrich_derived
2026-06-22,HDFCAMC,76.93,75.0,68.33,89.25,80.0,2026-06-22,tracker_enrich_derived
2026-08-15,HDFCAMC,86.22,87.5,82.5,93.0,80.0,2026-08-15,compute_fund_scores_from_db
2026-06-22,HDFCBANK,65.4,67.5,55.0,70.0,71.0,2026-06-22,tracker_enrich_derived
2026-06-22,HDFCGOLD,55.0,55.0,55.0,55.0,55.0,2026-06-22,tracker_enrich_derived
2026-07-29,HDFCGROWTH,55.0,55.0,55.0,55.0,55.0,2026-07-29,tracker_enrich_derived
2026-06-22,HDFCLIFE,67.0,66.0,55.0,74.25,80.0,2026-06-22,tracker_enrich_derived
2026-08-15,HDFCLIFE,66.55,61.25,65.0,69.0,80.0,2026-08-15,compute_fund_scores_from_db
2026-07-17,HDFCLIQUID,55.0,55.0,55.0,55.0,55.0,2026-07-17,tracker_enrich_derived
2026-06-25,HDFCNIFTY,55.0,55.0,55.0,55.0,55.0,2026-06-25,tracker_enrich_derived
2026-06-22,HDFCSILVER,55.0,55.0,55.0,55.0,55.0,2026-06-22,tracker_enrich_derived
2026-06-18,HDFCSML250,55.0,55.0,55.0,55.0,55.0,2026-06-18,tracker_enrich_derived
2026-06-22,HEALTHIETF,55.0,55.0,55.0,55.0,55.0,2026-06-22,tracker_enrich_derived
2026-07-21,HECPROJECT,61.68,55.0,55.0,82.0,63.5,2026-07-21,tracker_enrich_derived
2025-08-11,HEG,10.0,10.0,10.0,10.0,10.0,,organized/data/fundamental_scores_database.csv
2026-07-08,HEG,60.0,56.0,60.0,56.75,75.0,2026-07-08,tracker_enrich_derived
2026-06-29,HEIDELBERG,59.52,55.0,55.0,60.0,78.5,2026-06-29,tracker_enrich_derived
2026-06-18,HEMIPROP,53.75,55.0,55.0,45.0,60.0,2026-06-18,tracker_enrich_derived
2026-06-29,HERITGFOOD,58.35,42.0,65.0,77.0,66.0,2026-06-29,tracker_enrich_derived
2026-06-29,HEROMOTOCO,82.41,86.6,71.67,92.25,76.0,2026-06-29,tracker_enrich_derived
2026-08-15,HEROMOTOCO,84.8,87.0,80.0,93.0,76.0,2026-08-15,compute_fund_scores_from_db
2026-06-22,HEXT,72.08,68.6,61.67,87.25,78.5,2026-06-22,tracker_enrich_derived
2026-08-15,HEXT,80.09,80.75,75.0,86.33,78.5,2026-08-15,compute_fund_scores_from_db
2025-08-11,HFCL,10.0,10.0,10.0,10.0,10.0,,organized/data/fundamental_scores_database.csv
2026-06-29,HFCL,73.29,81.6,80.0,53.75,66.0,2026-06-29,tracker_enrich_derived
2026-08-15,HFCL,72.08,78.25,72.5,60.0,71.0,2026-08-15,compute_fund_scores_from_db
2026-06-29,HGINFRA,50.41,36.6,55.0,55.0,73.5,2026-06-29,tracker_enrich_derived
2026-06-22,HIKAL,57.61,56.25,48.33,60.0,73.5,2026-06-22,tracker_enrich_derived
2025-08-11,HINDALCO,52.87,51.3,51.0,56.74,55.0,,organized/data/fundamental_scores_database.csv
2026-07-08,HINDALCO,64.97,54.6,78.33,60.75,76.0,2026-07-08,tracker_enrich_derived
2026-07-08,HINDCOPPER,90.41,94.0,93.33,92.25,73.5,2026-07-08,tracker_enrich_derived
2026-07-08,HINDOILEXP,37.15,28.75,25.0,65.5,42.0,2026-07-08,tracker_enrich_derived
2026-06-22,HINDPETRO,74.9,85.0,50.0,82.0,80.0,2026-06-22,tracker_enrich_derived
2026-08-15,HINDPETRO,73.42,81.67,55.0,75.0,80.0,2026-08-15,compute_fund_scores_from_db
2026-06-29,HINDUNILVR,73.56,74.0,53.33,90.5,83.5,2026-06-29,tracker_enrich_derived
2026-06-22,HINDWAREAP,60.25,67.5,45.0,57.5,70.0,2026-06-22,tracker_enrich_derived
2026-06-22,HINDZINC,82.43,87.0,80.0,86.75,68.5,2026-06-22,tracker_enrich_derived
2026-06-16,HIRECT,66.72,56.0,81.67,73.75,61.0,2026-06-16,tracker_enrich_derived
2026-06-22,HLEGLAS,67.97,57.0,85.0,68.25,68.5,2026-06-22,tracker_enrich_derived
