SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE
LUMAXTECH,Lighting,1725.6,0.17355821545157757,0.033479068096065046,0.5505436247641295,0.5864524559730819,0.6002520151437072,63.34236369793431,80.0,54.51,2026-04-09
MINDACORP,Electrical,514.4,0.04076884167931194,-0.13691275167785244,-0.03262811471556182,0.0032807164933905675,0.01708027566401582,53.276431718061666,60.0,49.42,2026-04-09
MENONBE,Bearings,114.05,-0.10048111049767339,-0.06100773917339042,-0.12154355695910046,-0.08563472575014808,-0.07183516657952282,42.60204081632653,60.0,52.38,2026-04-09
MSUMI,Electrical,38.58,-0.03982080637132901,-0.2320859872611466,-0.20617283950617293,-0.17026400829722055,-0.1564644491265953,58.71459694989108,60.0,48.99,2026-04-09
NDRAUTO,Other,715.35,0.008742861171825433,-0.08692322420065102,-0.36100937918713705,-0.32510054797818466,-0.3113009888075594,56.02495543672015,80.0,47.86,2026-04-09
PRICOLLTD,Electrical,571.5,0.03664066751315076,-0.14079530932872286,0.06992417860151656,0.10583300981046895,0.1196325689810942,61.900282220131714,80.0,49.98,2026-04-09
RANEENGINE,Engine/Parts,317.75,0.17903525046382196,-0.156154561147258,-0.2401052253975846,-0.20419639418863222,-0.19039683501800697,63.3225806451613,80.0,50.88,2026-04-09
RICOAUTO,Castings,114.52,0.0240543682375034,-0.1472822040208489,0.0789523271151309,0.11486115832408328,0.12866071749470853,56.52173913043476,60.0,49.07,2026-04-09
SANDHAR,Other,484.7,-0.0417160933175168,-0.17166538494403139,0.03490978968719971,0.0708186208961521,0.08461818006677735,52.9552715654952,60.0,47.8,2026-04-09
SANSERA,Forgings,2251.7,0.03398080543692883,0.1575673452601274,0.49416058394160567,0.530069415150558,0.5438689743211833,56.48050579557426,80.0,48.59,2026-04-09
SHARDAMOTR,Transmission,822.75,0.0037821021167572244,-0.1313872466216217,-0.22433298764966536,-0.18842415644071298,-0.17462459727008772,56.01652892561984,60.0,49.87,2026-04-09
SHRIPISTON,Engine/Parts,3223.7,0.060532289370661685,-0.044659791370317725,0.21314868475520243,0.24905751596415482,0.26285707513478007,55.89253731343283,80.0,48.69,2026-04-09
SSWL,Wheels,203.24,0.03990994678673765,-0.05240581872435646,-0.18015328761597416,-0.14424445640702177,-0.13044489723639652,65.35936420179684,80.0,45.44,2026-04-09
SUNDRMFAST,Fasteners,780.85,-0.06647139697531235,-0.18029603191266008,-0.25999810462471573,-0.22408927341576335,-0.2102897142451381,38.64358883786651,30.0,48.05,2026-04-09
SUNDRMBRAK,Brakes,628.85,0.11074803497306385,-0.09452843772498198,-0.1801173402868318,-0.1442085090778794,-0.13040894990725416,68.36242109171927,80.0,47.66,2026-04-09
SUPRAJIT,Cables,431.75,0.027976190476190377,-0.07676681278734088,-0.05005500550055009,-0.014146174291597702,-0.00034661512097244884,67.50599520383693,80.0,51.48,2026-04-09
TALBROAUTO,Gaskets,258.44,0.06727235184802804,-0.037288135593220306,-0.12318914334181508,-0.08728031213286269,-0.07348075296223744,67.82283015795473,80.0,47.2,2026-04-09
UCAL,Fuel Systems,94.26,-0.06515917881582856,-0.1468139029688631,-0.34208138479793393,-0.30617255358898154,-0.2923729944183563,45.60067681895093,60.0,59.6,2026-04-09
VARROC,Lighting,499.7,0.010822291898452407,-0.17020923281301903,-0.22219627986613755,-0.18628744865718516,-0.1724878894865599,50.558867362146046,60.0,49.61,2026-04-09
WHEELS,Wheels,1001.35,0.09037948494582682,0.13977576688862348,0.23296189127624212,0.2688707224851945,0.28267028165581976,46.44575828406435,80.0,46.83,2026-04-09
ZFCVINDIA,Brakes/Transmission,14248.0,0.018878718535469075,-0.04253746388011559,0.050272740675217475,0.08618157188416986,0.09998113105479511,56.38389031705226,60.0,50.29,2026-04-09
