SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
THERMAX,THERMAX,SMALL_CAP,3161.9,3.21,-0.64,8.71,32.0,67.1,,11,12,,BULLISH,SELL
FEDERALBNK,Federal Bank Limited,SMALL_CAP,286.5,-1.1,-4.34,-0.38,32.0,47.6,,8,8,,STRONG_BULLISH,SELL
ORKLAINDIA,ORKLAINDIA,MID_CAP,566.0,1.53,-4.07,0.92,32.0,56.6,,5,15,,NEUTRAL,SELL
AHCL,AHCL,MICRO_CAP,116.64,5.02,7.81,-5.78,31.3,43.2,,5,16,,BEARISH,SELL
ATLANTAELE,ATLANTAELE,MICRO_CAP,918.2,-2.32,3.92,13.7,31.3,56.5,,9,6,,BULLISH,SELL
APOLLOHOSP,APOLLOHOSP,LARGE_CAP,7724.5,-0.65,-0.65,8.46,31.3,62.1,,7,10,,STRONG_BULLISH,SELL
PFOCUS,PFOCUS,SMALL_CAP,275.65,-1.15,3.43,3.09,31.3,56.4,,11,4,,STRONG_BULLISH,SELL
SCHAEFFLER,SCHAEFFLER,MID_CAP,4325.8,0.86,-0.48,13.41,31.3,74.7,,11,11,,BULLISH,SELL
LIQUIDIETF,LIQUIDIETF,MID_CAP,999.99,0.0,0.0,0.0,31.3,,,8,12,,STRONG_BEARISH,SELL
INDUSINDBK,INDUSINDBK,MID_CAP,917.85,-2.06,-4.85,0.38,31.3,47.3,,7,8,,STRONG_BULLISH,SELL
JAMNAAUTO,JAMNAAUTO,MICRO_CAP,132.57,-3.96,-10.58,1.65,31.3,47.3,,9,6,,STRONG_BULLISH,SELL
IOC,Indian Oil Corporation Limited,MICRO_CAP,168.68,-1.67,-9.54,-4.03,31.3,41.0,,6,4,,STRONG_BULLISH,SELL
BANKBEES,BANKBEES,MID_CAP,597.24,-1.87,-5.25,-3.76,31.3,31.7,,6,6,,STRONG_BULLISH,SELL
VOLTAS,VOLTAS,LARGE_CAP,1478.4,-0.46,-4.28,3.62,31.3,42.7,,9,6,,STRONG_BULLISH,SELL
SAIL,Steel Authority of India Limited,MICRO_CAP,154.94,-0.77,-6.39,-2.25,30.7,43.6,,8,6,,STRONG_BULLISH,SELL
TMB,TMB,MICRO_CAP,630.15,-3.05,-8.65,-2.09,30.7,43.0,,10,4,,STRONG_BULLISH,SELL
GAEL,GAEL,MICRO_CAP,135.75,-2.33,-6.07,5.71,30.7,45.1,,7,10,,STRONG_BULLISH,SELL
