INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty PSU Bank,48.519999999999996,59,BANKBARODA,BANK OF BARODA,MID_CAP,300.75,1.64,NA,1.3,66,63.3,STRONG_BULLISH,10.11,9,11,15,53.65,55.48,47,57.94,54.17,2541583185.3,BUY,2026-01-01
Nifty PSU Bank,48.519999999999996,52,CANBK,CANARA BANK,MID_CAP,154.24,-0.43,NA,1.45,55.3,64.8,BULLISH,18.68,11,6,15,54.62,54.05,47,56.76,66,2802242497.95,HOLD,2026-01-01
Nifty PSU Bank,48.519999999999996,30,SBIN,STATE BANK OF INDIA,LARGE_CAP,984.75,0.26,NA,1.8,42,63,BULLISH,9.71,7,8,0,NA,NA,NA,NA,NA,4261571218.05,WEAK_HOLD,2026-01-01
Nifty PSU Bank,48.519999999999996,157,UNIONBANK,UNION BANK OF INDIA,SMALL_CAP,153.58,-0.12,NA,-1.41,42,54.9,BULLISH,7.69,7,8,0,NA,NA,NA,NA,NA,893390188.03,WEAK_HOLD,2026-01-01
Nifty PSU Bank,48.519999999999996,148,PNB,PUNJAB NATIONAL BANK,MID_CAP,123.94,0.29,NA,-1.12,37.3,57.4,BULLISH,4.54,3,10,0,NA,NA,NA,NA,NA,958235194.79,WEAK_HOLD,2026-01-01
Nifty Private Bank,47.08,36,INDUSINDBK,INDUSIND BANK LIMITED,LARGE_CAP,890.2,3.01,NA,4.69,56.7,67.1,STRONG_BULLISH,15.28,10,11,0,NA,NA,NA,NA,NA,3748678890.5,HOLD,2026-01-01
Nifty Private Bank,47.08,186,FEDERALBNK,FEDERAL BANK LTD,SMALL_CAP,266.25,-0.32,NA,3.02,50.7,77.4,STRONG_BULLISH,34.58,13,12,0,NA,NA,NA,NA,NA,756710319.95,HOLD,2026-01-01
Nifty Private Bank,47.08,57,AXISBANK,AXIS BANK LIMITED,MID_CAP,1274.4,0.39,NA,1.3,48.7,55.1,STRONG_BULLISH,4.08,3,12,15,52.47,51.19,47,54.71,62,2575259212.4,WEAK_HOLD,2026-01-01
Nifty Private Bank,47.08,215,RBLBANK,RBL BANK LIMITED,SMALL_CAP,315.3,-0.16,NA,4.32,42,55.5,BEARISH,10.45,9,6,0,NA,NA,NA,NA,NA,611060653.7,WEAK_HOLD,2026-01-01
Nifty Private Bank,47.08,45,KOTAKBANK,KOTAK MAHINDRA BANK LTD,LARGE_CAP,2217.8,0.76,NA,3.52,37.3,69.9,BULLISH,1.75,5,10,0,NA,NA,NA,NA,NA,2975883603.3,WEAK_HOLD,2026-01-01
