SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
IT & Software,50,15,273,REDINGTON,REDINGTON LIMITED,SMALL_CAP,284.8,-3.47,-3.36,6.07,50.7,52.9,STRONG_BULLISH,16.06,13,10,0,NA,NA,NA,NA,NA,540578212.35,HOLD,2025-11-21
IT & Software,50,15,76,COFORGE,COFORGE LIMITED,MID_CAP,1797.5,-2.63,-0.12,3.22,48,52.1,BULLISH,4.18,3,8,15,54.71,51.3,53,58.18,62,2422870006.4,WEAK_HOLD,2025-11-21
IT & Software,50,15,178,LTIM,LTIMINDTREE LIMITED,SMALL_CAP,5926,-1.68,2.01,6.56,46.7,61.7,STRONG_BULLISH,9.85,9,10,0,NA,NA,NA,NA,NA,1177235751,WEAK_HOLD,2025-11-21
Telecom,49.6,11,203,TATACOMM,TATA COMMUNICATIONS LTD,SMALL_CAP,1920.9,0.18,2.5,0.29,59.3,59.7,BULLISH,19.75,14,9,0,NA,NA,NA,NA,NA,931797916.3,HOLD,2025-11-21
Telecom,49.6,11,9,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2162.7,0.2,2.95,5.83,58.7,68,STRONG_BULLISH,9.9,9,8,15,52.75,50.65,51,54.32,59.17,14534905632.6,HOLD,2025-11-21
Telecom,49.6,11,46,TATACONSUM,TATA CONSUMER PRODUCT LTD,LARGE_CAP,1183.1,0.78,2.19,0.72,54.7,57.3,BULLISH,6.11,10,11,0,NA,NA,NA,NA,NA,3756947040.7,HOLD,2025-11-21
Telecom,49.6,11,7,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1546.6,-0.16,1.82,5.56,51.3,73.7,STRONG_BULLISH,8.27,9,10,0,NA,NA,NA,NA,NA,14897385970.3,HOLD,2025-11-21
Telecom,49.6,11,209,TATAELXSI,TATA ELXSI LIMITED,SMALL_CAP,5320.5,-0.86,1.03,-0.63,24,46.4,STRONG_BEARISH,-6.6,1,12,0,NA,NA,NA,NA,NA,866101167,SELL,2025-11-21
Infrastructure,49.08,16,114,BHEL,BHEL,MID_CAP,282.5,-0.96,0.32,20.42,60.7,66.8,STRONG_BULLISH,28.82,15,8,15,53.94,54.13,47,55.45,63,1742828346.35,HOLD,2025-11-21
Infrastructure,49.08,16,26,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,4024.9,-0.31,0.51,3.52,48.7,64.5,STRONG_BULLISH,9.05,7,10,0,NA,NA,NA,NA,NA,5003740550.1,WEAK_HOLD,2025-11-21
Infrastructure,49.08,16,217,ADANIENSOL,ADANI ENERGY SOLUTION LTD,SMALL_CAP,974.8,-1.89,-4.79,4.1,48,51.3,STRONG_BULLISH,24.74,11,10,0,10,10,10,10,10,801256791.1,WEAK_HOLD,2025-11-21
Infrastructure,49.08,16,116,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1479.8,-0.76,-2.17,0.43,46,55.2,STRONG_BULLISH,7.74,7,12,0,10,10,10,10,10,1722690992.7,WEAK_HOLD,2025-11-21
Infrastructure,49.08,16,86,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1030.5,-2.78,-3.58,-0.91,42,43.4,BULLISH,6.67,6,12,0,10,10,10,10,10,2164125132.7,WEAK_HOLD,2025-11-21
FMCG & Consumer Goods,43.86,19,46,TATACONSUM,TATA CONSUMER PRODUCT LTD,LARGE_CAP,1183.1,0.78,2.19,0.72,54.7,57.3,BULLISH,6.11,10,11,0,NA,NA,NA,NA,NA,3756947040.7,HOLD,2025-11-21
FMCG & Consumer Goods,43.86,19,47,RADICO,RADICO KHAITAN LTD,LARGE_CAP,3273.1,-2.82,0.4,-0.88,54.7,55.4,STRONG_BULLISH,13.22,11,8,0,NA,NA,NA,NA,NA,3733744697.9,HOLD,2025-11-21
FMCG & Consumer Goods,43.86,19,150,DABUR,DABUR INDIA LTD,MID_CAP,515.65,-1.79,-1.78,1.83,41.3,50.8,BULLISH,-9.89,1,12,15,51.29,50.22,47,54.77,56.67,1378078652.1,WEAK_HOLD,2025-11-21
FMCG & Consumer Goods,43.86,19,211,NESTLEIND,NESTLE INDIA LIMITED,SMALL_CAP,1280.7,0.12,0.72,-0.51,35.3,57.5,BULLISH,1.76,3,8,0,NA,NA,NA,NA,NA,863065763.2,WEAK_HOLD,2025-11-21
FMCG & Consumer Goods,43.86,19,166,MARICO,MARICO LIMITED,SMALL_CAP,739.9,0.51,0.16,2.47,33.3,56.6,STRONG_BULLISH,-3.09,2,9,0,NA,NA,NA,NA,NA,1296940399.2,SELL,2025-11-21
Agriculture & Fertilizers,43.74,9,38,DCMSHRIRAM,DCM SHRIRAM LIMITED,LARGE_CAP,1268.5,8.03,2.6,2.08,56.7,56.9,BEARISH,-2.19,6,18,20,61.96,68.26,60,59.55,51.67,3966437724.6,HOLD,2025-11-21
Agriculture & Fertilizers,43.74,9,231,NAVINFLUOR,NAVIN FLUORINE INT. LTD,SMALL_CAP,5973,-0.1,-0.81,15.16,52,71.6,STRONG_BULLISH,23.87,15,8,0,NA,NA,NA,NA,NA,735161013.5,HOLD,2025-11-21
Agriculture & Fertilizers,43.74,9,129,UPL,UPL LIMITED,MID_CAP,750.85,-0.35,-1.02,10.27,44.7,62.6,STRONG_BULLISH,4.79,7,10,0,NA,NA,NA,NA,NA,1524644881.2,WEAK_HOLD,2025-11-21
Agriculture & Fertilizers,43.74,9,232,COROMANDEL,COROMANDEL INTERNTL. LTD,SMALL_CAP,2262.8,-0.07,2.73,3.85,40,59.5,BEARISH,-3.99,1,10,15,54.33,51.3,51,55.77,66,732699281,WEAK_HOLD,2025-11-21
Agriculture & Fertilizers,43.74,9,674,SUNFLAG,SUNFLAG IRON AND STEEL CO,MICRO_CAP,247.4,1.19,-4.61,-4.99,25.3,35.4,STRONG_BEARISH,-12.12,3,13,0,NA,NA,NA,NA,NA,69350084.7,SELL,2025-11-21
Energy - Power,43.22,15,205,TDPOWERSYS,TD POWER SYSTEMS LTD.,SMALL_CAP,724.8,-4.48,-7.75,11.17,54.7,50,STRONG_BULLISH,27.68,15,6,0,NA,NA,NA,NA,NA,901130381.6,HOLD,2025-11-21
Energy - Power,43.22,15,84,POWERINDIA,HITACHI ENERGY INDIA LTD,MID_CAP,21563,-3.72,0.45,23.45,46.7,63.8,BULLISH,10.18,13,8,0,NA,NA,NA,NA,NA,2223967952,WEAK_HOLD,2025-11-21
Energy - Power,43.22,15,343,INOXGREEN,INOX GREEN ENERGY SER LTD,MICRO_CAP,228.95,-0.63,-9.51,-13.08,42.7,38.4,NEUTRAL,35.91,10,6,0,NA,NA,NA,NA,NA,334319990.5,WEAK_HOLD,2025-11-21
Energy - Power,43.22,15,86,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1030.5,-2.78,-3.58,-0.91,42,43.4,BULLISH,6.67,6,12,0,10,10,10,10,10,2164125132.7,WEAK_HOLD,2025-11-21
Energy - Power,43.22,15,354,BORORENEW,BOROSIL RENEWABLES LTD,MICRO_CAP,590.4,-3.68,-10.5,-12.76,30,36.9,BULLISH,-1.97,0,4,20,63.2,57.38,81,59.5,54,317349191.45,SELL,2025-11-21
Logistics & Shipping,38.65,2,116,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1479.8,-0.76,-2.17,0.43,46,55.2,STRONG_BULLISH,7.74,7,12,0,10,10,10,10,10,1722690992.7,WEAK_HOLD,2025-11-21
Logistics & Shipping,38.65,2,121,CONCOR,CONTAINER CORP OF IND LTD,MID_CAP,511.2,-0.81,-1.47,-4.29,31.3,35.9,STRONG_BEARISH,-9.94,3,12,15,54,53.7,51,56.36,56.67,1621665952.15,SELL,2025-11-21
Chemicals,37.34,16,807,BALAJITELE,BALAJI TELEFILMS LTD.,MICRO_CAP,119.4,-1.51,-0.58,0.7,50.7,50.8,NEUTRAL,43.54,11,10,15,53.41,54.13,51,58.18,49.17,26716032.52,HOLD,2025-11-21
Chemicals,37.34,16,129,UPL,UPL LIMITED,MID_CAP,750.85,-0.35,-1.02,10.27,44.7,62.6,STRONG_BULLISH,4.79,7,10,0,NA,NA,NA,NA,NA,1524644881.2,WEAK_HOLD,2025-11-21
Chemicals,37.34,16,355,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,MICRO_CAP,1418.5,-1.93,0.49,-1.48,35.3,45.8,STRONG_BEARISH,-3.16,0,12,25,70.76,75.43,76,62.95,60,314938915.1,WEAK_HOLD,2025-11-21
Chemicals,37.34,16,616,GHCL,GHCL LIMITED,MICRO_CAP,595.5,-1.81,-1.76,-9.3,29.3,41.3,BULLISH,2.8,2,10,0,NA,NA,NA,NA,NA,94638604.4,SELL,2025-11-21
Chemicals,37.34,16,756,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,MICRO_CAP,308.45,-2.54,-10.62,-21.47,26.7,19.7,STRONG_BEARISH,-30.07,1,6,20,66.26,64.13,77,57.27,66,44448274.45,SELL,2025-11-21
Textiles,36.82,7,621,ARVIND,ARVIND LIMITED,MICRO_CAP,347.9,-2.96,3.42,13.34,56,61.2,BULLISH,16.17,13,6,15,57.39,51.96,61,57.27,66,91442307.1,HOLD,2025-11-21
Textiles,36.82,7,473,WELSPUNLIV,WELSPUN LIVING LIMITED,MICRO_CAP,136.37,-2.86,-1.42,11.3,46.7,56.5,BULLISH,15.39,11,10,0,NA,NA,NA,NA,NA,184180848.7,WEAK_HOLD,2025-11-21
Textiles,36.82,7,398,KPRMILL,KPR MILL LTD.,MICRO_CAP,1087.9,-0.62,0.88,6.3,38,53,BULLISH,5.77,5,8,0,NA,NA,NA,NA,NA,257387359.8,WEAK_HOLD,2025-11-21
Textiles,36.82,7,681,ARVINDFASN,ARVIND FASHIONS LIMITED,MICRO_CAP,501.35,-1.04,0.16,-1.68,30.7,44.5,BEARISH,-11.6,0,12,15,50.43,47.61,47,55.45,57,67181380.7,SELL,2025-11-21
Textiles,36.82,7,535,RAYMOND,RAYMOND LTD,MICRO_CAP,496,-2.57,-5.04,-14.75,12.7,22.7,STRONG_BEARISH,-23.12,1,10,0,NA,NA,NA,NA,NA,135570560.55,SELL,2025-11-21
Paper & Packaging,36.379999999999995,8,276,JKTYRE,JK TYRE & INDUSTRIES LTD,SMALL_CAP,446.45,-0.91,-2.95,5.99,57.3,58,STRONG_BULLISH,24.04,13,10,0,NA,NA,NA,NA,NA,526108567.25,HOLD,2025-11-21
Paper & Packaging,36.379999999999995,8,805,SOUTHWEST,SOUTH WEST PINNACLE LTD,MICRO_CAP,193.6,0.72,7.23,43.31,47.3,65.9,BULLISH,28.23,15,9,0,NA,NA,NA,NA,NA,27553628.1,WEAK_HOLD,2025-11-21
Paper & Packaging,36.379999999999995,8,723,NRBBEARING,NRB BEARING LIMITED,MICRO_CAP,290.25,0.71,1.1,8.02,31.3,60.3,BEARISH,-1.14,3,15,0,NA,NA,NA,NA,NA,54174904.75,SELL,2025-11-21
Paper & Packaging,36.379999999999995,8,175,ENRIN,SIEMENS ENERGY INDIA LTD,SMALL_CAP,3332.9,-0.39,2.31,5.98,30.7,57,NEUTRAL,-6.92,3,12,0,NA,NA,NA,NA,NA,1206646858.1,SELL,2025-11-21
Paper & Packaging,36.379999999999995,8,775,JKPAPER,JK PAPER LIMITED,MICRO_CAP,370.1,0.08,-2.73,-6.72,15.3,34.8,BEARISH,-11.75,0,12,0,NA,NA,NA,NA,NA,37679579.25,SELL,2025-11-21
Cement & Construction,33.88,11,240,CREDITACC,CREDITACCESS GRAMEEN LTD,SMALL_CAP,1359.2,2.33,-0.55,4.9,52.7,49,BULLISH,-2.78,1,20,15,53.16,50.22,47,57.11,66,693078120.8,HOLD,2025-11-21
Cement & Construction,33.88,11,607,ORIENTTECH,ORIENT TECHNOLOGIES LTD,MICRO_CAP,358.7,-1.63,-6.16,-24.01,36.7,31.8,BULLISH,14.09,8,8,0,NA,NA,NA,NA,NA,98625406,WEAK_HOLD,2025-11-21
Cement & Construction,33.88,11,182,RAMCOCEM,THE RAMCO CEMENTS LIMITED,SMALL_CAP,1010.5,1.37,3.08,-2.73,32,47.9,STRONG_BEARISH,-9.75,5,17,0,NA,NA,NA,NA,NA,1156193871.7,SELL,2025-11-21
Cement & Construction,33.88,11,347,ACC,ACC LIMITED,MICRO_CAP,1830.1,-1.15,-0.55,-1.02,24.7,43.7,STRONG_BEARISH,-4.15,0,12,0,10,10,10,10,10,329242596.7,SELL,2025-11-21
Cement & Construction,33.88,11,189,AMBUJACEM,AMBUJA CEMENTS LTD,SMALL_CAP,547.55,-1.48,-2.78,-3.52,23.3,37.8,STRONG_BEARISH,-7.59,1,12,0,10,10,10,10,10,1076233059.8,SELL,2025-11-21
Consumer Durables,33.34,12,135,TITAN,TITAN COMPANY LIMITED,MID_CAP,3904.2,0.05,1.96,4.7,39.3,68.4,STRONG_BULLISH,2.31,3,12,0,NA,NA,NA,NA,NA,1497352037.7,WEAK_HOLD,2025-11-21
Consumer Durables,33.34,12,270,BLUESTARCO,BLUE STAR LIMITED,SMALL_CAP,1776.3,-1.02,0.45,-9.51,38.7,37,BEARISH,-12.81,0,12,25,72.84,74.35,86,58.5,66,555891329.8,WEAK_HOLD,2025-11-21
Consumer Durables,33.34,12,607,ORIENTTECH,ORIENT TECHNOLOGIES LTD,MICRO_CAP,358.7,-1.63,-6.16,-24.01,36.7,31.8,BULLISH,14.09,8,8,0,NA,NA,NA,NA,NA,98625406,WEAK_HOLD,2025-11-21
Consumer Durables,33.34,12,118,VOLTAS,VOLTAS LTD,MID_CAP,1395.8,-1.13,3.32,-4.12,27.3,53.7,BEARISH,-6.79,1,10,0,NA,NA,NA,NA,NA,1706198082.5,SELL,2025-11-21
Consumer Durables,33.34,12,437,VGUARD,V-GUARD IND LTD.,MICRO_CAP,345.85,-0.59,-1.54,-5.03,24.7,33.7,STRONG_BEARISH,-10.91,3,12,0,NA,NA,NA,NA,NA,215642617.25,SELL,2025-11-21
Realty,31.06,6,227,PRESTIGE,PRESTIGE ESTATE LTD,SMALL_CAP,1688.5,-1.67,-3.23,-1.45,39.3,45.9,BULLISH,7.57,6,8,0,NA,NA,NA,NA,NA,749188139.2,WEAK_HOLD,2025-11-21
