"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"LTF",301.3,9.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48.7,"SMALL_CAP"
"GOLD1",114.89,8.84,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,48.7,"SMALL_CAP"
"AXISGOLD",115.15,8.61,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,48.7,"MICRO_CAP"
"SIGNATURE",1138.6,3.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48.7,"MICRO_CAP"
"AEROFLEX",201.07,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,48.7,"MICRO_CAP"
"RELTD",166.61,2.28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48.7,"MICRO_CAP"
"VEDL",600.95,13.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"LARGE_CAP"
"SHRIRAMFIN",960.25,25.41,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"LARGE_CAP"
"NESTLEIND",1272.6,4.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"MID_CAP"
"PFOCUS",244.88,17.82,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"MID_CAP"
"ENGINERSIN",205.35,2.89,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,48,"SMALL_CAP"
"RADICO",3305.3,6.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"SMALL_CAP"
