"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","RS_CONFIDENCE","CONFIDENCE_SCORE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN"
412,"MCLOUD","MAGELLANIC CLOUD LIMITED","MICRO_CAP",78.55,-3.19,-6.21,-9.93,34,43,"BULLISH",8.41,3,6,0,NA,NA,NA,NA,NA,255091408.6,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
428,"MID150BEES","NIP IND ETF MIDCAP 150","MICRO_CAP",213.5,-0.73,-3.54,-3.64,34,33.8,"BULLISH",0.61,4,6,0,NA,NA,NA,NA,NA,236672703.87,"SELL","2025-08-29",0.7,0.34,0.5,0.496,0.5968,-0.0744,6,-0.12317880794702
487,"AWL","AWL AGRI BUSINESS LIMITED","MICRO_CAP",251.5,0.76,-2.67,-6,34,41.4,"BEARISH",-1.19,0,6,20,63.12,68.26,60,59.09,60,187899392.15,"SELL","2025-08-29",1,0.34,0.3,0.526,0.6208,-0.0789,6,-0.137456445993031
532,"AEGISVOPAK","AEGIS VOPAK TERMINALS LTD","MICRO_CAP",247.77,-0.04,-2.29,0.09,34,47.5,"NEUTRAL",4.03,3,6,0,10,10,10,10,10,158379629.47,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
698,"GMRP&UI","GMR POW AND URBAN INFRA L","MICRO_CAP",110.18,-1.48,-7.4,-3.37,34,40.8,"BULLISH",7.72,3,10,0,NA,NA,NA,NA,NA,89318117.01,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
757,"IPL","INDIA PESTICIDES LIMITED","MICRO_CAP",211.23,-0.88,-6.41,-7.64,34,44.6,"BULLISH",7.91,3,6,0,NA,NA,NA,NA,NA,75160926.51,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
774,"RAYMONDLSL","RAYMOND LIFESTYLE LIMITED","MICRO_CAP",1105.9,-1.43,-4.64,-1.68,34,45.3,"BULLISH",8.01,3,6,0,NA,NA,NA,NA,NA,70880385,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
832,"HERITGFOOD","HERITAGE FOODS LTD","MICRO_CAP",461.5,-0.36,-2.2,-2.87,34,44.9,"BULLISH",8.18,3,6,0,NA,NA,NA,NA,NA,54836943.45,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
1037,"HEIDELBERG","HEIDELBERGCEMENT (I) LTD","MICRO_CAP",205.53,-1.97,-4.04,-4.76,34,38.3,"STRONG_BULLISH",7.96,3,6,0,NA,NA,NA,NA,NA,26561813.58,"SELL","2025-08-29",0.7,0.34,0.5,0.496,0.5968,-0.0744,6,-0.12317880794702
1225,"BFSI","MIRAEAMC - MAFSETF","MICRO_CAP",26.45,-0.26,-2.83,-3.92,34,30.7,"BEARISH",1.14,4,6,0,10,10,10,10,10,14563703.66,"SELL","2025-08-29",0.7,0.34,0.5,0.496,0.5968,-0.0744,6,-0.12317880794702
1238,"METALIETF","ICICIPRAMC - METALIETF","MICRO_CAP",9.21,-0.43,-2.02,-2.13,34,42.5,"BULLISH",4.13,1,8,0,NA,NA,NA,NA,NA,13946229.16,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
1610,"DBEIL","DEEPAK BUILDERS & ENG I L","MICRO_CAP",130.54,-0.62,-1.05,-6.25,34,38.2,"STRONG_BEARISH",-2.13,0,12,25,71.14,69.78,92,58.41,57,2720875.78,"SELL","2025-08-29",0.7,0.34,0.3,0.436,0.5488,-0.0654,5,-0.0984939759036144
1690,"ORIENTCER","ORIENT CERATECH LIMITED","MICRO_CAP",36.31,-0.58,-6.05,-12.32,34,32.9,"BEARISH",5.32,4,6,0,NA,NA,NA,NA,NA,1852641.72,"SELL","2025-08-29",0.7,0.34,0.5,0.496,0.5968,-0.0744,6,-0.12317880794702
1915,"SELECTIPO","MIRAEAMC - SELECTIPO","MICRO_CAP",48.28,-0.49,-3.05,-1.15,34,42.1,"BULLISH",5.03,3,8,0,NA,NA,NA,NA,NA,468440.25,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
1939,"SBINEQWETF","SBIAMC - SBINEQWETF","MICRO_CAP",31.43,-0.19,-1.19,0.42,34,46.2,"BULLISH",4.16,2,12,0,NA,NA,NA,NA,NA,376807.53,"SELL","2025-08-29",1,0.34,0.5,0.586,0.6688,-0.0879,7,-0.171011673151751
75,"HAVELLS","HAVELLS INDIA LIMITED","MID_CAP",1525.6,0.41,-1.95,-0.16,33.3,49.9,"BEARISH",2.92,2,13,0,NA,NA,NA,NA,NA,1700101994.9,"SELL","2025-08-29",1,0.333,0.5,0.5832,0.66656,-0.08748,7,-0.169272445820433
