"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"INFY.NS","INE009A01021",2024-09-20,1905,1915,1867.4,1905.75,1852.1,1894.2,15242974,"61145177.7",6976
"RELIANCE.NS","INE002A01018",2024-09-20,2948,2990,2942.75,2971.85,1852.1,2939.35,15448660,"61145177.7",6976
"TCS.NS","INE467B01029",2024-09-20,4316.9,4330.7,4227.5,4284.9,1852.1,4296.15,5447908,"61145177.7",6976
"INFY.NS","INE009A01021",2024-09-23,1909,1918.9,1878.45,1896.45,588.15,1905.75,3636672,"112696126.75",13207
"RELIANCE.NS","INE002A01018",2024-09-23,2982,3003,2977.9,2986.75,588.15,2971.85,4416157,"112696126.75",13207
"TCS.NS","INE467B01029",2024-09-23,4300,4309.4,4253,4268.5,588.15,4284.9,1702319,"112696126.75",13207
"INFY.NS","INE009A01021",2024-09-24,1888,1910.9,1871.4,1898.6,1208,1896.45,7277616,"127289219.3",8688
"RELIANCE.NS","INE002A01018",2024-09-24,2977,3001,2975.75,2978.75,1208,2986.75,8568722,"127289219.3",8688
"TCS.NS","INE467B01029",2024-09-24,4251.65,4291,4240,4271.3,1208,4268.5,3012026,"127289219.3",8688
"INFY.NS","INE009A01021",2024-09-25,1886.35,1901.6,1876.8,1895.3,2688.95,1898.6,4268341,"1929400240.05",49716
"RELIANCE.NS","INE002A01018",2024-09-25,2967.8,2993,2960.4,2987.9,2688.95,2978.75,3534501,"1929400240.05",49716
"TCS.NS","INE467B01029",2024-09-25,4252.35,4289.6,4240,4274.75,2688.95,4271.3,2713073,"1929400240.05",49716
"INFY.NS","INE009A01021",2024-09-26,1897.8,1917.95,1893,1900.25,2007.95,1895.3,8952803,"639242060.2",32134
"RELIANCE.NS","INE002A01018",2024-09-26,2981.3,3008,2976.1,2995.9,2007.95,2987.9,9409499,"639242060.2",32134
"TCS.NS","INE467B01029",2024-09-26,4260,4316.8,4260,4292.5,2007.95,4274.75,3964251,"639242060.2",32134
"INFY.NS","INE009A01021",2024-09-27,1932.1,1974.6,1903.3,1906.75,99,1900.25,14908931,"17995270.67",1990
"RELIANCE.NS","INE002A01018",2024-09-27,2998,3066.95,2984,3052.35,99,2995.9,10298739,"17995270.67",1990
"TCS.NS","INE467B01029",2024-09-27,4335,4378,4300.05,4308.7,99,4292.5,3012477,"17995270.67",1990
"INFY.NS","INE009A01021",2024-09-30,1880,1901.25,1870.5,1875.6,8075,1906.75,6986955,"2158464491.15",38946
"RELIANCE.NS","INE002A01018",2024-09-30,3038.8,3049.95,2948.8,2953.15,8075,3052.35,13504407,"2158464491.15",38946
"TCS.NS","INE467B01029",2024-09-30,4286.9,4298.75,4260.05,4268.5,8075,4308.7,2503416,"2158464491.15",38946
"INFY.NS","INE009A01021",2024-10-01,1875,1908.95,1875,1904.35,1409,1875.6,4029072,"3292829.05",463
"RELIANCE.NS","INE002A01018",2024-10-01,2961.3,2975.9,2925.65,2929.65,1409,2953.15,8215821,"3292829.05",463
"TCS.NS","INE467B01029",2024-10-01,4255.55,4295.75,4242.95,4287.9,1409,4268.5,1823365,"3292829.05",463
"INFY.NS","INE009A01021",2024-10-03,1889.5,1911.85,1881,1893.4,16.6,1904.35,7503887,"7724359.1",2319
"RELIANCE.NS","INE002A01018",2024-10-03,2873.15,2898.8,2804.15,2813.95,16.6,2929.65,18878647,"7724359.1",2319
"TCS.NS","INE467B01029",2024-10-03,4262.6,4279,4210,4232.75,16.6,4287.9,3350119,"7724359.1",2319
"INFY.NS","INE009A01021",2024-10-04,1889.55,1954.1,1886,1918.15,217.5,1893.4,10001483,"4805186.04",1144
"RELIANCE.NS","INE002A01018",2024-10-04,2807.85,2834.7,2763.55,2773.05,217.5,2813.95,18536438,"4805186.04",1144
"TCS.NS","INE467B01029",2024-10-04,4225,4298,4224.05,4252.25,217.5,4232.75,2965463,"4805186.04",1144
"INFY.NS","INE009A01021",2024-10-07,1923.2,1942,1916.05,1934.3,253.15,1918.15,6112575,"3093836.4",600
"RELIANCE.NS","INE002A01018",2024-10-07,2787,2793,2722.75,2741.45,253.15,2773.05,11090670,"3093836.4",600
"TCS.NS","INE467B01029",2024-10-07,4273.9,4297.25,4229.4,4272.85,253.15,4252.25,1472619,"3093836.4",600
"INFY.NS","INE009A01021",2024-10-08,1937.9,1957.95,1906.35,1948.55,59.2,1934.3,5637391,"75484303.5",9786
"RELIANCE.NS","INE002A01018",2024-10-08,2745.95,2802,2730.2,2794.7,59.2,2741.45,8510404,"75484303.5",9786
