"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"CANFINHOME",919.4,10.58,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56,"MICRO_CAP"
"AXISBANK",1294.2,4.93,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55.3,"LARGE_CAP"
"CHOLAFIN",1699.2,2.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55.3,"MID_CAP"
"FEDFINA",159.55,-1.35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55.3,"SMALL_CAP"
"CCL",971.05,10.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55.3,"MICRO_CAP"
"UNIONGOLD",139.2,13.3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,55.3,"MICRO_CAP"
"SAIL",149.37,9.27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,54.7,"MID_CAP"
"MANAPPURAM",314,5.87,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,54.7,"MID_CAP"
"GAEL",140.13,24.04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,54.7,"MICRO_CAP"
"SILVERBEES",269.44,64.26,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,54,"LARGE_CAP"
"SILVER",281.65,64.73,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,54,"SMALL_CAP"
"AUROPHARMA",1172.7,5.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,"SMALL_CAP"
"ASTRAL",1464.3,4.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,"SMALL_CAP"
"SDL26BEES",135.92,1.26,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,54,"MICRO_CAP"
"TMB",565.65,23.36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,54,"MICRO_CAP"
"GOLDBEES",117.78,13.73,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,53.3,"LARGE_CAP"
"HINDZINC",637.75,21.84,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"LARGE_CAP"
"GOLDIETF",121.93,13.95,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"MID_CAP"
"LAURUSLABS",1076.8,18.18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"SMALL_CAP"
"PHOENIXLTD",1859,12.18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"SMALL_CAP"
"AXISGOLD",118.82,13.74,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,53.3,"MICRO_CAP"
"STAR",900.1,5.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"MICRO_CAP"
"GOLDETF",138.1,13.8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,53.3,"MICRO_CAP"
"INDSWFTLAB",110.95,-1.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"MICRO_CAP"
"ONWARDTEC",318.9,-0.24,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,53.3,"MICRO_CAP"
"MMFL",425.3,28.14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53.3,"MICRO_CAP"
"COFORGE",1732.3,3.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52.7,"LARGE_CAP"
"SILVERIETF",281.67,65.29,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,52.7,"MID_CAP"
"HINDALCO",934.65,14.93,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52.7,"MID_CAP"
"HDFCSILVER",270.89,64.38,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,52.7,"MID_CAP"
"GODREJCP",1236.9,5.71,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,52.7,"SMALL_CAP"
"RAJRATAN",524.75,48.84,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52.7,"MICRO_CAP"
"JKTYRE",503.4,26.17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52,"MICRO_CAP"
"MUFIN",117.72,25.14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52,"MICRO_CAP"
"HCLTECH",1698,14.51,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,51.3,"MID_CAP"
"TITAN",4196.9,16.53,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"MID_CAP"
"BHEL",265.4,6.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"SMALL_CAP"
"APLAPOLLO",1940.7,8.37,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"SMALL_CAP"
"TORNTPHARM",4018.2,10.25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"SMALL_CAP"
"EMCURE",1558.5,6.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"MICRO_CAP"
"JBCHEPHARM",1904,10.85,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51.3,"MICRO_CAP"
"KERNEX",1350.1,15.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.7,"MID_CAP"
"HDFCGOLD",121.69,13.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,50.7,"SMALL_CAP"
"BIOCON",377.65,6.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50.7,"SMALL_CAP"
"KEI",4370.1,4.24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50.7,"SMALL_CAP"
"IIFL",633.65,25.66,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50.7,"SMALL_CAP"
"SANSERA",1842.6,20.76,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50.7,"MICRO_CAP"
"TATASTEEL",188.21,7.83,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MID_CAP"
"TATACONSUM",1189.1,3.02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"SMALL_CAP"
"MUTHOOTFIN",3936.1,16.11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"SMALL_CAP"
"DALBHARAT",2162.4,-2.9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,50,"SMALL_CAP"
"GESHIP",1121.6,4.15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MICRO_CAP"
"JAMNAAUTO",127.89,21.14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,50,"MICRO_CAP"
"SILVERTUC",1602.6,91.87,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MICRO_CAP"
"IIFLCAPS",377.6,18.99,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,"MICRO_CAP"
"ULTRACEMCO",12378,1.97,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,49.3,"LARGE_CAP"
"NESTLEIND",1315.9,8.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MID_CAP"
"OIL",448.65,5.16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,49.3,"SMALL_CAP"
"HEG",577.25,8.07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"SMALL_CAP"
"PFOCUS",235.15,24.97,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"SMALL_CAP"
"PNBHOUSING",961.5,5.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"SMALL_CAP"
"AXISILVER",279.74,64.26,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,49.3,"SMALL_CAP"
"SILVERADD",271.73,64.78,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,49.3,"MICRO_CAP"
"INFOBEAN",790.5,37.76,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MICRO_CAP"
"KIRLOSENG",1170.3,22.79,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MICRO_CAP"
"INDIACEM",478.55,15.81,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MICRO_CAP"
"SILVER360",278.62,58.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,49.3,"MICRO_CAP"
"QGOLDHALF",117.8,13.81,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,49.3,"MICRO_CAP"
"TCS",3206.7,5.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48.7,"LARGE_CAP"
"LTF",296.4,10.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48.7,"MID_CAP"
"ABSLAMC",831.95,1.09,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,48.7,"MICRO_CAP"
"CARTRADE",2713.4,6.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48.7,"MICRO_CAP"
"HINDCOPPER",561.45,48.54,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"LARGE_CAP"
"NATIONALUM",361.6,48.83,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"LARGE_CAP"
"IDBI",104.55,9.24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"SMALL_CAP"
"BANKBEES",619.92,4.99,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"MICRO_CAP"
"HSCL",472.7,2.55,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,48,"MICRO_CAP"
"WEL",151.29,12.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"MICRO_CAP"
"PRICOLLTD",606.9,14.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"MICRO_CAP"
"HNGSNGBEES",534.57,-3.77,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,48,"MICRO_CAP"
"ESILVER",283.62,65.77,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"MICRO_CAP"
"SMSPHARMA",333.1,18.44,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"MICRO_CAP"
"ARTEMISMED",259.55,4.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,"MICRO_CAP"
"BORORENEW",540.55,-9.33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,47.3,"SMALL_CAP"
"DREDGECORP",1128.05,57.88,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,47.3,"SMALL_CAP"
"IPCALAB",1509.9,10.36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,47.3,"MICRO_CAP"
"TARC",168.04,4.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47.3,"MICRO_CAP"
"BEL",410.25,-0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46.7,"LARGE_CAP"
"MRPL",151.26,1.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46.7,"MID_CAP"
"VBL",500.4,10.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46.7,"MID_CAP"
"M&MFIN",356.15,18.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46.7,"SMALL_CAP"
"MUTHOOTMF",186.03,7.11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,46.7,"MICRO_CAP"
"TVSMOTOR",3667.8,3.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,"MID_CAP"
"PAYTM",1342.5,7.09,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,46,"MID_CAP"
"INDIANB",852.1,9.11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,"SMALL_CAP"
"GOLD1",118.46,13.71,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,46,"MICRO_CAP"
"BSLGOLDETF",125.25,13.66,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,46,"MICRO_CAP"
"MAKEINDIA",154.5,1.1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,46,"MICRO_CAP"
"EICHERMOT",7315,4.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45.3,"MID_CAP"
"MOTHERSON",114.79,5.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45.3,"SMALL_CAP"
"THELEELA",441.1,2.66,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,45.3,"SMALL_CAP"
"RAIN",140.49,5.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,45.3,"MICRO_CAP"
"GANDHAR",151.81,5.21,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,45.3,"MICRO_CAP"
"KROSS",197.91,-0.92,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,45.3,"MICRO_CAP"
"NTPC",346.35,1.57,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,44.7,"MID_CAP"
"BRITANNIA",5898.5,-1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"MID_CAP"
"RICOAUTO",121.84,26.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"MICRO_CAP"
"SIRCA",491.4,-0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"MICRO_CAP"
"SATIN",150.8,1.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44.7,"MICRO_CAP"
"APOLLOTYRE",508.55,5.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"NH",1916.8,5.23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"LIQUIDETF",1000,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,44,"MICRO_CAP"
"SENORES",790.05,7.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,"MICRO_CAP"
"NEXT50",707.39,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,44,"MICRO_CAP"
"JSWSTEEL",1187.3,1.73,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,43.3,"MID_CAP"
"BDL",1516.4,-2.01,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,43.3,"MID_CAP"
"ANANDRATHI",3092.2,4.28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,43.3,"MICRO_CAP"
