SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Energy - Oil & Gas,47.22,15,146,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,360.3,1.21,0.33,-3.39,54.7,51.4,BULLISH,7.85,4,12,20,62.6,70,56,58.64,59.17,1247971838.5,HOLD,2025-12-05
Energy - Oil & Gas,47.22,15,113,BIOCON,BIOCON LIMITED.,MID_CAP,392.65,1.11,-1.43,3.19,52,50.4,BULLISH,4.87,3,10,15,58.99,60.43,56,56.82,63,1646053758.85,HOLD,2025-12-05
Energy - Oil & Gas,47.22,15,6,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1540.6,0.33,-1.72,4.58,48,59.1,STRONG_BULLISH,7.98,5,12,0,NA,NA,NA,NA,NA,15629290582.5,WEAK_HOLD,2025-12-05
Energy - Oil & Gas,47.22,15,181,IOC,INDIAN OIL CORP LTD,SMALL_CAP,163.66,0.55,1.18,-3.3,40.7,49.3,BULLISH,8.72,6,10,0,NA,NA,NA,NA,NA,998960359.41,WEAK_HOLD,2025-12-05
Energy - Oil & Gas,47.22,15,405,MRPL,MRPL,MICRO_CAP,153.74,-1.91,-2.73,-12.61,40.7,40.1,BULLISH,16.95,8,8,0,NA,NA,NA,NA,NA,240410068.71,WEAK_HOLD,2025-12-05
Infrastructure,46,16,143,BHEL,BHEL,MID_CAP,277.75,0.73,-4.5,3.93,50.7,52.8,BULLISH,15.63,11,2,15,53.94,54.13,47,55.45,63,1279531371.05,HOLD,2025-12-05
Infrastructure,46,16,807,TEXINFRA,TEXMACO INFRA & HOLDG LTD,MICRO_CAP,105,-0.76,0.76,3.19,48,62.8,STRONG_BULLISH,8.93,9,12,0,NA,NA,NA,NA,NA,10852595.64,WEAK_HOLD,2025-12-05
Infrastructure,46,16,35,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,4038.2,1.37,-0.77,2.9,46,57.9,STRONG_BULLISH,8.39,5,13,0,NA,NA,NA,NA,NA,4323178153.1,WEAK_HOLD,2025-12-05
Infrastructure,46,16,280,ADANIENSOL,ADANI ENERGY SOLUTION LTD,SMALL_CAP,978.85,0.74,-1.58,-0.72,46,51.1,BULLISH,10.11,9,12,0,10,10,10,10,10,529801745.95,WEAK_HOLD,2025-12-05
Infrastructure,46,16,105,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1509.4,0.25,-0.49,4.5,39.3,58,STRONG_BULLISH,4.23,3,10,0,10,10,10,10,10,1716607986.7,WEAK_HOLD,2025-12-05
Telecom,41.32,11,23,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2108.8,0.24,0.34,-0.21,53.3,54,STRONG_BULLISH,5.98,7,12,15,52.75,50.65,51,54.32,59.17,6174337765,HOLD,2025-12-05
Telecom,41.32,11,6,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1540.6,0.33,-1.72,4.58,48,59.1,STRONG_BULLISH,7.98,5,12,0,NA,NA,NA,NA,NA,15629290582.5,WEAK_HOLD,2025-12-05
Telecom,41.32,11,361,TATACOMM,TATA COMMUNICATIONS LTD,MICRO_CAP,1837.9,-0.48,1.25,-3.54,40.7,47.7,BULLISH,7.63,4,12,0,NA,NA,NA,NA,NA,328866305.3,WEAK_HOLD,2025-12-05
Telecom,41.32,11,211,TATACONSUM,TATA CONSUMER PRODUCT LTD,SMALL_CAP,1162.9,1.26,-0.81,-1.39,33.3,50.1,STRONG_BULLISH,1.72,1,8,0,NA,NA,NA,NA,NA,809226310.1,SELL,2025-12-05
Telecom,41.32,11,26,TATASTEEL,TATA STEEL LIMITED,LARGE_CAP,167.11,0.2,-0.51,-6.79,31.3,38.9,BEARISH,-4.03,1,15,0,NA,NA,NA,NA,NA,5555023660.21,SELL,2025-12-05
FMCG & Consumer Goods,37.34,17,94,MARICO,MARICO LIMITED,MID_CAP,736.65,3.08,2.68,2.7,44.7,56,BEARISH,0.81,3,20,0,NA,NA,NA,NA,NA,1931200603.45,WEAK_HOLD,2025-12-05
FMCG & Consumer Goods,37.34,17,124,BRITANNIA,BRITANNIA INDUSTRIES LTD,MID_CAP,5961,1.44,1.97,1.16,42,56.2,BEARISH,-3.27,0,15,15,52.36,51.96,47,54.77,59.17,1445800181.5,WEAK_HOLD,2025-12-05
FMCG & Consumer Goods,37.34,17,311,RADICO,RADICO KHAITAN LTD,MICRO_CAP,3201.9,-0.44,-0.19,0.07,34,49,BULLISH,3.41,1,10,0,NA,NA,NA,NA,NA,441992027.7,SELL,2025-12-05
FMCG & Consumer Goods,37.34,17,211,TATACONSUM,TATA CONSUMER PRODUCT LTD,SMALL_CAP,1162.9,1.26,-0.81,-1.39,33.3,50.1,STRONG_BULLISH,1.72,1,8,0,NA,NA,NA,NA,NA,809226310.1,SELL,2025-12-05
FMCG & Consumer Goods,37.34,17,161,NESTLEIND,NESTLE INDIA LIMITED,SMALL_CAP,1246.9,0.36,-1.13,-1.43,32.7,41.9,BEARISH,2.9,2,11,0,NA,NA,NA,NA,NA,1131540106.3,SELL,2025-12-05
Chemicals,35.6,17,226,DEEPAKNTR,DEEPAK NITRITE LTD,SMALL_CAP,1569,2.29,0.67,-10.44,40.7,31.7,STRONG_BEARISH,-14.59,5,18,15,59.32,61.3,57,57.73,60,724139531.6,WEAK_HOLD,2025-12-05
Chemicals,35.6,17,123,UPL,UPL LIMITED,MID_CAP,759.1,0.35,0.06,3.79,39.3,60.7,BULLISH,8.36,5,6,0,NA,NA,NA,NA,NA,1463878210.1,WEAK_HOLD,2025-12-05
Chemicals,35.6,17,751,BHAGCHEM,BHAGIRADHA CHEM & INDS L,MICRO_CAP,233.3,-0.69,-4.88,-5.02,34.7,33,STRONG_BEARISH,-10.72,5,10,15,58.51,56.3,71,58.18,44,35550973.29,SELL,2025-12-05
Chemicals,35.6,17,391,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,MICRO_CAP,1292.6,-2.13,-5.56,-14.08,33.3,32.5,STRONG_BEARISH,-12.79,0,8,25,70.76,75.43,76,62.95,60,260043699.4,SELL,2025-12-05
Chemicals,35.6,17,747,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,MICRO_CAP,262.1,-4.38,-7.78,-32.24,30,13.6,STRONG_BEARISH,-40.3,1,6,20,66.26,64.13,77,57.27,66,37438899.55,SELL,2025-12-05
Energy - Power,33.06,16,239,TDPOWERSYS,TD POWER SYSTEMS LTD.,SMALL_CAP,696.7,-3.95,-10.33,-15.04,41.3,40.5,BULLISH,24.4,10,2,0,NA,NA,NA,NA,NA,687527110.5,WEAK_HOLD,2025-12-05
Energy - Power,33.06,16,244,TORNTPOWER,TORRENT POWER LTD,SMALL_CAP,1289.9,-0.75,-1.87,-1.1,35.3,46.1,BEARISH,0.52,3,10,0,NA,NA,NA,NA,NA,667412584.1,WEAK_HOLD,2025-12-05
Energy - Power,33.06,16,430,BORORENEW,BOROSIL RENEWABLES LTD,MICRO_CAP,552,-2.67,-5.09,-16.73,32.7,33.3,BEARISH,-4.65,0,8,20,63.2,57.38,81,59.5,54,200998228.3,SELL,2025-12-05
Energy - Power,33.06,16,712,GREENPLY,GREENPLY INDUSTRIES LTD,MICRO_CAP,283.5,-0.51,0.37,-4.79,28.7,43.9,STRONG_BEARISH,-13.96,5,12,0,NA,NA,NA,NA,NA,49234988.4,SELL,2025-12-05
Energy - Power,33.06,16,86,TATAPOWER,TATA POWER CO LTD,MID_CAP,384.5,0.01,-1.44,-4.02,27.3,42.7,BEARISH,-4.46,1,11,0,NA,NA,NA,NA,NA,2046286971,SELL,2025-12-05
Agriculture & Fertilizers,32,6,223,COROMANDEL,COROMANDEL INTERNTL. LTD,SMALL_CAP,2300.3,-0.14,-3.43,6.06,42.7,54.6,BULLISH,0.23,4,12,15,54.33,51.3,51,55.77,66,734635516.6,WEAK_HOLD,2025-12-05
Agriculture & Fertilizers,32,6,123,UPL,UPL LIMITED,MID_CAP,759.1,0.35,0.06,3.79,39.3,60.7,BULLISH,8.36,5,6,0,NA,NA,NA,NA,NA,1463878210.1,WEAK_HOLD,2025-12-05
Agriculture & Fertilizers,32,6,180,RCF,RASHTRIYA CHEMICALS & FER,SMALL_CAP,141.99,4.8,0.45,-7.12,34,45.6,STRONG_BEARISH,-9.3,5,20,0,NA,NA,NA,NA,NA,999341378.71,SELL,2025-12-05
Agriculture & Fertilizers,32,6,656,GNFC,GUJ NAR VAL FER & CHEM L,MICRO_CAP,502.7,-0.15,0.95,1.29,24.7,53.7,STRONG_BEARISH,-3.49,1,10,0,NA,NA,NA,NA,NA,67066516.55,SELL,2025-12-05
Agriculture & Fertilizers,32,6,497,GSFC,GUJ STATE FERT & CHEM LTD,MICRO_CAP,179.14,-0.48,-2.87,-6.45,19.3,33.1,STRONG_BEARISH,-16.6,0,12,0,NA,NA,NA,NA,NA,155974906.31,SELL,2025-12-05
Paper & Packaging,31.46,9,328,JKTYRE,JK TYRE & INDUSTRIES LTD,MICRO_CAP,464.3,-2.05,3.87,2.43,47.3,61.1,BULLISH,22.36,11,4,0,NA,NA,NA,NA,NA,393683780.3,WEAK_HOLD,2025-12-05
Paper & Packaging,31.46,9,217,EMAMILTD,EMAMI LIMITED,SMALL_CAP,525.3,1.69,-0.98,-2.29,32,49.3,BEARISH,-10.85,6,11,0,NA,NA,NA,NA,NA,754193474.95,SELL,2025-12-05
Paper & Packaging,31.46,9,383,WESTLIFE,WESTLIFE FOODWORLD LTD,MICRO_CAP,558.55,-3.06,-1.53,-4.56,28.7,40.7,BEARISH,-24.39,5,10,0,NA,NA,NA,NA,NA,274066084.9,SELL,2025-12-05
Paper & Packaging,31.46,9,641,JKPAPER,JK PAPER LIMITED,MICRO_CAP,369.2,-0.51,0.44,-4.44,25.3,42.2,BEARISH,-7.64,1,12,0,NA,NA,NA,NA,NA,73073722.15,SELL,2025-12-05
Paper & Packaging,31.46,9,435,JKLAKSHMI,JK LAKSHMI CEMENT LTD,MICRO_CAP,750.25,0.23,-1.13,-11.93,24,28.9,STRONG_BEARISH,-17.68,5,13,0,NA,NA,NA,NA,NA,192555872.1,SELL,2025-12-05
Realty,30.52,7,228,PRESTIGE,PRESTIGE ESTATE LTD,SMALL_CAP,1689.7,1.84,0.74,-3.25,41.3,50.9,BULLISH,2.9,1,17,0,NA,NA,NA,NA,NA,722535710.4,WEAK_HOLD,2025-12-05
Realty,30.52,7,165,OBEROIRLTY,OBEROI REALTY LIMITED,SMALL_CAP,1657.7,-0.36,0.64,-6.93,33.3,45.9,BULLISH,-2.23,3,12,0,NA,NA,NA,NA,NA,1082052882.6,SELL,2025-12-05
Realty,30.52,7,174,GODREJPROP,GODREJ PROPERTIES LTD,SMALL_CAP,2082.4,0.13,-1.52,-9.19,30,41.8,BEARISH,-4.41,1,15,0,NA,NA,NA,NA,NA,1033015474.2,SELL,2025-12-05
Realty,30.52,7,387,BRIGADE,BRIGADE ENTER. LTD,MICRO_CAP,883.15,-0.94,-1.34,-13.25,25.3,35.7,STRONG_BEARISH,-7.27,1,10,15,56.82,55.43,51,60,66,262942029.95,SELL,2025-12-05
Realty,30.52,7,689,SUNTECK,SUNTECK REALTY LIMITED,MICRO_CAP,404.85,-1.84,-4.3,-12.01,22.7,36,BEARISH,-11.53,1,12,0,NA,NA,NA,NA,NA,55072294,SELL,2025-12-05
Consumer Durables,29.06,12,93,TITAN,TITAN COMPANY LIMITED,MID_CAP,3813.3,0.34,-2.42,-0.01,40.7,49.2,STRONG_BULLISH,8.5,5,8,0,NA,NA,NA,NA,NA,1939955053.2,WEAK_HOLD,2025-12-05
Consumer Durables,29.06,12,287,BLUESTARCO,BLUE STAR LIMITED,SMALL_CAP,1734.4,-1.03,-1.76,-9.55,33.3,35.9,BEARISH,-13.17,1,8,25,72.84,74.35,86,58.5,66,505178912.1,SELL,2025-12-05
Consumer Durables,29.06,12,261,CROMPTON,CROMPT GREA CON ELEC LTD,SMALL_CAP,260.1,0.46,-1.98,-8.17,31.3,31.1,STRONG_BEARISH,-18.64,0,15,15,57.18,56.52,61,56.59,53.33,605387068.65,SELL,2025-12-05
Consumer Durables,29.06,12,771,RAJESHEXPO,RAJESH EXPORTS LTD,MICRO_CAP,184.65,-2.15,-1.01,1.56,21.3,47.1,BULLISH,-10.31,1,12,0,NA,NA,NA,NA,NA,29478072.02,SELL,2025-12-05
Consumer Durables,29.06,12,698,VGUARD,V-GUARD IND LTD.,MICRO_CAP,342.55,1.35,-0.51,-8.25,18.7,41.8,STRONG_BEARISH,-9.98,0,17,0,NA,NA,NA,NA,NA,52827463.25,SELL,2025-12-05
Logistics & Shipping,27.766666666666666,3,105,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1509.4,0.25,-0.49,4.5,39.3,58,STRONG_BULLISH,4.23,3,10,0,10,10,10,10,10,1716607986.7,WEAK_HOLD,2025-12-05
Logistics & Shipping,27.766666666666666,3,164,CONCOR,CONTAINER CORP OF IND LTD,SMALL_CAP,511.05,-0.32,-0.04,-5.8,24.7,42.6,STRONG_BEARISH,-9.2,0,12,15,54,53.7,51,56.36,56.67,1083557547.65,SELL,2025-12-05
Logistics & Shipping,27.766666666666666,3,726,VRLLOG,VRL LOGISTICS LIMITED,MICRO_CAP,273.85,1.14,0.94,1.22,19.3,51.2,STRONG_BEARISH,-6.17,1,10,0,NA,NA,NA,NA,NA,45496108.55,SELL,2025-12-05
