"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"DELPHIFX",242.24,244.9985,226.8722,227.1219,240.25095,FALSE,TRUE,TRUE,TRUE
"DELTACORP",69.92,69.5045000000002,71.7768000000003,77.7039,83.3916999999999,TRUE,FALSE,FALSE,FALSE
"DELTAMAGNT",68.45,68.8924999999998,71.6823999999999,78.8473,90.2965000000002,FALSE,FALSE,FALSE,FALSE
"DEN",30.16,31.0490000000001,31.8644,33.6568000000001,34.35975,FALSE,FALSE,FALSE,FALSE
"DENORA",624.8,677.247499999998,724.134000000001,778.627500000001,806.089750000001,FALSE,FALSE,FALSE,FALSE
"DEVIT",33.35,35.9630000000002,38.8297999999999,48.8501,79.9608,FALSE,FALSE,FALSE,FALSE
"DEVYANI",132.13,137.688,145.1428,157.7464,162.77185,FALSE,FALSE,FALSE,FALSE
"DGCONTENT",31.39,32.0885,33.6236,38.5806,31.1481,FALSE,FALSE,FALSE,TRUE
"DHAMPURSUG",116.47,121.37,128.173,131.826,135.47995,FALSE,FALSE,FALSE,FALSE
"DHANBANK",25.64,25.4795,26.2564,26.0899,28.36965,TRUE,FALSE,FALSE,FALSE
"DHANI",51.06,59.0725,61.7789999999999,63.4,65.47685,FALSE,FALSE,FALSE,FALSE
"DHANUKA",1074.7,1163.755,1250.268,1405.118,1461.275,FALSE,FALSE,FALSE,FALSE
"DHARMAJ",236.77,238.614,251.499,267.1997,247.659,FALSE,FALSE,FALSE,FALSE
"DHRUV",43.67,46.528,48.9858000000001,68.8419000000001,84.7933999999999,FALSE,FALSE,FALSE,FALSE
"DHUNINV",1139.2,1180.04,1275.16,1354.147,1430.22825,FALSE,FALSE,FALSE,FALSE
"DIAMONDYD",1148.4,1131.97,1090.234,1036.5695,1068.033,TRUE,TRUE,TRUE,TRUE
"DICIND",466.75,486.7275,503.378,535.292000000001,593.68,FALSE,FALSE,FALSE,FALSE
"DIGISPICE",23.03,25.4855,24.6276,23.5225,23.9403,FALSE,FALSE,FALSE,FALSE
"DIL",1.79,1.8415,1.9316,2.3339,4.44470000000002,FALSE,FALSE,FALSE,FALSE
"DISHTV",3.77,3.9745,4.20100000000001,4.66969999999999,6.30335,FALSE,FALSE,FALSE,FALSE
"DIVISLAB",6236,6433.95,6504.73,6314.355,6305.088,FALSE,FALSE,FALSE,FALSE
"DIVOPPBEES",83.85,82.497,81.4724,79.4367000000001,78.1799500000001,TRUE,TRUE,TRUE,TRUE
"DIXON",10732,12399.05,14096.76,15626.02,15348.438,FALSE,FALSE,FALSE,FALSE
"DJML",72.5,65.2455,73.8078000000001,87.2840999999999,106.2766,TRUE,FALSE,FALSE,FALSE
"DLF",649.85,688.330000000001,727.644,741.897499999999,748.58175,FALSE,FALSE,FALSE,FALSE
"DLINKINDIA",399.05,418.7625,436.701,462.187,474.073,FALSE,FALSE,FALSE,FALSE
"DMART",3775.7,3813.45,3982.546,4249.674,4177.464,FALSE,FALSE,FALSE,FALSE
"DMCC",228.35,250.9425,270.846,292.747,294.058,FALSE,FALSE,FALSE,FALSE
"DNAMEDIA",4.6,3.9075,4.08020000000001,4.3901,4.68705,TRUE,TRUE,TRUE,FALSE
"DODLA",1201.8,1219.61,1234.878,1297.487,1265.34425,FALSE,FALSE,FALSE,FALSE
"DOLATALGO",85.86,85.6005,79.9575999999999,81.4368000000001,86.6728999999999,TRUE,TRUE,TRUE,FALSE
"DOLLAR",331.85,341.714999999999,349.137,357.2245,373.26925,FALSE,FALSE,FALSE,FALSE
"DONEAR",85.67,94.34,97.9412,96.7013,102.9235,FALSE,FALSE,FALSE,FALSE
"DPABHUSHAN",1398.9,1459.08,1477.614,1511.63,1493.24525,FALSE,FALSE,FALSE,FALSE
"DPSCLTD",9.48,10.006,10.7798,11.4777,12.20675,FALSE,FALSE,FALSE,FALSE
"DPWIRES",185.39,197.541,213.0236,225.9472,226.007200000001,FALSE,FALSE,FALSE,FALSE
"DREAMFOLKS",100.31,108.1715,118.5708,176.8277,239.71285,FALSE,FALSE,FALSE,FALSE
"DREDGECORP",1128.05,991.0125,870.126,752.1055,704.4285,TRUE,TRUE,TRUE,TRUE
"DRREDDY",1175.5,1243.275,1242.71,1251.904,1239.74824999999,FALSE,FALSE,FALSE,FALSE
"DSPN50ETF",223.3,221.42,220.009,210.09,202.5168,TRUE,TRUE,TRUE,TRUE
"DSPNEWETF",283.05,277.2855,272.5474,257.5557,242.4958,TRUE,TRUE,TRUE,TRUE
