INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty Midcap 50,56.8,90,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1222.5,1.02,8.78,10.23,67.3,73.2,BULLISH,12.82,14,10,20,67.41,70.43,70,59.18,66,2507360690.1,BUY,2025-11-14
Nifty Midcap 50,56.8,154,BIOCON,BIOCON LIMITED.,SMALL_CAP,411.15,-1.4,8.08,15.36,55.3,73.7,BULLISH,11.91,13,8,15,58.99,60.43,56,56.82,63,1375792174.05,HOLD,2025-11-14
Nifty Midcap 50,56.8,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
Nifty Midcap 50,56.8,13,ADANIENT,ADANI ENTERPRISES LIMITED,LARGE_CAP,2516.8,1.15,6.22,-0.63,54,55.6,BEARISH,6.01,11,13,0,10,10,10,10,10,11350671383.9,HOLD,2025-11-14
Nifty Midcap 50,56.8,57,VEDL,VEDANTA LIMITED,MID_CAP,525.35,-0.8,2,8.76,52.7,65.6,STRONG_BULLISH,18.78,13,12,0,NA,NA,NA,NA,NA,3565272200.25,HOLD,2025-11-14
Nifty PSU Bank,55.74,132,BANKBARODA,BANK OF BARODA,MID_CAP,286.75,1.24,-0.8,6.84,62.7,64.6,STRONG_BULLISH,17.04,13,12,15,53.65,55.48,47,57.94,54.17,1646200960.5,HOLD,2025-11-14
Nifty PSU Bank,55.74,52,CANBK,CANARA BANK,MID_CAP,146.07,1.83,3.84,13.75,58,81.6,STRONG_BULLISH,34.57,15,10,15,54.62,54.05,47,56.76,66,3847268871.36,HOLD,2025-11-14
Nifty PSU Bank,55.74,15,SBIN,STATE BANK OF INDIA,LARGE_CAP,967.85,1.45,1.26,9.23,57.3,76.2,STRONG_BULLISH,14.49,13,17,0,NA,NA,NA,NA,NA,10617844264.95,HOLD,2025-11-14
Nifty PSU Bank,55.74,206,PNB,PUNJAB NATIONAL BANK,SMALL_CAP,122.21,0.94,-0.14,4.99,50.7,60.3,STRONG_BULLISH,15.03,11,12,0,NA,NA,NA,NA,NA,918567793.83,HOLD,2025-11-14
Nifty PSU Bank,55.74,156,UNIONBANK,UNION BANK OF INDIA,SMALL_CAP,152.76,0.57,-0.35,9.55,50,60.9,BULLISH,16.27,13,12,0,NA,NA,NA,NA,NA,1351000892.22,HOLD,2025-11-14
Nifty Pharma,53.699999999999996,90,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1222.5,1.02,8.78,10.23,67.3,73.2,BULLISH,12.82,14,10,20,67.41,70.43,70,59.18,66,2507360690.1,BUY,2025-11-14
Nifty Pharma,53.699999999999996,105,ALKEM,ALKEM LABORATORIES LTD.,MID_CAP,5722.5,-0.05,0.95,2.8,61.3,64.4,STRONG_BULLISH,1.79,8,10,15,56.97,60.22,47,58.41,63,2185409713,HOLD,2025-11-14
Nifty Pharma,53.699999999999996,154,BIOCON,BIOCON LIMITED.,SMALL_CAP,411.15,-1.4,8.08,15.36,55.3,73.7,BULLISH,11.91,13,8,15,58.99,60.43,56,56.82,63,1375792174.05,HOLD,2025-11-14
Nifty Pharma,53.699999999999996,107,TORNTPHARM,TORRENT PHARMACEUTICALS L,MID_CAP,3831.8,0.15,7.03,8.46,45.3,71.1,STRONG_BULLISH,1.53,8,9,0,NA,NA,NA,NA,NA,2148859979,WEAK_HOLD,2025-11-14
Nifty Pharma,53.699999999999996,79,SUNPHARMA,SUN PHARMACEUTICAL IND L,MID_CAP,1757.1,1.13,3.88,6.16,39.3,70.9,BULLISH,4.08,7,8,0,NA,NA,NA,NA,NA,2921886946.2,WEAK_HOLD,2025-11-14
Nifty Oil & Gas,53.22,89,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,371.15,-1.01,1.09,9.84,66,66.6,STRONG_BULLISH,14.31,13,12,20,62.6,70,56,58.64,59.17,2552597083.75,BUY,2025-11-14
Nifty Oil & Gas,53.22,12,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1518.9,0.53,2.77,10.52,50.7,69,BULLISH,5.8,11,15,0,NA,NA,NA,NA,NA,11651084505.3,HOLD,2025-11-14
Nifty Oil & Gas,53.22,116,IOC,INDIAN OIL CORP LTD,MID_CAP,171.25,-0.7,1.24,11.43,50.7,74.7,STRONG_BULLISH,19.23,15,10,0,NA,NA,NA,NA,NA,1896183897.12,HOLD,2025-11-14
Nifty Oil & Gas,53.22,306,MRPL,MRPL,MICRO_CAP,171.83,-1.04,-0.38,20.92,50.7,64.7,STRONG_BULLISH,34.71,15,8,0,NA,NA,NA,NA,NA,492290395.52,HOLD,2025-11-14
Nifty Oil & Gas,53.22,266,OIL,OIL INDIA LTD,SMALL_CAP,436.85,0.55,0.73,3.26,48,59.8,BULLISH,5.81,7,15,0,NA,NA,NA,NA,NA,617505008.35,WEAK_HOLD,2025-11-14
Nifty Next 50,52.28,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
Nifty Next 50,52.28,13,ADANIENT,ADANI ENTERPRISES LIMITED,LARGE_CAP,2516.8,1.15,6.22,-0.63,54,55.6,BEARISH,6.01,11,13,0,10,10,10,10,10,11350671383.9,HOLD,2025-11-14
Nifty Next 50,52.28,57,VEDL,VEDANTA LIMITED,MID_CAP,525.35,-0.8,2,8.76,52.7,65.6,STRONG_BULLISH,18.78,13,12,0,NA,NA,NA,NA,NA,3565272200.25,HOLD,2025-11-14
Nifty Next 50,52.28,59,ADANIPORTS,ADANI PORT & SEZ LTD,MID_CAP,1512.7,0.91,4.45,4.27,52.7,67.7,STRONG_BULLISH,9.11,7,11,0,10,10,10,10,10,3547158780,HOLD,2025-11-14
Nifty Next 50,52.28,53,INDUSINDBK,INDUSIND BANK LIMITED,MID_CAP,848.25,-1.76,6.4,14.61,47.3,69.2,BULLISH,8.59,11,8,0,NA,NA,NA,NA,NA,3821865283.1,WEAK_HOLD,2025-11-14
Nifty Energy,51.88,89,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,371.15,-1.01,1.09,9.84,66,66.6,STRONG_BULLISH,14.31,13,12,20,62.6,70,56,58.64,59.17,2552597083.75,BUY,2025-11-14
Nifty Energy,51.88,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
Nifty Energy,51.88,12,RELIANCE,RELIANCE INDUSTRIES LTD,LARGE_CAP,1518.9,0.53,2.77,10.52,50.7,69,BULLISH,5.8,11,15,0,NA,NA,NA,NA,NA,11651084505.3,HOLD,2025-11-14
Nifty Energy,51.88,116,IOC,INDIAN OIL CORP LTD,MID_CAP,171.25,-0.7,1.24,11.43,50.7,74.7,STRONG_BULLISH,19.23,15,10,0,NA,NA,NA,NA,NA,1896183897.12,HOLD,2025-11-14
Nifty Energy,51.88,101,ONGC,OIL AND NATURAL GAS CORP.,MID_CAP,247.6,-1.3,-1.82,-0.05,37.3,47,STRONG_BULLISH,-0.17,2,8,0,NA,NA,NA,NA,NA,2274590691.6,WEAK_HOLD,2025-11-14
Nifty Private Bank,50.94,28,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1241.6,1.34,1.54,6.16,69.3,62.7,BULLISH,12.68,11,17,15,52.47,51.19,47,54.71,62,6437561401.2,BUY,2025-11-14
Nifty Private Bank,50.94,133,RBLBANK,RBL BANK LIMITED,MID_CAP,318.65,1.01,-2.92,6.38,52.7,57.3,STRONG_BULLISH,15.95,13,15,0,NA,NA,NA,NA,NA,1633734312.2,HOLD,2025-11-14
Nifty Private Bank,50.94,236,FEDERALBNK,FEDERAL BANK LTD,SMALL_CAP,236.26,0.2,-0.42,9.21,50.7,67.4,STRONG_BULLISH,17.12,13,10,0,NA,NA,NA,NA,NA,727114213.04,HOLD,2025-11-14
