"SYMBOL","ISIN","TIMESTAMP","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TOTALTRADES"
"AIROLAM.NS","INE801L01010",2025-08-01,114.3,116.95,106.2,109.33,236.5,107.98,4170,"48729806.54",5068
"AJANTPHARM.NS","INE031B01049",2025-08-01,2779.9,2792.9,2675,2695.2,236.5,2751.4,87356,"48729806.54",5068
"AJAXENGG.NS","INE274Y01021",2025-08-01,701,709.95,665,674,236.5,695.75,115026,"48729806.54",5068
"AJMERA.NS","INE298G01027",2025-08-01,897,900.05,855,864.6,236.5,897,55242,"48729806.54",5068
"AJOONI.NS","INE820Y01021",2025-08-01,5.5,5.52,5.43,5.46,236.5,5.43,172401,"48729806.54",5068
"AKASH.NS","INE737W01013",2025-08-01,27.21,27.57,26.59,26.98,236.5,27.21,3961,"48729806.54",5068
"AKG.NS","INE00Y801016",2025-08-01,13.23,13.23,12.38,12.67,236.5,12.91,22237,"48729806.54",5068
"AKSHARCHEM.NS","INE542B01011",2025-08-01,288.9,288.9,276,280.05,236.5,286.95,10171,"48729806.54",5068
"AKSHOPTFBR.NS","INE523B01011",2025-08-01,8.34,8.34,8.02,8.08,236.5,8.25,109377,"48729806.54",5068
"AKUMS.NS","INE09XN01023",2025-08-01,520,524.85,510.7,513.9,236.5,519.25,263863,"48729806.54",5068
"AKZOINDIA.NS","INE133A01011",2025-08-01,3793.1,3798.3,3624.5,3635.9,236.5,3771.4,14744,"48729806.54",5068
"ALANKIT.NS","INE914E01040",2025-08-01,14.99,15.49,14.99,15.33,236.5,15.12,289210,"48729806.54",5068
"ALBERTDAVD.NS","INE155C01010",2025-08-01,896.15,915.05,868,878.25,236.5,891.05,3788,"48729806.54",5068
"ALEMBICLTD.NS","INE426A01027",2025-08-01,112,112.55,110.81,111.21,236.5,112.12,250719,"48729806.54",5068
"ALICON.NS","INE062D01024",2025-08-01,917.1,926.35,891.1,898.95,236.5,912.3,3658,"48729806.54",5068
"ALIVUS.NS","INE03Q201024",2025-08-01,1026.8,1026.8,991.9,1000.6,236.5,1031.1,94374,"48729806.54",5068
"ALKALI.NS","INE773I01017",2025-08-01,92.1,92.1,88.1,89.04,236.5,90.56,9321,"48729806.54",5068
"ALKEM.NS","INE540L01014",2025-08-01,5032,5036,4840,4899,236.5,5031.1,220552,"48729806.54",5068
"ALKYLAMINE.NS","INE150B01039",2025-08-01,2369,2400,2278.4,2340.1,236.5,2348.2,159992,"48729806.54",5068
