"SYMBOL","OPEN","HIGH","LOW","CLOSE","PREVCLOSE","TOTTRDQTY","TOTTRDVAL","TIMESTAMP","TOTALTRADES","HI_52_WK","LO_52_WK"
"Nifty Bank",55897.15,56097.6,55562.1,55617.6,55961.95,0,0,2025-08-01,0,57628.4,47702.9
"NIFTY MIDCAP 100",57420.6,57515.75,56548.25,56637.15,57400.55,0,0,2025-08-01,0,60925.95,46865.7
"Nifty 500",22901.6,22917.85,22646.75,22673.65,22914.95,0,0,2025-08-01,0,24573.4,19519.85
"Nifty 100",25353.55,25385.05,25120.3,25149.6,25380.5,0,0,2025-08-01,0,27335.65,22177.35
"Nifty Midcap 50",16210.85,16222.2,15937.8,15963.15,16212.45,0,0,2025-08-01,0,17066.75,13269.65
"Nifty Realty",912.25,918,893.45,896.15,912.35,0,0,2025-08-01,0,1140.4,765.8
"Nifty Infra",9057.25,9066,8956.85,8969.65,9066.2,0,0,2025-08-01,0,9704.2,7589.95
"Nifty Energy",35183.3,35283.2,34826.3,34889,35116.15,0,0,2025-08-01,0,44721.1,29313.2
"Nifty FMCG",55982,57032.9,55974.8,56197.05,55812.15,0,0,2025-08-01,0,66438.7,50199.35
"Nifty MNC",28790.7,29082.55,28638.85,28684.25,28746.85,0,0,2025-08-01,0,32841.15,23981.05
"Nifty Pharma",22696.25,22705.95,21972.65,22011.7,22771.05,0,0,2025-08-01,0,23907.9,19121.1
"Nifty PSE",9670.75,9675,9518.3,9537.75,9682.7,0,0,2025-08-01,0,11564.9,7956.45
"Nifty PSU Bank",6848.15,6857.6,6761,6773.35,6850.95,0,0,2025-08-01,0,7304.8,5530.35
"Nifty Serv Sector",32684.35,32741.15,32394,32429.45,32739.2,0,0,2025-08-01,0,33916.45,29070.85
"India VIX",11.5425,12.11,11.4025,11.975,11.5425,0,0,2025-08-01,0,23.1875,9.47
"Nifty Auto",23684.85,23737.2,23378.9,23410.95,23655.85,0,0,2025-08-01,0,27696.1,19316.65
"Nifty Metal",9281.8,9285.4,9086.35,9102.35,9285.45,0,0,2025-08-01,0,10322.05,7690.2
"Nifty Media",1627.1,1649.2,1611.3,1616.8,1626.35,0,0,2025-08-01,0,2182.35,1344.4
"NIFTY SMLCAP 100",17944.3,17967.5,17641.4,17668.2,17966.85,0,0,2025-08-01,0,19716.2,14084.3
"Nifty 200",13802.65,13813.3,13661.65,13678.5,13814,0,0,2025-08-01,0,14833.75,11941.45
"Nifty Div Opps 50",5861.3,5885.6,5807.2,5815.05,5869,0,0,2025-08-01,0,7012.65,5288.6
"Nifty Commodities",8738.35,8747.6,8604.6,8619.3,8744.9,0,0,2025-08-01,0,9896.35,7502.95
"Nifty Consumption",11752,11836.25,11682.05,11697.15,11739.1,0,0,2025-08-01,0,13057.6,10090.65
"Nifty Fin Service",26619.4,26732.35,26461.05,26492.5,26649.95,0,0,2025-08-01,0,27369.8,22320.85
"Nifty50 Div Point",170.49,170.49,170.49,170.49,164.45,0,0,2025-08-01,0,0,0
"Nifty100 Liq 15",6866.95,6879.55,6802.2,6811.8,6865.7,0,0,2025-08-01,0,7223.7,5985.3
