SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Logistics & Shipping,38.68,6,VRLLOG,VRLLOG,MICRO_CAP,267.9,5.39,4.9,13.66,40.7,56.8,NA,11,16,NA,STRONG_BEARISH,WEAK_HOLD
Logistics & Shipping,38.68,6,TCIEXP,TCIEXP,MICRO_CAP,573.6,7.1,10.59,11.9,40,58.6,NA,11,12,NA,STRONG_BEARISH,WEAK_HOLD
Logistics & Shipping,38.68,6,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1732.8,-0.89,4.32,25.47,36,80.2,NA,13,8,NA,STRONG_BULLISH,WEAK_HOLD
Logistics & Shipping,38.68,6,CONCOR,CONCOR,MID_CAP,526.7,0.48,2.35,16.12,34,66.7,NA,8,13,NA,BULLISH,SELL
Consumer Durables,38.02,11,ORIENTELEC,ORIENTELEC,MICRO_CAP,192.09,4.57,3.19,23.96,44.7,70.2,NA,14,16,NA,BULLISH,WEAK_HOLD
Consumer Durables,38.02,11,VGUARD,VGUARD,MICRO_CAP,331.95,-0.12,-0.51,4.06,38.7,58.5,NA,7,12,NA,BULLISH,WEAK_HOLD
Consumer Durables,38.02,11,TITAN,TITAN,LARGE_CAP,4307.5,-1.2,-2.98,1.82,36.7,31.6,NA,6,8,NA,STRONG_BULLISH,WEAK_HOLD
Consumer Durables,38.02,11,ORIENTTECH,ORIENTTECH,SMALL_CAP,311.85,9.44,13.35,22.5,36.7,64.8,NA,13,8,NA,STRONG_BEARISH,WEAK_HOLD
Consumer Durables,38.02,11,CROMPTON,CROMPTON,SMALL_CAP,290.75,2.36,5.34,23.96,33.3,71.3,NA,10,6,NA,STRONG_BULLISH,SELL
Energy - Oil & Gas,38,16,HINDOILEXP,HINDOILEXP,MICRO_CAP,164.21,6.78,4.53,14.05,47.3,55.4,NA,14,14,NA,BULLISH,WEAK_HOLD
Energy - Oil & Gas,38,16,BIOCON,Biocon Limited,SMALL_CAP,382.25,0.43,5.52,12.41,38,75.6,NA,9,8,NA,BULLISH,WEAK_HOLD
Energy - Oil & Gas,38,16,PETRONET,PETRONET,SMALL_CAP,282.1,-0.42,0.71,10.59,36,63.7,NA,7,10,NA,STRONG_BEARISH,WEAK_HOLD
Energy - Oil & Gas,38,16,MGL,MGL,SMALL_CAP,1179.8,1.11,2.95,23.54,36,76.5,NA,9,13,NA,BULLISH,WEAK_HOLD
Energy - Oil & Gas,38,16,ATGL,ATGL,MID_CAP,644.25,-1.04,-1.93,24,32.7,65,NA,13,8,NA,BULLISH,SELL
IT & Software,36.54,16,WSTCSTPAPR,WSTCSTPAPR,MICRO_CAP,520.15,-1.61,7.94,16.8,41.3,56.6,NA,14,6,NA,STRONG_BULLISH,WEAK_HOLD
IT & Software,36.54,16,THOMASCOTT,THOMASCOTT,MICRO_CAP,309.85,17.1,19.7,24.99,40,66.9,NA,13,10,NA,STRONG_BEARISH,WEAK_HOLD
IT & Software,36.54,16,ALLTIME,ALLTIME,MICRO_CAP,270.18,2.53,14.45,33.05,34.7,75.9,NA,8,12,NA,BULLISH,SELL
IT & Software,36.54,16,MASTEK,MASTEK,MICRO_CAP,1687.3,-0.32,-0.28,10.25,34,48.8,NA,7,8,NA,BULLISH,SELL
IT & Software,36.54,16,INTELLECT,INTELLECT,MID_CAP,782.15,-0.29,5.73,17.2,32.7,70.8,NA,14,6,NA,BULLISH,SELL
Telecom,36.12,13,TATASTEEL,Tata Steel Limited,SMALL_CAP,217.09,0.75,0.56,9.57,39.3,63.3,NA,9,10,NA,STRONG_BULLISH,WEAK_HOLD
Telecom,36.12,13,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1151.7,-0.04,-1.4,8.45,37.3,63.1,NA,6,10,NA,STRONG_BULLISH,WEAK_HOLD
Telecom,36.12,13,TATAPOWER,Tata Power Company Limited,SMALL_CAP,439.25,-0.9,-2.71,13.3,36,58.7,NA,13,10,NA,STRONG_BULLISH,WEAK_HOLD
Telecom,36.12,13,COMMOIETF,COMMOIETF,MICRO_CAP,106.03,0.01,0.73,10.71,36,77.3,NA,9,13,NA,STRONG_BULLISH,WEAK_HOLD
Telecom,36.12,13,TATAINVEST,TATAINVEST,SMALL_CAP,732.5,0.82,2.08,23.44,32,60.8,NA,9,9,NA,BULLISH,SELL
Media & Entertainment,34.94,14,SUNFLAG,SUNFLAG,SMALL_CAP,412.3,3.95,40.68,77.36,38,89.2,NA,18,4,NA,STRONG_BULLISH,WEAK_HOLD
Media & Entertainment,34.94,14,HDBFS,HDBFS,SMALL_CAP,700.55,2.21,4.91,20.32,37.3,55.3,NA,5,11,NA,BULLISH,WEAK_HOLD
Media & Entertainment,34.94,14,LIQUIDBETF,LIQUIDBETF,SMALL_CAP,1080.42,0.01,0.1,0.38,34,100,NA,6,12,NA,STRONG_BULLISH,SELL
Media & Entertainment,34.94,14,SUNPHARMA,SUNPHARMA,LARGE_CAP,1834.4,-0.85,3.13,6.78,32.7,70,NA,9,8,NA,STRONG_BULLISH,SELL
Media & Entertainment,34.94,14,GOLDBEES,GOLDBEES,MICRO_CAP,124.47,0.36,2.38,2.21,32.7,44.8,NA,2,11,NA,BULLISH,SELL
Agriculture & Fertilizers,34.54,8,SUNFLAG,SUNFLAG,SMALL_CAP,412.3,3.95,40.68,77.36,38,89.2,NA,18,4,NA,STRONG_BULLISH,WEAK_HOLD
Agriculture & Fertilizers,34.54,8,GNFC,GNFC,MICRO_CAP,501.15,0.56,5.53,23.34,35.3,67.8,NA,9,6,NA,BULLISH,WEAK_HOLD
Agriculture & Fertilizers,34.54,8,GSFC,GSFC,MICRO_CAP,177.71,-0.12,2.98,15.63,34,62.2,NA,8,8,NA,BULLISH,SELL
Agriculture & Fertilizers,34.54,8,RCF,RCF,MICRO_CAP,131.75,-0.25,0.65,12.02,32.7,57,NA,4,10,NA,BULLISH,SELL
Agriculture & Fertilizers,34.54,8,NAVINFLUOR,NAVINFLUOR,LARGE_CAP,7085,0.6,4.83,21.7,32.7,82.2,NA,13,8,NA,STRONG_BULLISH,SELL
Cement & Construction,34.160000000000004,12,ORIENTELEC,ORIENTELEC,MICRO_CAP,192.09,4.57,3.19,23.96,44.7,70.2,NA,14,16,NA,BULLISH,WEAK_HOLD
Cement & Construction,34.160000000000004,12,ORIENTTECH,ORIENTTECH,SMALL_CAP,311.85,9.44,13.35,22.5,36.7,64.8,NA,13,8,NA,STRONG_BEARISH,WEAK_HOLD
Cement & Construction,34.160000000000004,12,STARCEMENT,STARCEMENT,MICRO_CAP,238.56,1.78,5.29,13.8,32.7,66.3,NA,11,10,NA,BULLISH,SELL
Cement & Construction,34.160000000000004,12,DALMIASUG,DALMIASUG,MICRO_CAP,388.4,0.73,2.78,3.11,30,54.5,NA,9,4,NA,STRONG_BULLISH,SELL
Cement & Construction,34.160000000000004,12,ULTRACEMCO,UltraTech Cement Limited,LARGE_CAP,12146,0.44,2.65,11.06,26.7,60.1,NA,4,8,NA,BULLISH,SELL
Realty,31.32,8,DLF,DLF,MID_CAP,618.85,1.52,4.1,15.87,35.3,61.1,NA,6,15,NA,BULLISH,WEAK_HOLD
Realty,31.32,8,BRIGADE,BRIGADE,MID_CAP,773.15,-4.43,-3.05,11.81,34,60.7,NA,7,8,NA,BULLISH,SELL
Realty,31.32,8,PRESTIGE,PRESTIGE,MID_CAP,1483.5,1.94,3.47,21.39,32,74.4,NA,8,8,NA,BULLISH,SELL
Realty,31.32,8,GODREJPROP,GODREJPROP,LARGE_CAP,1878.6,0.61,0.88,17.05,29.3,63.2,NA,8,11,NA,BULLISH,SELL
Realty,31.32,8,SUNTECK,SUNTECK,MICRO_CAP,348.15,-0.9,-1.93,15.72,26,55.3,NA,8,8,NA,STRONG_BEARISH,SELL
Banking - Private,30,8,RBLBANK,RBL Bank Limited,SMALL_CAP,345.75,2.95,1.33,10.6,34.7,67.4,NA,8,9,NA,STRONG_BULLISH,SELL
Banking - Private,30,8,FEDERALBNK,Federal Bank Limited,SMALL_CAP,297.05,1.38,4.32,7.96,32.7,66.6,NA,6,8,NA,STRONG_BULLISH,SELL
Banking - Private,30,8,BANDHANBNK,BANDHANBNK,SMALL_CAP,207.63,-0.6,4.7,39.23,29.3,84.6,NA,15,4,NA,STRONG_BULLISH,SELL
Banking - Private,30,8,INDUSINDBK,INDUSINDBK,MID_CAP,946.95,0.02,3.63,20.66,29.3,76.5,NA,10,6,NA,STRONG_BULLISH,SELL
Banking - Private,30,8,HDFCBANK,HDFC Bank Limited,MID_CAP,796.05,-0.06,2.19,3.12,24,50.3,NA,1,12,NA,STRONG_BEARISH,SELL
Banking - PSU,24.66,7,SBIN,State Bank of India,LARGE_CAP,1092,-0.36,0.47,5.98,34,57.2,NA,2,10,NA,STRONG_BULLISH,SELL
Banking - PSU,24.66,7,PNBHOUSING,PNBHOUSING,MID_CAP,1051.6,-1.27,-0.14,28.71,26.7,81.9,NA,13,6,NA,BULLISH,SELL
Banking - PSU,24.66,7,CANBK,Canara Bank,MICRO_CAP,135.93,-1.53,-0.82,4.96,22,38,NA,2,8,NA,STRONG_BEARISH,SELL
Banking - PSU,24.66,7,BANKBARODA,Bank of Baroda,SMALL_CAP,270.35,0.02,0.78,4.75,21.3,37.6,NA,1,10,NA,STRONG_BEARISH,SELL
Banking - PSU,24.66,7,PNB,Punjab National Bank,MICRO_CAP,109.11,-0.97,-1.86,4.33,19.3,35.2,NA,1,8,NA,STRONG_BEARISH,SELL
