INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty Energy,37.6,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,44.7,59.1,NA,11,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Energy,37.6,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,42,52.8,NA,9,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Energy,37.6,TATAPOWER,Tata Power Company Limited,SMALL_CAP,439.25,-0.9,-2.71,13.3,36,58.7,NA,13,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Energy,37.6,TORNTPOWER,TORNTPOWER,SMALL_CAP,1712.5,-1.24,0.63,22.37,33.3,70.1,NA,13,6,NA,STRONG_BULLISH,SELL
Nifty Energy,37.6,ONGC,Oil and Natural Gas Corporation Limited,SMALL_CAP,283.9,1.1,-5.81,-0.96,32,51.2,NA,5,6,NA,STRONG_BULLISH,SELL
Nifty 200,37.480000000000004,ASIANPAINT,ASIANPAINT,LARGE_CAP,2530.6,0.46,3.4,15.75,40,62.4,NA,9,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 200,37.480000000000004,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,38.7,78.2,NA,10,13,NA,BULLISH,WEAK_HOLD
Nifty 200,37.480000000000004,TITAN,TITAN,LARGE_CAP,4307.5,-1.2,-2.98,1.82,36.7,31.6,NA,6,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 200,37.480000000000004,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1732.8,-0.89,4.32,25.47,36,80.2,NA,13,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 200,37.480000000000004,LT,LT,LARGE_CAP,4023,0.36,-1.78,8.05,36,42.1,NA,6,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 100,35.88,ASIANPAINT,ASIANPAINT,LARGE_CAP,2530.6,0.46,3.4,15.75,40,62.4,NA,9,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 100,35.88,TITAN,TITAN,LARGE_CAP,4307.5,-1.2,-2.98,1.82,36.7,31.6,NA,6,8,NA,STRONG_BULLISH,WEAK_HOLD
