MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GS,726GS2032,GOI LOAN  7.26% 2032,       105.00,       105.00,       105.00,       102.40,       102.91,                   366745.20,3552,N, ,6,       112.00,       101.89
N,GS,726GS2033,GOI LOAN  7.26% 2033,       104.40,       104.20,       104.20,       104.20,       104.20,                     1042.00,10,N, ,1,       109.45,       102.20
N,GS,732GS2030,GOI LOAN  7.32% 2030,       106.40,       104.00,       104.00,       104.00,       104.00,                    20800.00,200,N, ,1,       109.10,       101.50
N,GS,733GS2026,GOI LOAN  7.33% 2026,       103.50,       103.50,       104.00,       103.50,       104.00,                    31100.00,300,N, ,3,       105.50,       100.35
N,GS,734GS2064,GOI LOAN  7.34% 2064,       103.00,       103.50,       103.50,       102.70,       102.96,                  6261973.90,60534,N, ,15,       113.42,       102.25
N,GS,736GS2052,GOI LOAN  7.36% 2052,       103.73,       102.69,       104.99,       102.41,       103.56,                  8752535.37,84874,N, ,40,       114.93,       102.31
N,GS,737GS2028,GOI LOAN  7.37% 2028,       104.02,       104.10,       105.05,       104.10,       105.05,                    10935.25,105,N, ,2,       107.82,        99.27
N,GS,738GS2027,GOI LOAN 7.38% 2027,       103.94,       103.75,       104.00,       103.75,       103.92,                 63367427.61,609599,N, ,48,       108.50,       100.41
N,GS,73GS2053,GOI LOAN  7.3% 2053,       102.00,       102.00,       102.00,       100.26,       102.00,                   328812.00,3250,N, ,5,       110.04,       100.26
N,GS,741GS2036,GOI LOAN  7.41% 2036,       106.75,       106.99,       106.99,       106.50,       106.59,                  4089090.83,38353,N, ,24,       112.50,       103.10
N,GS,746GS2073,GOI LOAN  7.46% 2073,       103.90,       104.00,       104.00,       102.90,       103.18,                  3574107.21,34650,N, ,39,       115.00,       102.60
N,GS,74GS2062,GOI LOAN  7.4% 2062,       104.04,       104.90,       104.90,       103.00,       103.00,                   151962.39,1475,N, ,14,       114.98,       102.50
N,GS,754GS2036,GOI LOAN  7.54% 2036,       107.72,       107.81,       108.24,       107.74,       108.04,                 62597394.42,579263,N, ,210,       113.53,       104.66
N,GS,817GS2044,GOI LOAN 8.17% 2044,       115.00,       114.30,       114.30,       114.30,       114.30,                    20345.40,178,N, ,1,       125.00,       110.31
N,GS,92GS2030,GOI LOAN 9.20% 2030,       116.89,       117.00,       117.50,       117.00,       117.50,                    81482.00,696,N, ,2,       124.00,       111.01
N,N0,113ESFB31,ESFB 11.3% 2031 SR 2,     99900.00,     99775.26,     99775.26,     99775.26,     99775.26,                  2494381.50,25,N, ,1,     99900.00,     99775.26
N,N0,12VCCL29A,VCCL12% 2029,     98000.00,     97800.00,     97800.00,     97800.00,     97800.00,                    97800.00,1,N, ,1,     98500.00,     95000.00
N,N0,12VCCL29B,VCCL 12% 2029,     98000.00,     98500.00,     98500.00,     98500.00,     98500.00,                    98500.00,1,N, ,1,    103900.00,     96900.00
N,N0,930APMD28,APMD 9.30% 2028 STRPP B,    100950.00,    101100.00,    101100.00,    101100.00,    101100.00,                   101100.00,1,N, ,1,    105000.00,     99999.00
N,N0,930APMD30,APMD 9.30% 2030 STRPP D,    101000.00,    101808.11,    101808.11,    101808.11,    101808.11,                   610848.66,6,N, ,2,    102948.10,    100963.00
N,N0,930APMD34,APMDC 9.30% 2034 STRPP H,    102209.43,    102359.01,    102359.01,    102359.01,    102359.01,                  1023590.10,10,N, ,1,    103585.22,    101514.61
N,N0,935TSIIC33,TSIIC 9.35% 2033 SR 1- G,    103923.02,    104486.00,    104486.00,    104486.00,    104486.00,                   522430.00,5,N, ,1,    105778.60,    102925.18
N,N0,965SCL25C,SEC RE NCD 9.39% SR.VIII,       584.20,       584.20,       591.00,       584.20,       591.00,                    69222.00,118,N, ,3,       993.00,       570.40
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       254.97,       254.00,       254.00,       254.00,       254.00,                    12700.00,50,N, ,2,       261.00,       220.00
N,N1,1003SCL31A,SEC RE NCD 10.03% SR X,      1000.00,       900.30,       900.70,       900.30,       900.70,                    18010.00,20,N, ,2,       900.70,       900.30
N,N1,1015SCL29T,SCL 10.15% 2029 SR VII,      1015.16,      1019.00,      1019.00,      1019.00,      1019.00,                    11209.00,11,N, ,2,      1019.00,       950.00
N,N1,1015UCL26,SEC RE NCD 10.15% SR I,       996.00,       999.00,       999.00,       999.00,       999.00,                    27972.00,28,N, ,1,      1020.00,       855.00
N,N1,1025UCL26A,SEC RE NCD 10.25% SR II,      1020.00,      1000.00,      1000.00,      1000.00,      1000.00,                    39000.00,39,N, ,1,      1196.00,       963.00
N,N1,78ABCL33,ABCL 7.8% SR V,       980.00,      1010.00,      1010.00,      1006.00,      1008.78,                   424499.60,421,N, ,8,      1040.00,       899.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       316.75,       316.75,       316.75,       312.85,       315.90,                   139313.50,444,N, ,4,       320.00,       296.68
N,N1,885IHL26,SEC RE NCD 8.85% SR I,      1020.20,      1020.20,      1020.20,      1020.20,      1020.20,                     1020.20,1,N, ,1,      1023.80,       941.00
N,N1,89IHFL29,SEC RE NCD 8.90% SR VI,       980.05,       965.05,       980.00,       960.00,       965.60,                    24140.20,25,N, ,4,      1000.00,       894.00
N,N1,902SCL28,SCL 9.02% SR V,       930.00,       821.85,       930.00,       821.85,       930.00,                     1751.85,2,N, ,2,       995.00,       821.85
