"SYMBOL","TRADING_SIGNAL","TECHNICAL_SCORE","RSI","RELATIVE_STRENGTH","CONFIDENCE_SCORE","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","CONFIDENCE_CATEGORY","PERFORMANCE_CATEGORY","RISK_PERFORMANCE","ANALYSIS_DATE","BACKTESTING_TYPE"
"PNGJL","SELL",33.3,48,2.54,0.5832,0.66656,-0.08748,7,-0.169272445820433,"Medium","Negative","Negative",2025-09-01,"quick"
"EPIGRAL","SELL",33.3,45.3,5.24,0.5832,0.66656,-0.08748,7,-0.169272445820433,"Medium","Negative","Negative",2025-09-01,"quick"
"INGERRAND","SELL",33.3,52.1,1.85,0.5832,0.66656,-0.08748,7,-0.169272445820433,"Medium","Negative","Negative",2025-09-01,"quick"
"SGIL","SELL",33.3,47.9,2.48,0.5832,0.66656,-0.08748,7,-0.169272445820433,"Medium","Negative","Negative",2025-09-01,"quick"
"GTPL","SELL",33.3,45.3,6.2,0.5832,0.66656,-0.08748,7,-0.169272445820433,"Medium","Negative","Negative",2025-09-01,"quick"
"BBETF0432","SELL",33.3,44.6,3.51,0.5832,0.66656,-0.08748,7,-0.169272445820433,"Medium","Negative","Negative",2025-09-01,"quick"
"GRMOVER","SELL",32.7,47.4,2.58,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"JSFB","SELL",32.7,57,2.77,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"AARTIDRUGS","SELL",32.7,41,8.77,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"NPST","SELL",32.7,49.2,6.32,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
"SOTL","SELL",32.7,49.9,1.66,0.5808,0.66464,-0.08712,7,-0.167796610169492,"Medium","Negative","Negative",2025-09-01,"quick"
