INDEX_NAME,CATEGORY,API_SYMBOL,constituent_count,mapping_status,included_in_dashboard
NIFTY NON-CYCLICAL CONSUMER,Thematic,NIFTY NONCYC CONS,0,Missing,False
NIFTY PSE,Thematic,NIFTY PSE,20,Available,False
NIFTY RURAL,Thematic,NIFTY RURAL,75,Available,False
NIFTY SERVICES SECTOR,Thematic,NIFTY SERV SECTOR,30,Available,False
NIFTY SHARIAH 25,Thematic,NIFTY SHARIAH 25,0,Missing,False
NIFTY SME EMERGE,Thematic,NIFTY SME EMERGE,456,Available,False
NIFTY TRANSPORTATION & LOGISTICS,Thematic,NIFTY TRANS LOGIS,30,Available,False
NIFTY WAVES,Thematic,NIFTY WAVES,0,Missing,False
NIFTY100 ENHANCED ESG,Thematic,NIFTY100 ENH ESG,0,Missing,False
NIFTY100 ESG,Thematic,NIFTY100 ESG,0,Missing,False
NIFTY100 ESG SECTOR LEADERS,Thematic,NIFTY100ESGSECLDR,0,Missing,False
NIFTY100 LIQUID 15,Thematic,NIFTY100 LIQ 15,0,Missing,False
NIFTY50 SHARIAH,Thematic,NIFTY50 SHARIAH,0,Missing,False
NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,Thematic,NIFTY MULTI MFG,0,Missing,False
NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,Thematic,NIFTY MULTI INFRA,0,Missing,False
NIFTY500 SHARIAH,Thematic,NIFTY500 SHARIAH,0,Missing,False
