INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
NIFTY SMLCAP 50,36.8,ADANIGREEN,Adani Green Energy Limited,LARGE_CAP,1127.3,0.75,7.92,30.03,28,87.7,NA,14,7,NA,BULLISH,SELL
NIFTY SMLCAP 250,36.8,ADANIENSOL,ADANIENSOL,LARGE_CAP,1259.8,3.04,16.78,26.42,45.3,82.4,NA,18,12,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 250,36.8,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1386,-0.04,3.4,8.32,38.7,78.7,NA,11,10,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 250,36.8,ADANIPOWER,Adani Power Limited,MICRO_CAP,198.5,2.75,15.19,28.85,38,93.7,NA,16,9,NA,STRONG_BULLISH,WEAK_HOLD
NIFTY SMLCAP 250,36.8,MARICO,Marico Limited,MID_CAP,757.3,1.73,1.33,0.96,34,57,NA,2,15,NA,STRONG_BULLISH,SELL
NIFTY SMLCAP 250,36.8,ADANIGREEN,Adani Green Energy Limited,LARGE_CAP,1127.3,0.75,7.92,30.03,28,87.7,NA,14,7,NA,BULLISH,SELL
Nifty Metal,36.14,JINDALSTEL,Jindal Steel & Power Limited,LARGE_CAP,1270,3.39,5.87,12.09,44.7,80.4,NA,14,18,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Metal,36.14,SAIL,Steel Authority of India Limited,MICRO_CAP,173.33,1.17,6.11,19.79,37.3,81.8,NA,13,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Metal,36.14,JSWSTEEL,JSW Steel Limited,LARGE_CAP,1240.3,2.09,2.53,8.27,33.3,74.5,NA,8,8,NA,STRONG_BULLISH,SELL
Nifty Metal,36.14,NATIONALUM,National Aluminium Company Limited,SMALL_CAP,438.75,1.4,6.4,17.86,32.7,89.2,NA,13,8,NA,STRONG_BULLISH,SELL
