SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
TRITURBINE,TRITURBINE,MID_CAP,515.45,7.88,13.31,11.56,40.7,78.8,,13,14,,STRONG_BEARISH,WEAK_HOLD
WINDMACHIN,WINDMACHIN,SMALL_CAP,305.99,7.18,23.62,37.03,40.7,81.8,,16,12,,STRONG_BEARISH,WEAK_HOLD
CUMMINSIND,CUMMINSIND,LARGE_CAP,5140.9,2.04,4.76,12.01,40.0,68.5,,15,10,,STRONG_BULLISH,WEAK_HOLD
SUMICHEM,SUMICHEM,MICRO_CAP,442.4,4.49,6.56,14.73,40.0,75.8,,10,16,,STRONG_BEARISH,WEAK_HOLD
MOTILALOFS,MOTILALOFS,MID_CAP,815.45,4.17,7.13,21.72,40.0,74.4,,12,14,,STRONG_BEARISH,WEAK_HOLD
LIQUIDPLUS,LIQUIDPLUS,MID_CAP,1081.59,0.04,0.13,0.46,40.0,100.0,,7,15,,STRONG_BULLISH,WEAK_HOLD
GLOBUSSPR,GLOBUSSPR,SMALL_CAP,1014.3,6.49,8.56,25.38,40.0,66.0,,14,9,,STRONG_BEARISH,WEAK_HOLD
ROSSARI,ROSSARI,SMALL_CAP,504.25,5.44,12.93,16.2,40.0,75.0,,13,16,,STRONG_BEARISH,WEAK_HOLD
PARADEEP,PARADEEP,MICRO_CAP,124.33,2.09,4.17,13.56,40.0,72.0,,11,18,,STRONG_BEARISH,WEAK_HOLD
BIKAJI,BIKAJI,MICRO_CAP,660.05,2.84,3.15,5.89,40.0,73.4,,9,20,,STRONG_BEARISH,WEAK_HOLD
MRPL,MRPL,MICRO_CAP,183.13,4.69,3.91,-11.43,40.0,51.4,,1,18,,BULLISH,WEAK_HOLD
LIQUID1,LIQUID1,LARGE_CAP,1100.46,0.04,0.13,0.46,40.0,100.0,,7,15,,STRONG_BULLISH,WEAK_HOLD
APLAPOLLO,APLAPOLLO,LARGE_CAP,2105.7,2.95,3.21,11.2,40.0,61.7,,9,9,,STRONG_BULLISH,WEAK_HOLD
RAMAPHO,RAMAPHO,MICRO_CAP,144.59,3.48,9.74,34.73,40.0,72.3,,11,12,,BULLISH,WEAK_HOLD
SHAKTIPUMP,SHAKTIPUMP,MID_CAP,573.75,7.33,11.46,16.34,40.0,72.4,,13,16,,STRONG_BEARISH,WEAK_HOLD
SGFIN,SGFIN,MID_CAP,513.65,-0.59,11.86,35.89,40.0,74.8,,13,6,,STRONG_BULLISH,WEAK_HOLD
IVALUE,IVALUE,MICRO_CAP,269.02,5.02,15.61,18.55,40.0,77.2,,11,12,,BULLISH,WEAK_HOLD
GAEL,GAEL,MICRO_CAP,148.22,-2.76,-2.99,16.84,40.0,74.2,,14,10,,STRONG_BULLISH,WEAK_HOLD
