"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"UCAL",114.46,113.221,119.6806,128.0129,141.1407,TRUE,FALSE,FALSE,FALSE
"NETWEB",3141.2,3225.35,3365.78,3231.771,2495.019,FALSE,FALSE,FALSE,TRUE
"LICMFGOLD",13672.45,12567.915,11714.25,10918.5005,9797.3475,TRUE,TRUE,TRUE,TRUE
"LIQUID",999.99,999.99,999.99,999.990000000002,999.990049999998,FALSE,TRUE,FALSE,FALSE
"PROZONER",59.16,48.466,44.651,39.2339,33.1411,TRUE,TRUE,TRUE,TRUE
"YATHARTH",568.9,655.9875,719.329,741.861,632.704250000001,FALSE,FALSE,FALSE,FALSE
"TVSHLTD",13695,14386.3,14517.94,13440.49,11749.55125,FALSE,FALSE,TRUE,TRUE
"SBFC",103.4,103.4075,107.4438,107.868,105.97315,FALSE,FALSE,FALSE,FALSE
"CONCORDBIO",1263.1,1334.03,1396.682,1511.173,1619.82675,FALSE,FALSE,FALSE,FALSE
"SRGHFL",271.1,275.95,277.393,290.3325,302.664749999999,FALSE,FALSE,FALSE,FALSE
"YASHO",1275.2,1375.46,1524.082,1616.312,1745.20225,FALSE,FALSE,FALSE,FALSE
"NIITMTS",385.35,404.5575,374.4,352.182,356.18125,FALSE,TRUE,TRUE,TRUE
"TVSSCS",97.32,106.624,113.453,121.2823,124.64385,FALSE,FALSE,FALSE,FALSE
"ADANIENSOL",924.8,975.49,979.855000000001,915.771,890.623999999999,FALSE,FALSE,TRUE,TRUE
"ATL",23.99,26.5420000000001,28.9908,30.2239,28.98235,FALSE,FALSE,FALSE,FALSE
"TREL",25.02,26.4435,27.0362,29.3721,31.8024000000001,FALSE,FALSE,FALSE,FALSE
"LORDSCHLO",144.11,161.179,180.6574,174.7658,159.5147,FALSE,FALSE,FALSE,FALSE
"REDTAPE",116.19,122.145999999999,128.2942,132.072700000001,134.948350000001,FALSE,FALSE,FALSE,FALSE
"VLEGOV",15.8,18.8629999999999,21.1726000000001,33.7600000000001,76.8749499999999,FALSE,FALSE,FALSE,FALSE
"AEROFLEX",165.62,181.6705,181.949,180.0498,180.62275,FALSE,FALSE,FALSE,FALSE
"HDFCLIQUID",1045.39,1043.0925,1039.1016,1033.5129,1023.2389,TRUE,TRUE,TRUE,TRUE
"BFSI",28.07,28.4665,28.4596,27.9032,27.3769,FALSE,FALSE,TRUE,TRUE
"ESG",43.25,44.065,44.0672,43.4328,42.47175,FALSE,FALSE,FALSE,TRUE
"GOLDETF",146.45,135.035,126.2758,117.4554,105.47925,TRUE,TRUE,TRUE,TRUE
"LOWVOL",210.93,214.5385,214.0576,211.3352,205.06325,FALSE,FALSE,FALSE,TRUE
"MAKEINDIA",151.6,154.747,154.7326,152.3836,146.3685,FALSE,FALSE,FALSE,TRUE
"MIDCAPETF",21.79,22.4295,22.5464,22.1884,21.5807,FALSE,FALSE,FALSE,TRUE
"NEXT50",694.55,706.008,709.1448,703.297699999998,688.04395,FALSE,FALSE,FALSE,TRUE
"NIFTYETF",273.46,278.886,279.4656,274.5627,268.38815,FALSE,FALSE,FALSE,TRUE
"SILVRETF",125.74,117.221,112.9064,106.0569,98.91255,TRUE,TRUE,TRUE,TRUE
"GSEC10YEAR",29.53,29.578,29.5514,29.3878,29.20385,FALSE,FALSE,TRUE,TRUE
"JIOFIN",262.6,288.225,298.436,305.8105,293.1845,FALSE,FALSE,FALSE,FALSE
"NIFMID150",222.66,223.6615,222.1366,219.0373,210.68085,FALSE,TRUE,TRUE,TRUE
"VPRPL",45.67,54.0760000000001,73.1743999999999,94.8795999999999,131.97905,FALSE,FALSE,FALSE,FALSE
"SANDUMA",215.16,229.722499999999,218.3104,284.2047,378.4026,FALSE,FALSE,FALSE,FALSE
"EPIGRAL",1093.5,1214.18,1411.494,1591.165,1710.6895,FALSE,FALSE,FALSE,FALSE
"RISHABH",346.35,380.97,382.199,336.9345,300.59735,FALSE,FALSE,TRUE,TRUE
"PYRAMID",151.93,162.597,161.4988,162.4574,164.004950000001,FALSE,FALSE,FALSE,FALSE
"JLHL",1332.8,1369.37,1442.468,1455.645,1469.58875,FALSE,FALSE,FALSE,FALSE
"RRKABEL",1424.7,1468.485,1416.028,1326.753,1272.62525,FALSE,TRUE,TRUE,TRUE
"EMSLIMITED",343.2,398.4,441.512,497.737,558.209750000001,FALSE,FALSE,FALSE,FALSE
"SAMHI",172.82,184.647,187.9506,197.2992,196.73235,FALSE,FALSE,FALSE,FALSE
"ZAGGLE",284.9,323.25,353.969999999999,361.668,374.355500000001,FALSE,FALSE,FALSE,FALSE
"DIAMINESQ",249.95,258.7575,267.366,305.3635,341.6675,FALSE,FALSE,FALSE,FALSE
"NAVINIFTY",291.4,284.886,286.322,268.2483,248.10455,TRUE,TRUE,TRUE,TRUE
"RATNAVEER",139.76,151.025,152.142,150.4832,148.51515,FALSE,FALSE,FALSE,FALSE
"KALAMANDIR",116.79,134.608,156.7458,165.2637,152.73925,FALSE,FALSE,FALSE,FALSE
"SIGNATURE",886.8,1025.005,1070.316,1079.706,1133.904,FALSE,FALSE,FALSE,FALSE
"YATRA",149.07,165.544,166.5102,159.6812,124.22055,FALSE,FALSE,FALSE,TRUE
"JSWINFRA",265.4,271.29,275.857,292.761,297.42125,FALSE,FALSE,FALSE,FALSE
"MVGJL",169.71,179.0585,188.3322,192.1444,208.28175,FALSE,FALSE,FALSE,FALSE
"ORCHPHARMA",705.1,764.41,796.476,766.877,757.872500000002,FALSE,FALSE,FALSE,FALSE
"DIACABS",129.14,136.065,143.35,145.6212,138.44645,FALSE,FALSE,FALSE,FALSE
"UDS",157.24,174.5955,189.9222,219.228,257.27075,FALSE,FALSE,FALSE,FALSE
"MONIFTY500",23.51,24.0135,24.1382,23.845,23.30165,FALSE,FALSE,FALSE,TRUE
"SENSEXETF",84.4,86.232,86.5874,85.0992999999999,83.46525,FALSE,FALSE,FALSE,TRUE
"THEJO",1836.8,1740.53,1723.222,1804.049,1874.6215,TRUE,TRUE,TRUE,FALSE
"NUVAMA",1383.3,2588.64,5401.146,6057.34799999999,6414.95175000001,FALSE,FALSE,FALSE,FALSE
"ORIENTCER",41.19,46.0595,42.5186000000001,40.2146,38.4310999999999,FALSE,FALSE,TRUE,TRUE
"SECMARK",102.56,112.4175,117.2672,120.1704,111.8126,FALSE,FALSE,FALSE,FALSE
"VALIANTLAB",59.48,66.2724999999998,72.3461999999999,79.1257999999999,88.50355,FALSE,FALSE,FALSE,FALSE
"IRMENERGY",244.4,272.455,291.282,299.88,295.12175,FALSE,FALSE,FALSE,FALSE
"ALPHAETF",24.42,24.949,25.31,25.1869,24.66645,FALSE,FALSE,FALSE,FALSE
"ARE&M",854.65,901.8325,941.583000000002,970.397500000002,982.86525,FALSE,FALSE,FALSE,FALSE
"ITETF",40.23,39.9715,39.0164,37.8422000000001,37.907,TRUE,TRUE,TRUE,TRUE
"PLAZACABLE",36.69,39.637,42.1528,48.1207,53.0929499999999,FALSE,FALSE,FALSE,FALSE
"SAMPANN",31.05,32.8305,34.9478,32.775,31.8373,FALSE,FALSE,FALSE,FALSE
"BLUEJET",453.55,509.929999999999,556.320000000001,628.953500000001,731.638,FALSE,FALSE,FALSE,FALSE
"PATANJALI",511,541.619999999999,562.995,842.99,1311.86875,FALSE,FALSE,FALSE,FALSE
"LIQUIDSBI",1000,999.9995,999.9996,999.997500000001,999.998449999998,TRUE,TRUE,TRUE,TRUE
"CELLO",509.55,525.807500000001,576.881000000001,581.6395,584.473,FALSE,FALSE,FALSE,FALSE
"LTFOODS",349.8,371.77,394.507,414.106,416.94875,FALSE,FALSE,FALSE,FALSE
"HONASA",275.75,281.89,282.52,286.6975,279.09215,FALSE,FALSE,FALSE,FALSE
"MUFIN",116.99,115.7845,112.5752,101.0552,89.5635,TRUE,TRUE,TRUE,TRUE
"AMNPLST",173.6,183.928,194.7414,207.2433,217.4196,FALSE,FALSE,FALSE,FALSE
