"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
502,"ANTHEM","ANTHEM BIOSCIENCES LTD","MICRO_CAP",774.3,0.59,4.95,17.99,61.3,69.8,"STRONG_BULLISH",18.58,13,10,10,41.3,39.38,26,52.5,57,245814992.95,"HOLD",2026-04-28
524,"SUVEN","SUVEN LIFE SCIENCES LTD","MICRO_CAP",218.6,3.31,3.85,65.98,61.3,75.9,"BULLISH",42.15,16,14,0,NA,NA,NA,NA,NA,225496610.36,"HOLD",2026-04-28
532,"GKENERGY","GKENERGY","MICRO_CAP",137.38,4.27,5.7,52.36,61.3,73.2,"BULLISH",20.12,16,14,0,NA,NA,NA,NA,NA,219903940.99,"HOLD",2026-04-28
9,"TATACHEM","TATA CHEMICALS LTD","LARGE_CAP",802.15,11.05,13.35,37.53,60.7,74,"BEARISH",16.22,18,14,0,NA,NA,NA,NA,NA,20027066902.35,"HOLD",2026-04-28
86,"COCHINSHIP","COCHIN SHIPYARD LIMITED","MID_CAP",1695.6,0.97,8.91,42.12,60.7,72.7,"BULLISH",15.09,13,6,25,74.88,76.52,94,58.86,60,3651029302.4,"HOLD",2026-04-28
488,"DCXINDIA","DCX SYSTEMS LIMITED","MICRO_CAP",201.56,-0.79,6.35,30.69,60.7,63.4,"BULLISH",21.5,13,8,20,62.14,56.3,81,56.36,54,258479020.21,"HOLD",2026-04-28
581,"MBAPL","MADHYA BHARAT AGRO P. LTD","MICRO_CAP",526.5,1.26,3.72,14.34,60.7,57.9,"STRONG_BULLISH",17.51,14,13,0,NA,NA,NA,NA,NA,173222958.6,"HOLD",2026-04-28
620,"BALAMINES","BALAJI AMINES LIMITED","MICRO_CAP",1325.8,1.45,10.18,35.67,60.7,76.8,"BULLISH",21.94,13,6,20,66.37,72.61,70,58.64,54,148740419.05,"HOLD",2026-04-28
667,"DEEPINDS","DEEP INDUSTRIES LIMITED","MICRO_CAP",487,-0.17,2.71,13.1,60.7,64.8,"BULLISH",26.43,15,6,20,62.64,63.48,74.6,58,46.67,115259549.55,"HOLD",2026-04-28
701,"ARVIND","ARVIND LIMITED","MICRO_CAP",393.25,0.65,0.91,16.11,60.7,61.8,"STRONG_BULLISH",10.82,9,13,15,57.39,51.96,61,57.27,66,97494214.15,"HOLD",2026-04-28
702,"JAYKAY","JAYKAY","MICRO_CAP",185.16,8.71,16.2,56.5,60.7,73.2,"BULLISH",17.32,18,14,0,NA,NA,NA,NA,NA,97250083.13,"HOLD",2026-04-28
776,"UFBL","UFBL","MICRO_CAP",337.33,9.7,7.39,72.72,60.7,70.7,"STRONG_BULLISH",33.83,16,9,0,NA,NA,NA,NA,NA,68897206.37,"HOLD",2026-04-28
837,"COMMOIETF","ICICIPRAMC - ICICICOMMO","MICRO_CAP",105.14,0.42,1.97,13.71,60.7,70.8,"STRONG_BULLISH",7.59,13,15,0,10,10,10,10,10,46866595.85,"HOLD",2026-04-28
890,"CLSEL","CHAMAN LAL SETIA EXP LTD","MICRO_CAP",282.64,0.71,2.16,37.71,60.7,61,"BULLISH",7.97,8,6,20,67.84,67.83,83,57.05,57,29410746.6,"HOLD",2026-04-28
933,"AVROIND","AVRO INDIA LIMITED","MICRO_CAP",126.72,-2.02,-2.81,17.36,60.7,51.6,"BEARISH",7.98,11,8,20,61.65,70,56,57.73,54,17831925.87,"HOLD",2026-04-28
