"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"COMMOIETF",105.14,-4.79,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,60.7,"MICRO_CAP"
"CLSEL",282.64,-14.69,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60.7,"MICRO_CAP"
"AVROIND",126.72,-8.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60.7,"MICRO_CAP"
"EPACK",291.03,-21.42,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60,"LARGE_CAP"
"ADANIENT",2412.4,-15.27,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60,"LARGE_CAP"
"RBLBANK",320.75,-5.74,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60,"MID_CAP"
"APOLLOHOSP",7753,-9.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"MID_CAP"
"ENRIN",3233.7,-27.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"SMALL_CAP"
"BHARATFORG",1894.8,-21.78,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"SMALL_CAP"
"GESHIP",1474.4,-18.69,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"SMALL_CAP"
"BELRISE",215.7,-25.33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"MICRO_CAP"
"APEX",472.25,-40.18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"MICRO_CAP"
"UNIPARTS",527.55,-17.33,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,60,"MICRO_CAP"
"BHARATWIRE",222.91,-20.29,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60,"MICRO_CAP"
"SPORTKING",141.77,-50.05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"MICRO_CAP"
"DALMIASUG",372.95,-24.84,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,60,"MICRO_CAP"
