SYMBOL,INDEX_TAGS,LAST_DATE,CLOSE,PEAK_52_ROLL,DD_VS_PEAK_PCT,PCT_OF_52W_RANGE,ABOVE_SMA50,RS_PULLBACK_60D_BPS,RECOVERY_FROM_TROUGH_PCT,RECOVERY_VELOCITY,VOL_RATIO_10_50,SLOW_PULLBACK_SCORE,MAX_1D_DROP_60D_PCT,ENHANCED_FUND_SCORE,SALES_GROWTH,EARNINGS_QUALITY,RS_Z,REC_Z,VOL_Z,SLOW_Z,PEAK_Z,COMPOSITE,TECHNICAL_SCORE,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,TREND_SIGNAL,RELATIVE_STRENGTH,ANALYSIS_DATE,pnl_summary,quarterly_summary,balance_sheet_summary,ratios_summary,SCREENER_DATA_COMPLETE,SCREENER_FETCH_AT,INDEX_NARRATIVE,APEX_GUIDANCE
ADANIGREEN,NIFTY 500,2026-04-28,1249.95,1259.15,-0.73,99.27,28.6,53.2669,54.91,3.050426,1.4821,33.0793,-20.0,10.0,10.0,10.0,1.8363435580523648,3.2553977291068166,-0.0313133659840932,0.14606765865929955,1.4611592073532311,1.3335309574375238,42.7,WEAK_HOLD,15.0,6.0,BULLISH,31.93,2026-04-28,Sales: 12928 Cr (YoY +15.3%); NetProfit: 1987 Cr (YoY -0.7%); EPS: 10.03,"Sales last 3Q: 3008, 2618, 3502 Cr; Net Profit last 3Q: 644, 5, 514 Cr",Debt: 103545 Cr,ROCE: 6%; EPS: 10.03; NPM: 15.37%,True,2026-04-29T05:24:31Z,ADANIGREEN vs Nifty 500: stock 60-session return 56.42% vs index -0.24% (+56.65 percentage points excess). Index membership tag: NIFTY 500.,WEAK_HOLD
TDPOWERSYS,NIFTY MICROCAP 250,2026-04-28,1145.55,1154.8,-0.8,99.2,27.58,76.2109,74.84,1.26847,1.3545,121.9264,-14.14,,,,2.9682066550698445,0.36657333126492225,-0.09319437537120184,1.7092114494243333,1.4535275682981716,1.280864925737214,48.0,WEAK_HOLD,15.0,6.0,STRONG_BULLISH,38.58,2026-04-28,Sales: 1615 Cr (YoY +26.3%); NetProfit: 220 Cr (YoY +25.7%); EPS: 14.06,"Sales last 3Q: 372, 452, 443 Cr; Net Profit last 3Q: 50, 60, 56 Cr",Debt: 36 Cr,ROCE: 28%; EPS: 14.06; NPM: 13.62%,True,2026-04-29T05:24:31Z,TDPOWERSYS vs NIFTY MICROCAP250: stock 60-session return 82.56% vs index 12.10% (+70.45 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,WEAK_HOLD
TIPSMUSIC,NIFTY MICROCAP 250,2026-04-28,658.85,718.0,-8.24,91.76,20.41,21.3257,34.21,1.221881,10.8159,52.6293,-6.66,,,,0.2606346339565351,0.2910454058441734,4.4952145761585,0.4900232982857635,0.64239336016043,1.2358622548810803,45.3,WEAK_HOLD,13.0,4.0,STRONG_BULLISH,18.94,2026-04-28,Sales: 376 Cr (YoY +20.9%); NetProfit: 217 Cr (YoY +29.9%); EPS: 16.96,"Sales last 3Q: 89, 94, 104 Cr; Net Profit last 3Q: 53, 59, 59 Cr",Debt: 5 Cr,ROCE: 122%; EPS: 16.96; NPM: 57.71%,True,2026-04-29T05:24:31Z,TIPSMUSIC vs NIFTY MICROCAP250: stock 60-session return 24.24% vs index 12.10% (+12.14 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,WEAK_HOLD
NEOGEN,NIFTY MICROCAP 250,2026-04-28,1661.7,1797.0,-7.53,92.47,20.94,44.35,49.43,2.746303,2.2787,73.5278,-9.97,,,,1.3964590544873736,2.7623676305270144,0.35500647788558376,0.8577039599089685,0.7197999848617468,1.2182674215341374,,,,,,,,Sales: 818 Cr (YoY +5.1%); NetProfit: 20 Cr (YoY -42.9%); EPS: 7.48,"Sales last 3Q: 187, 209, 220 Cr; Net Profit last 3Q: 10, 3, 4 Cr",Debt: 1132 Cr,ROCE: 11%; EPS: 7.48; NPM: 2.44%,True,2026-04-29T05:24:31Z,NEOGEN vs NIFTY MICROCAP250: stock 60-session return 49.23% vs index 12.10% (+37.13 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,REVIEW_NO_TECH
WELCORP,NIFTY 500,2026-04-28,1226.4,1245.0,-1.49,98.51,37.81,65.3065,68.17,1.196014,2.94,100.1994,-14.34,,,,2.4302756946829285,0.24911102547845362,0.6757111135258264,1.3269544580092854,1.3783014118983006,1.2120707407189588,47.3,WEAK_HOLD,15.0,9.0,STRONG_BULLISH,51.18,2026-04-28,Sales: 16383 Cr (YoY +17.2%); NetProfit: 1948 Cr (YoY +2.4%); EPS: 73.77,"Sales last 3Q: 3551, 4374, 4532 Cr; Net Profit last 3Q: 349, 444, 456 Cr",Debt: 1545 Cr,ROCE: 18%; EPS: 73.77; NPM: 11.89%,True,2026-04-29T05:24:31Z,WELCORP vs Nifty 500: stock 60-session return 69.90% vs index -0.24% (+70.13 percentage points excess). Index membership tag: NIFTY 500.,WEAK_HOLD
GALLANTT,NIFTY MICROCAP 250,2026-04-28,852.7,948.0,-10.05,89.95,36.44,63.9451,64.38,1.109929,6.9189,43.2221,-15.09,,,,2.3631157216930574,0.10955401717509519,2.6053219932308944,0.32451641884361143,0.4450609788796084,1.1695138259644533,49.3,WEAK_HOLD,15.0,6.0,STRONG_BULLISH,52.62,2026-04-28,Sales: 4286 Cr (YoY -0.2%); NetProfit: 479 Cr (YoY +19.5%); EPS: 19.87,"Sales last 3Q: 1128, 1013, 1074 Cr; Net Profit last 3Q: 174, 89, 100 Cr",Debt: 657 Cr,ROCE: 19%; EPS: 19.87; NPM: 11.18%,True,2026-04-29T05:24:31Z,GALLANTT vs NIFTY MICROCAP250: stock 60-session return 62.68% vs index 12.10% (+50.58 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,WEAK_HOLD
NAVA,NIFTY 500,2026-04-28,669.2,736.8,-9.17,90.83,13.94,21.2351,25.92,1.439981,11.2254,-9.2509,-49.67,,,,0.25616519547197325,0.6446190076442835,4.693806060045813,-0.5986745928249025,0.5410015841432123,1.107383450896076,51.3,HOLD,13.0,11.0,STRONG_BULLISH,21.18,2026-04-28,Sales: 4166 Cr (YoY +4.6%); NetProfit: 1205 Cr (YoY -16%); EPS: 31.58,"Sales last 3Q: 1193, 964, 991 Cr; Net Profit last 3Q: 399, 178, 326 Cr",Debt: 1596 Cr,ROCE: 14%; EPS: 31.58; NPM: 28.92%,True,2026-04-29T05:24:31Z,NAVA vs Nifty 500: stock 60-session return 25.19% vs index -0.24% (+25.42 percentage points excess). Index membership tag: NIFTY 500.,HOLD
HSCL,NIFTY 500,2026-04-28,571.4,605.0,-5.55,94.45,21.13,28.731,30.41,1.382362,6.8401,71.7581,-19.95,,,,0.6259495656312013,0.5512097579325893,2.5671070752081344,0.8265684972262599,0.9356663467048554,1.101300248540608,46.0,WEAK_HOLD,16.0,6.0,STRONG_BULLISH,28.19,2026-04-28,Sales: 4661 Cr (YoY +1%); NetProfit: 755 Cr (YoY +36%); EPS: 14.89,"Sales last 3Q: 1071, 1184, 1288 Cr; Net Profit last 3Q: 176, 192, 208 Cr",Debt: 768 Cr,ROCE: 23%; EPS: 14.89; NPM: 16.2%,True,2026-04-29T05:24:31Z,HSCL vs Nifty 500: stock 60-session return 27.47% vs index -0.24% (+27.71 percentage points excess). Index membership tag: NIFTY 500.,WEAK_HOLD
VOLTAMP,NIFTY MICROCAP 250,2026-04-28,11512.5,11709.0,-1.68,98.32,27.56,62.7124,61.34,1.039681,2.2388,110.6175,-13.95,,,,2.302304719265693,-0.004328781445968972,0.33565653842989684,1.510246746970537,1.357586963034568,1.1002932372509453,57.3,HOLD,18.0,11.0,STRONG_BULLISH,45.06,2026-04-28,Sales: 2161 Cr (YoY +11.7%); NetProfit: 354 Cr (YoY +8.9%); EPS: 350.21,"Sales last 3Q: 424, 483, 630 Cr; Net Profit last 3Q: 80, 79, 99 Cr",Debt: 1 Cr,ROCE: 29%; EPS: 350.21; NPM: 16.38%,True,2026-04-29T05:24:31Z,VOLTAMP vs NIFTY MICROCAP250: stock 60-session return 69.81% vs index 12.10% (+57.71 percentage points excess). Index membership tag: NIFTY MICROCAP 250.,HOLD
BHEL,"NIFTY 500,NIFTY MIDCAP SELECT",2026-04-28,354.71,356.0,-0.36,99.64,29.74,37.982,44.48,2.471374,1.5586,58.4137,-20.84,53.94,47.0,54.13,1.0823157402523964,2.3166654903651502,0.005786141994855188,0.5917919428819435,1.5014978709299738,1.0996114372848638,52.7,HOLD,15.0,6.0,BULLISH,32.63,2026-04-28,Sales: 30465 Cr (YoY +7.5%); NetProfit: 814 Cr (YoY +52.4%); EPS: 2.34,"Sales last 3Q: 5487, 7512, 8473 Cr; Net Profit last 3Q: -456, 375, 390 Cr",Debt: 10969 Cr,ROCE: 5%; EPS: 2.34; NPM: 2.67%,True,2026-04-29T05:24:31Z,BHEL vs Nifty 500: stock 60-session return 43.20% vs index -0.24% (+43.44 percentage points excess). Index membership tag: NIFTY 500. BHEL vs NIFTY MID SELECT: stock 60-session return 43.20% vs index 6.38% (+36.82 percentage points excess). Index membership tag: NIFTY MIDCAP SELECT.,HOLD
VTL,NIFTY 500,2026-04-28,609.15,620.7,-1.86,98.14,12.58,48.883,47.51,0.805285,1.3242,196.2934,-6.34,50.16,47.0,49.57,1.6200789733672654,-0.38432070243422506,-0.10788869029619709,3.0175975901967758,1.3379627483215581,1.0966859838310357,55.3,HOLD,16.0,11.0,STRONG_BULLISH,28.96,2026-04-28,Sales: 9880 Cr (YoY +1%); NetProfit: 802 Cr (YoY -9.6%); EPS: 27.59,"Sales last 3Q: 2386, 2480, 2505 Cr; Net Profit last 3Q: 208, 188, 168 Cr",Debt: 1479 Cr,ROCE: 11%; EPS: 27.59; NPM: 8.12%,True,2026-04-29T05:24:31Z,VTL vs Nifty 500: stock 60-session return 48.52% vs index -0.24% (+48.75 percentage points excess). Index membership tag: NIFTY 500.,HOLD
