symbol,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,processed_date,processing_batch,batch_number,SYMBOL
BAJAJHLDNG,53.83,50.65,55.0,54.09,60.0,,20250812_1033,7,BAJAJHLDNG
BANKBARODA,53.65,55.48,47.0,57.94,54.17,,20250812_1047,7,BANKBARODA
BEML,52.07,49.57,47.0,55.23,63.0,,20250812_1109,9,BEML
BFUTILITIE,59.72,65.65,56.0,56.82,54.0,,20250812_1114,9,BFUTILITIE
BDL,73.31,74.78,94.0,58.86,54.17,,20250812_1105,9,BDL
BEL,54.37,52.39,47.0,56.59,69.0,,20250812_1107,9,BEL
BHARATFORG,54.83,55.22,53.0,56.82,54.17,,20250812_1118,9,BHARATFORG
BHARATGEAR,51.91,51.96,47.0,56.36,54.0,,20250812_1118,9,BHARATGEAR
BHEL,53.94,54.13,47.0,55.45,63.0,,20250812_1123,10,BHEL
BPCL,62.6,70.0,56.0,58.64,59.17,,20250812_1144,11,BPCL
BHARTIARTL,52.75,50.65,51.0,54.32,59.17,,20250812_1121,9,BHARTIARTL
BLACKBUCK,62.86,66.96,62.0,58.64,59.0,,20250812_1129,10,BLACKBUCK
BLUESTARCO,72.84,74.35,86.0,58.5,66.0,,20250812_1136,10,BLUESTARCO
BLUSPRING,47.63,47.95,40.83,46.18,60.0,,20250812_1137,10,BLUSPRING
BOSCHLTD,53.48,51.96,47.0,57.5,63.0,,20250812_1143,11,BOSCHLTD
BSE,61.34,64.35,60.0,57.05,61.25,,20250812_1149,11,BSE
CANBK,54.62,54.05,47.0,56.76,66.0,,20250812_1200,12,CANBK
CDSL,52.49,53.1,47.0,57.75,53.0,,20250812_1213,13,CDSL
CESC,54.43,55.22,51.0,55.45,56.67,,20250812_1222,13,CESC
CHOICEIN,54.36,51.52,55.0,55.0,60.0,,20250812_1232,14,CHOICEIN
CHOLAHLDNG,50.66,50.22,47.0,51.59,56.67,,20250812_1233,14,CHOLAHLDNG
CIEINDIA,55.88,56.96,53.0,58.64,54.17,,20250812_1234,14,CIEINDIA
CUB,54.17,55.0,47.0,56.18,61.25,,20250812_1308,16,CUB
COCHINSHIP,74.88,76.52,94.0,58.86,60.0,,20250812_1242,14,COCHINSHIP
COFORGE,54.71,51.3,53.0,58.18,62.0,,20250812_1244,14,COFORGE
COMSYN,71.65,75.43,86.0,59.55,53.75,,20250812_1247,14,COMSYN
CONCOR,54.0,53.7,51.0,56.36,56.67,,20250812_1248,15,CONCOR
COROMANDEL,54.33,51.3,51.0,55.77,66.0,,20250812_1255,15,COROMANDEL
CROMPTON,57.18,56.52,61.0,56.59,53.33,,20250812_1304,15,CROMPTON
CUMMINSIND,53.02,50.65,51.0,55.68,59.17,,20250812_1309,16,CUMMINSIND
CUPID,52.86,51.84,53.0,58.35,48.0,,20250812_1310,16,CUPID
DALBHARAT,68.15,73.7,76.0,57.73,54.17,,20250812_1314,16,DALBHARAT
DATAPATTNS,52.76,52.39,47.0,57.5,57.0,,20250812_1319,16,DATAPATTNS
DEEPINDS,62.64,63.48,74.6,58.0,46.67,,20250812_1335,17,DEEPINDS
DELHIVERY,53.74,51.96,47.0,57.27,65.0,,20250812_1336,17,DELHIVERY
DBOL,54.44,55.0,51.0,57.95,54.0,,20250812_1322,17,DBOL
ENDURANCE,51.27,49.57,47.5,56.59,55.0,,20260308_2023,1,ENDURANCE
EXIDEIND,51.12,51.96,44.17,55.23,55.0,,20260308_2023,1,EXIDEIND
GABRIEL,48.43,49.57,36.88,55.68,55.0,,20260308_2023,1,GABRIEL
MSUMI,48.99,49.57,40.71,53.7,55.0,,20260308_2023,1,MSUMI
MOTHERSON,51.57,50.22,51.0,52.39,55.0,,20260308_2023,1,MOTHERSON
SHAILY,52.91,52.39,50.83,55.0,55.0,,20260309_1008,1,SHAILY
SHRIPISTON,48.69,50.22,36.88,55.68,55.0,,20260308_2023,1,SHRIPISTON
TMPV,47.98,52.39,30.56,55.68,55.0,,20260308_2023,1,TMPV
