symbol,weight_pct,volatility_annual_pct
NAM-INDIA,0.4464285714285714,42.24
NLCINDIA,0.4464285714285714,41.19
NRBBEARING,0.4464285714285714,38.48
NTPC,0.4464285714285714,26.15
OBEROIRLTY,0.4464285714285714,33.0
OSWALAGRO,0.4464285714285714,63.25
PCJEWELLER,0.4464285714285714,83.14
PGEL,0.4464285714285714,86.54
PIDILITIND,0.4464285714285714,41.47
PNCINFRA,0.4464285714285714,41.6
POLYCAB,0.4464285714285714,33.93
POCL,0.4464285714285714,70.89
POWERGRID,0.4464285714285714,25.93
PRAJIND,0.4464285714285714,41.74
PREMEXPLN,0.4464285714285714,88.84
PNB,0.4464285714285714,32.36
RVNL,0.4464285714285714,50.1
RAYMONDLSL,0.4464285714285714,49.1
RAYMOND,0.4464285714285714,66.57
RAYMONDREL,0.4464285714285714,53.89
RHIM,0.4464285714285714,36.48
ROSSTECH,0.4464285714285714,98.04
SAGCEM,0.4464285714285714,37.57
MOTHERSON,0.4464285714285714,43.22
SBFC,0.4464285714285714,35.59
SBICARD,0.4464285714285714,25.62
SBILIFE,0.4464285714285714,22.74
SCHNEIDER,0.4464285714285714,63.16
SHAILY,0.4464285714285714,58.44
SHRIRAMFIN,0.4464285714285714,69.14
SHRIPISTON,0.4464285714285714,40.3
ENRIN,0.4464285714285714,35.41
SIEMENS,0.4464285714285714,46.04
SKYGOLD,0.4464285714285714,90.31
SOLARINDS,0.4464285714285714,35.69
SOMANYCERA,0.4464285714285714,38.69
SBIN,0.4464285714285714,25.36
SAIL,0.4464285714285714,39.95
SUMICHEM,0.4464285714285714,36.44
SUNPHARMA,0.4464285714285714,20.69
SUNFLAG,0.4464285714285714,44.63
SUPRIYA,0.4464285714285714,46.92
TATACHEM,0.4464285714285714,29.95
TCS,0.4464285714285714,22.02
TATACONSUM,0.4464285714285714,23.52
TATAELXSI,0.4464285714285714,32.61
TMCV,0.4464285714285714,48.0
TMPV,0.4464285714285714,33.54
TATASTEEL,0.4464285714285714,29.23
TDPOWERSYS,0.4464285714285714,48.07
TECHM,0.4464285714285714,26.47
FEDERALBNK,0.4464285714285714,26.24
INDHOTEL,0.4464285714285714,31.01
KARURVYSYA,0.4464285714285714,36.46
TATAPOWER,0.4464285714285714,27.82
TIMETECHNO,0.4464285714285714,60.22
TIMEX,0.4464285714285714,30.4
TITAN,0.4464285714285714,23.32
TRENT,0.4464285714285714,37.7
TSFINV,0.4464285714285714,45.51
UJJIVANSFB,0.4464285714285714,37.37
UNITDSPR,0.4464285714285714,24.34
USHAMART,0.4464285714285714,39.28
V2RETAIL,0.4464285714285714,315.82
WABAG,0.4464285714285714,46.05
VBL,0.4464285714285714,53.48
VIDHIING,0.4464285714285714,37.23
VOLTAS,0.4464285714285714,34.14
VSTTILLERS,0.4464285714285714,36.75
WEBELSOLAR,0.4464285714285714,109.05
WELENT,0.4464285714285714,40.92
WELINV,0.4464285714285714,68.06
WHIRLPOOL,0.4464285714285714,40.14
WINDLAS,0.4464285714285714,46.11
ZENTEC,0.4464285714285714,49.92
