symbol,quantity,value_rs,current_price,technical_score,rsi,trend_signal,trading_signal,recommendation,change_1d_pct,change_1w_pct,change_1m_pct,relative_strength,enhanced_fund_score,data_source
IGL,30,5336.7,166.45,36.0,58.1,BEARISH,WEAK_HOLD,REDUCE,0.95,-0.45,14.3,-1.98,,comprehensive_csv
INDRAMEDCO,35,12710.25,401.25,33.3,46.7,BULLISH,SELL,SELL,-3.06,-0.82,7.76,4.01,,comprehensive_csv
INFY,102,167382.0,1152.1,4.7,29.2,STRONG_BEARISH,SELL,SELL,-1.56,-12.27,-7.88,-18.92,,comprehensive_csv
INDIGO,3,13789.5,4442.4,24.0,48.1,BEARISH,SELL,SELL,-2.6,-5.34,12.65,-6.28,,comprehensive_csv
ITCHOTELS,9,1626.84,157.94,18.7,49.2,BEARISH,SELL,SELL,-1.72,-4.31,14.56,-11.54,,comprehensive_csv
ITC,90,28993.5,304.45,23.3,50.7,BEARISH,SELL,SELL,0.2,-1.68,5.82,-1.11,,comprehensive_csv
JKCEMENT,7,38664.5,5472.5,35.3,48.8,BULLISH,WEAK_HOLD,REDUCE,-2.39,-7.57,7.73,-1.84,,comprehensive_csv
JINDALSTEL,64,72448.0,1265.5,50.0,59.7,STRONG_BULLISH,HOLD,HOLD,-0.99,-1.81,13.69,10.38,,comprehensive_csv
JMFINANCIL,50,6447.5,137.83,37.3,59.2,BULLISH,WEAK_HOLD,REDUCE,-1.94,3.27,21.32,2.31,,comprehensive_csv
JSWENERGY,29,13334.2,580.9,54.7,71.2,STRONG_BULLISH,HOLD,HOLD,1.24,6.27,23.18,24.26,,comprehensive_csv
JSWSTEEL,45,54648.0,1281.6,49.3,64.2,STRONG_BULLISH,WEAK_HOLD,REDUCE,-0.09,0.16,14.17,7.17,,comprehensive_csv
JUBLPHARMA,10,9819.0,942.45,45.3,66.1,BULLISH,WEAK_HOLD,REDUCE,-1.31,3.91,15.43,4.81,,comprehensive_csv
JYOTHYLAB,30,7461.0,262.41,47.3,67.9,BEARISH,WEAK_HOLD,REDUCE,-2.25,5.73,33.03,9.15,,comprehensive_csv
KANSAINER,20,4603.8,199.43,27.3,57.0,BULLISH,SELL,SELL,-0.92,-3.3,19.26,-1.72,,comprehensive_csv
KEC,50,33357.5,571.3,22.7,51.7,BEARISH,SELL,SELL,-0.84,-2.11,11.73,-3.99,,comprehensive_csv
KERNEX,5,6289.0,1352.65,54.7,76.0,BULLISH,HOLD,HOLD,1.02,14.8,57.84,17.2,,comprehensive_csv
KIRLOSENG,15,17610.0,1724.4,53.3,72.2,STRONG_BULLISH,HOLD,HOLD,2.58,3.67,29.76,40.51,,comprehensive_csv
KNR CONSTRUCTIONS LIMITED,10,1481.3,,50.0,,UNKNOWN,HOLD,HOLD,,,,,,none
KOTAKBANK,30,12240.0,377.95,24.7,43.0,BEARISH,SELL,SELL,0.31,-1.1,6.95,-7.8,,comprehensive_csv
KRBL,20,6847.0,374.35,39.3,64.6,BULLISH,WEAK_HOLD,REDUCE,-0.6,6.18,32.65,5.27,,comprehensive_csv
KIMS,30,18112.5,662.25,38.7,49.9,BULLISH,WEAK_HOLD,REDUCE,-1.81,-2.8,6.56,6.07,,comprehensive_csv
ISIN SUSPENDED,35,35.0,,50.0,,UNKNOWN,HOLD,HOLD,,,,,,none
LT,32,125833.6,4037.7,34.7,56.8,BEARISH,SELL,SELL,-0.39,-0.93,15.23,1.01,,comprehensive_csv
LAURUSLABS,25,24125.0,1090.45,56.7,52.6,STRONG_BULLISH,HOLD,HOLD,-2.95,-2.14,9.85,17.0,,comprehensive_csv
LIBAS,40,406.8,11.88,18.0,42.2,STRONG_BEARISH,SELL,SELL,0.68,-0.08,-2.14,-8.75,,db
LICI,38,31331.0,817.7,26.0,54.1,BEARISH,SELL,SELL,-0.22,-0.78,12.69,-4.14,,comprehensive_csv
LKPFIN,29,28721.6,,50.0,,UNKNOWN,HOLD,HOLD,,,,,,none
LTFOODS,26,9692.8,425.0,44.7,60.1,STRONG_BULLISH,WEAK_HOLD,REDUCE,-0.89,1.07,16.98,6.97,,comprehensive_csv
M&M,6,20590.8,3088.1,18.7,45.5,BEARISH,SELL,SELL,-0.46,-4.9,4.51,-11.83,,comprehensive_csv
MAITHANALL,6,6038.4,1080.4,38.0,48.2,BEARISH,WEAK_HOLD,REDUCE,-1.41,3.63,0.68,-5.01,,db
MANAPPURAM,10,2846.5,292.75,43.3,64.5,BEARISH,WEAK_HOLD,REDUCE,1.58,3.89,16.59,-1.08,,comprehensive_csv
MARICO,5,3649.0,780.85,38.7,58.9,BULLISH,WEAK_HOLD,REDUCE,-0.78,2.41,6.1,6.25,,comprehensive_csv
MARUTI,1,14599.0,12892.0,28.0,42.4,BEARISH,SELL,SELL,-2.5,-4.23,4.76,-10.72,,comprehensive_csv
MAXHEALTH,7,6697.6,1004.75,30.0,54.4,BEARISH,SELL,SELL,-0.51,-1.52,4.41,2.52,,comprehensive_csv
