SYMBOL,PRICE_28APR,STAGE_SCORE,COMPANY_NAME,LIVE_PRICE,CHG_PCT
COMMOIETF,105.14,0.641,ICICIPRAMC - ICICICOMMO,,
TATASTEEL,215.05,0.636,TATA STEEL LIMITED,213.48,-0.73
JSWSTEEL,1281.6,0.636,JSW STEEL LIMITED,1270.8,-0.84
JINDALSTEL,1265.5,0.633,JINDAL STEEL LIMITED,1260.6,-0.39
AMBER,8200.0,0.627,AMBER ENTERPRISES (I) LTD,7991.5,-2.54
GAEL,149.54,0.625,GUJARAT AMBUJA EXPORTS LT,155.88,4.24
APOLLOHOSP,7753.0,0.623,APOLLO HOSPITALS ENTER. L,7779.0,0.34
LUPIN,2302.7,0.614,LUPIN LIMITED,2351.3,2.11
CCL,1103.2,0.612,CCL PRODUCTS (I) LTD,1159.5,5.1
MANOMAY,242.6,0.61,MANOMAY TEX INDIA LTD,222.39,-8.33
APOLLOPIPE,433.2,0.609,APOLLO PIPES LIMITED,449.6,3.79
MUTHOOTMF,188.59,0.609,MUTHOOT MICROFIN LIMITED,198.28,5.14
LIQUID1,1101.77,0.609,KOTAKMAMC - KOTAKLIQ,,
LIQUIDPLUS,1082.85,0.608,MIRAEAMC - LIQUIDPLUS,,
CASHIETF,1059.62,0.608,ICICIPRAMC - CASHIETF,,
LIQUIDADD,1123.94,0.607,DSPAMC - LIQUIDADD,,
LIQUIDCASE,113.8,0.607,ZERODHAAMC - LIQUIDCASE,,
DELHIVERY,465.4,0.606,DELHIVERY LIMITED,469.3,0.84
LIQUIDBETF,1079.17,0.606,BFAM - LIQUIDBETF,,
KEI,4965.1,0.606,KEI INDUSTRIES LTD.,4962.0,-0.06
GROWWLIQID,108.82,0.606,GROWWAMC - GROWWLIQID,,
EMCURE,1608.2,0.605,EMCURE PHARMACEUTICALS L,1744.0,8.44
TITAN,4417.0,0.605,TITAN COMPANY LIMITED,4395.3,-0.49
POLYCAB,8254.0,0.602,POLYCAB INDIA LIMITED,8234.5,-0.24
RBLBANK,320.75,0.597,RBL BANK LIMITED,334.2,4.19
ELGIEQUIP,552.65,0.597,ELGI EQUIPMENTS LTD,555.0,0.43
JBCHEPHARM,2043.6,0.594,J B CHEMICALS AND PHARMA,2085.6,2.06
USHAMART,457.5,0.591,USHA MARTIN LTD.,469.5,2.62
FEDERALBNK,290.6,0.59,FEDERAL BANK LTD,289.65,-0.33
SMSPHARMA,390.25,0.588,SMS PHARMACEUTICALS LTD.,415.5,6.47
VOLTAS,1511.1,0.578,VOLTAS LTD,1454.3,-3.76
ICICIB22,125.66,0.578,ICICIPRAMC - BHARATIWIN,,
VEDL,739.3,0.577,VEDANTA LIMITED,290.3,-60.73
EDELWEISS,123.99,0.576,EDELWEISS FIN SERV LTD,118.49,-4.44
UNIPARTS,527.55,0.566,UNIPARTS INDIA LIMITED,543.45,3.01
MARICO,780.85,0.565,MARICO LIMITED,784.3,0.44
JINDALSAW,240.28,0.562,JINDAL SAW LIMITED,233.82,-2.69
AUBANK,1022.8,0.56,AU SMALL FINANCE BANK LTD,1033.5,1.05
PFOCUS,309.8,0.556,PRIME FOCUS LIMITED,304.45,-1.73
CIEINDIA,469.6,0.552,CIE AUTOMOTIVE INDIA LTD,482.8,2.81
ANURAS,1310.0,0.528,ANUPAM RASAYAN INDIA LTD,1347.5,2.86
