MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,YT,990SCL27,SEC RE NCD 9.9% SR IV,      1012.80,      1032.00,      1032.00,      1032.00,      1032.00,                    56760.00,55, ,2,      1055.00,       925.00
N,YZ,97SFL29,SEC RED NCD 9.70% SR. V,      1105.10,      1105.10,      1105.10,      1105.10,      1105.10,                    49729.50,45, ,2,      1140.00,      1010.10
N,Z5,931SFL26,SEC RED NCD 9.31% SR.III,      1040.00,      1050.00,      1050.00,      1050.00,      1050.00,                    48300.00,46, ,2,      1055.00,       985.01
N,Z9,97SFL26,SEC RED NCD 9.7% SR.VII,      1025.00,      1025.00,      1025.00,      1025.00,      1025.00,                   199875.00,195, ,4,      1099.01,       976.01
N,ZC,SFLZC26A,SEC RED NCD SR.X,      1789.80,      1789.80,      1789.80,      1786.06,      1786.06,                    26809.60,15, ,2,      1985.00,      1390.00
N,ZI,91SFL27,SEC RED NCD 9.10% SR.VI,      1069.99,      1061.01,      1070.00,      1061.00,      1066.00,                   159560.50,150, ,6,      1081.00,      1009.00
N,ZJ,948SCL27A,SEC RE NCD 9.48% SR V,       984.90,       984.90,       984.90,       984.90,       984.90,                    39396.00,40, ,1,      1000.00,       930.40
N,ZM,925SCL29A,SEC RE NCD 9.25% SR VIII,       965.00,       940.87,       940.87,       940.87,       940.87,                      940.87,1, ,1,       970.00,       870.00
N,ZT,1025SCL34A,SEC RE NCD 10.25% SR XII,       995.00,       995.00,       999.00,       995.00,       999.00,                    29954.00,30, ,3,      1025.00,       827.00
N,ZU,955SCL25,SEC RE NCD 9.55% SR.IV,       432.00,       518.20,       518.20,       399.00,       399.00,                     3907.20,8, ,2,       980.00,       292.50
