MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty Multi Mfg,     15922.75,     15960.90,     16031.50,     15922.15,     16012.00,0.00,0,Y, ,0,     16253.65,      8394.35
Y,Nifty Multi Infra,     14565.10,     14588.05,     14735.15,     14580.10,     14715.95,0.00,0,Y, ,0,     15154.10,      8010.10
Y,BHARATBOND-APR30,      1558.67,      1558.97,      1559.52,      1558.94,      1559.52,0.00,0,Y, ,0,         0.00,         0.00
Y,BHARATBOND-APR31,      1421.22,      1421.48,      1421.51,      1421.18,      1421.18,0.00,0,Y, ,0,         0.00,         0.00
Y,BHARATBOND-APR32,      1295.09,      1295.33,      1295.33,      1294.67,      1294.67,0.00,0,Y, ,0,         0.00,         0.00
Y,BHARATBOND-APR33,      1256.73,      1256.98,      1256.98,      1256.96,      1256.96,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Ind Defence,      8083.30,      8097.25,      8105.75,      8036.75,      8064.70,0.00,0,Y, ,0,      9195.15,      3374.95
Y,Nifty Ind Tourism,      8975.75,      8990.10,      9047.80,      8949.00,      9029.45,0.00,0,Y, ,0,      9497.20,      6058.05
Y,Nifty Capital Mkt,      4643.10,      4573.15,      4576.40,      4500.90,      4556.45,0.00,0,Y, ,0,      4768.00,      2009.60
Y,Nifty500Momentm50,     53810.00,     53934.90,     54100.90,     53793.30,     54039.15,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftyMS400 MQ 100,     48782.15,     48729.60,     49040.80,     48565.90,     48974.65,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftySml250MQ 100,     45970.65,     45929.55,     46144.10,     45716.15,     46086.40,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Top 10 EW,      9855.90,      9866.25,      9897.55,      9856.95,      9890.40,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty AQL 30,     22881.85,     22916.10,     22997.75,     22869.35,     22940.40,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty AQLV 30,     21154.85,     21177.95,     21232.00,     21120.85,     21155.70,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty EV,      3114.30,      3119.30,      3123.80,      3098.05,      3120.60,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty HighBeta 50,      3917.15,      3924.00,      3978.45,      3908.00,      3972.40,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty New Consump,     12353.10,     12346.05,     12349.00,     12284.05,     12329.35,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Corp MAATR,     38143.15,     38253.95,     38585.10,     38175.05,     38476.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Low Vol 50,     25568.85,     25633.35,     25749.20,     25620.70,     25724.25,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Mobility,     22948.70,     22991.75,     23015.60,     22833.35,     22956.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Qlty LV 30,     17543.05,     17583.40,     17632.05,     17542.10,     17576.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Sml250 Q50,     26817.25,     26752.20,     26814.50,     26612.85,     26769.10,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty Top 15 EW,     10924.40,     10941.10,     10955.70,     10913.80,     10932.35,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100 Alpha 30,     18807.70,     18821.35,     18833.15,     18749.50,     18773.60,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100 Enh ESG,      5133.15,      5142.60,      5173.45,      5134.50,      5168.45,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200 Value 30,     13941.40,     13986.75,     14207.75,     13980.95,     14188.50,0.00,0,Y, ,0,         0.00,         0.00
