MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        54.00,        57.00,        57.00,        55.00,        55.05,                   446500.00,8000, ,        66.00,        44.00
N,SM,DCG,DCG CABLES & WIRES LTD,        63.00,        62.00,        62.85,        61.35,        62.45,                   372360.00,6000, ,       141.10,        55.00
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       171.20,       173.30,       174.70,       160.00,       169.85,                  9650160.00,57600, ,       374.80,       160.00
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        33.30,        33.95,        34.00,        33.60,        34.00,                   485700.00,14400, ,        69.80,        28.80
N,SM,DEEM,DEEM ROLL TECH LIMITED,        51.40,        52.00,        54.00,        52.00,        53.45,                   479750.00,9000, ,       104.50,        47.45
N,SM,DELAPLEX,DELAPLEX LIMITED,       152.00,       152.00,       152.00,       149.05,       149.40,                  1526310.00,10200, ,       248.00,       126.00
N,SM,DELTIC,DELTA AUTOCORP LIMITED,        59.25,        59.25,        59.25,        58.25,        58.40,                  1357200.00,23000, ,       183.75,        58.25
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        42.00,        42.00,        42.05,        42.00,        42.00,                   588100.00,14000, ,       110.00,        38.70
N,SM,DHARIWAL,DHARIWALCORP LIMITED,       197.40,       198.00,       199.90,       194.05,       194.50,                  2834640.00,14400, ,       229.00,        90.50
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,        80.55,        78.00,        81.00,        77.80,        80.65,                  1717540.00,21600, ,       369.00,        77.80
N,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       113.35,       114.60,       114.60,       108.35,       113.40,                  1784400.00,16000, ,       116.95,        43.00
G,ST,DPEL,DIVINE POWER ENERGY LTD,       272.00,       268.25,       277.40,       268.25,       277.40,                 23651100.00,85500, ,       282.25,        92.05
N,SM,DIVYADHAN,DIVYADHAN RECYCLING IND L,        42.00,        42.00,        42.00,        42.00,        42.00,                   168000.00,4000, ,        86.20,        34.50
G,ST,DHTL,DOCMODE HEALTH TECH LTD,       118.00,       120.35,       120.35,       120.35,       120.35,                   288840.00,2400, ,       120.35,        36.90
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        40.05,        39.65,        40.35,        39.50,        40.30,                  1436600.00,36000, ,        44.65,        32.00
N,SM,DRONE,DRONE DESTINATION LIMITED,        88.00,        92.40,        92.40,        91.50,        92.40,                  2863775.00,31000, ,       235.00,        64.55
N,SM,DRSDILIP,DRS DILIP ROADLINES LTD.,        84.05,        84.00,        84.00,        84.00,        84.00,                    67200.00,800, ,       136.55,        84.00
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       183.45,       188.00,       194.00,       187.00,       193.15,                  4872400.00,25600, ,       194.00,        93.50
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        33.20,        33.20,        33.75,        33.20,        33.75,                   167375.00,5000, ,        76.95,        32.45
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        42.50,        41.05,        42.00,        40.05,        42.00,                   827600.00,20000, ,        65.00,        33.10
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       118.75,       118.30,       119.30,       115.00,       116.15,                  2745925.00,23500, ,       404.35,       107.30
N,SM,EFACTOR,E FACTOR EXPERIENCES LTD,       308.85,       312.00,       331.00,       311.00,       319.30,                 23000600.00,72000, ,       331.00,       127.50
N,SM,ECOLINE,ECOLINE EXIM LIMITED,       139.45,       140.00,       141.55,       136.00,       137.40,                  7629300.00,55000, ,       141.55,       130.50
N,SM,EFFWA,EFFWA INFRA & RESEARCH L,       208.05,       208.05,       208.05,       205.20,       206.45,                  3880080.00,18800, ,       272.95,       147.55
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        45.00,        45.00,        45.10,        44.00,        44.75,                   532200.00,12000, ,        69.00,        29.20
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,       130.55,       132.00,       133.00,       128.05,       130.60,                  7541100.00,58000, ,       163.50,        95.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,       102.00,       101.15,       101.15,       101.00,       101.05,                   202150.00,2000, ,       158.80,        87.05
N,SM,ETML,EMERALD TYRE MANUF LTD,       118.00,       117.05,       120.00,       116.30,       116.60,                  1268220.00,10800, ,       198.95,        96.10
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       139.65,       139.65,       147.00,       136.20,       144.15,                   927067.50,6600, ,       521.85,       136.20
N,SM,ETL,EMKAY TOOLS LIMITED,       840.05,       840.05,       845.05,       840.05,       845.05,                   504840.00,600, ,      1235.00,       721.10
N,SM,EMMIL,ENERGY MISSION MACH IND L,       176.40,       176.40,       177.95,       174.00,       177.95,                  1091500.00,6250, ,       453.00,       162.10
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       215.00,       219.00,       219.00,       219.00,       219.00,                   131400.00,600, ,       284.00,       171.00
N,SM,ENSER,ENSER COMMUNICATIONS LTD,        21.20,        20.00,        21.25,        20.00,        20.45,                   813250.00,40000, ,       321.00,        13.35
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,       162.00,       162.00,       167.00,       158.70,       159.40,                  3255150.00,20000, ,       173.00,        89.40
N,SM,EEPL,EPPELTONE ENGINEERS LTD,       164.10,       164.00,       165.00,       161.00,       162.20,                  6499700.00,40000, ,       267.90,       160.05
N,SM,ESCONET,ESCONET TECHNOLOGIES LTD,       234.65,       244.80,       244.80,       225.00,       226.00,                  7900660.00,34400, ,       502.95,       150.15
N,SM,ESPRIT,ESPRIT STONES LIMITED,        74.50,        73.00,        75.25,        72.10,        73.10,                  2938160.00,40000, ,       159.45,        66.70
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       218.60,       217.00,       223.00,       217.00,       218.00,                  5832702.00,26640, ,       757.25,       211.60
N,SM,EXCELLENT,EXCELLENT WIRES N PACK L,        43.65,        43.60,        43.60,        43.60,        43.60,                    69760.00,1600, ,        76.00,        42.00
N,SM,FALCONTECH,FALCON TECHNOPROJ IND LTD,        17.55,        17.60,        18.50,        17.60,        18.40,                   109680.00,6000, ,        63.95,        14.85
N,SM,FELIX,FELIX INDUSTRIES LTD.,       179.50,       179.00,       179.40,       176.50,       177.15,                  3378675.00,19000, ,       236.00,       108.00
N,SM,FIDEL,FIDEL SOFTECH LIMITED,       170.00,       174.50,       175.00,       150.00,       172.50,                  3544100.00,21000, ,       234.00,       109.00
N,ST,FLYSBS,FLYSBS AVIATION LIMITED,       561.35,       540.00,       563.00,       537.00,       552.25,                  8908980.00,16200, ,       790.00,       427.50
N,SM,FONEBOX,FONEBOX RETAIL LIMITED,        94.00,        90.50,        90.50,        90.00,        90.00,                   180500.00,2000, ,       177.80,        68.85
N,SM,FORCAS,FORCAS STUDIO LIMITED,       120.45,       124.70,       125.90,       120.00,       122.25,                 15351840.00,124800, ,       129.80,        65.05
N,SM,FORGEAUTO,FORGE AUTO INTERNATION L,       138.00,       135.00,       135.00,       134.00,       134.00,                  2912100.00,21600, ,       175.50,        60.00
N,SM,FRESHARA,FRESHARA AGRO EXPORTS LTD,       161.00,       161.00,       169.00,       156.30,       165.50,                 11005260.00,68400, ,       221.95,       110.00
N,SM,FROG,FROG CELLSAT LIMITED,       215.40,       213.50,       214.50,       211.45,       212.70,                  4847180.00,22800, ,       458.00,       211.15
N,SM,GAJANAND,GAJANAND INTERNATIONAL L,        11.70,        11.70,        11.70,        11.10,        11.10,                    68400.00,6000, ,        23.60,         9.65
N,SM,GML,GALAXY MEDICARE LIMITED,        21.05,        21.05,        21.90,        21.05,        21.90,                   519800.00,24000, ,        54.00,        18.75
N,SM,GGBL,GANESH GREEN BHARAT LTD,       406.60,       404.40,       409.45,       388.00,       392.40,                 27578790.00,69300, ,       635.00,       282.20
N,SM,GANESHIN,GANESH INFRAWORLD LIMITED,       225.50,       224.95,       228.50,       217.00,       222.30,                 41077480.00,184000, ,       279.80,       106.25
N,SM,GANGABATH,GANGA BATH FITTINGS LTD,        25.45,        25.65,        25.95,        25.50,        25.95,                   691800.00,27000, ,        59.00,        23.05
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,       407.70,       387.35,       404.00,       387.35,       388.00,                   488687.50,1250, ,       525.25,       315.60
N,SM,GIRIRAJ,GIRIRAJ CIVIL DEVP LTD,       226.70,       217.00,       225.00,       215.50,       219.45,                   547875.00,2500, ,       409.00,       179.00
N,SM,GICL,GLOBE INTL CARRIERS LTD,        42.70,        42.00,        42.40,        40.50,        42.30,                 11283300.00,270000, ,       179.00,        40.30
N,SM,GSTL,GLOBESECURE TECHNO LTD,         6.60,         6.40,         6.60,         6.30,         6.60,                   244100.00,38000, ,        51.90,         6.30
N,SM,GOYALSALT,GOYAL SALT LIMITED,       177.00,       179.00,       200.00,       176.15,       198.50,                 33664710.00,176400, ,       238.00,       142.00
N,SM,GPECO,GP ECO SOLUTIONS INDIA L,       530.20,       539.40,       543.45,       525.75,       528.95,                 29584590.00,55200, ,       616.50,       226.05
N,ST,GCHOTELS,GRAND CONTINENT HOTELS L,       202.00,       210.00,       210.00,       204.00,       204.00,                  1234800.00,6000, ,       255.00,       101.90
N,SM,GRAPHISAD,GRAPHISADS LIMITED,        34.00,        33.50,        35.50,        33.50,        35.50,                   124200.00,3600, ,        80.50,        31.30
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        62.65,        62.00,        62.00,        60.00,        61.70,                   831880.00,13600, ,        90.00,        54.55
N,SM,GREENLEAF,GREENLEAF ENVIROTECH LTD,       134.20,       132.90,       132.95,       130.00,       130.00,                  1458450.00,11000, ,       144.80,       119.65
G,ST,BIRDYS,GRILL SPLENDOUR SER LTD,       151.90,       148.90,       148.90,       148.90,       148.90,                   178680.00,1200, ,       154.00,        77.25
N,SM,GSMFOILS,GSM FOILS LIMITED,       208.00,       208.10,       212.50,       208.05,       211.00,                  3582950.00,17000, ,       255.15,        75.50
N,SM,GURUNANAK,GURUNANAK AGRICULTUR IN L,        34.85,        34.85,        35.20,        33.65,        35.20,                   445120.00,12800, ,        60.00,        29.20
N,SM,WHITEFORCE,HAPPY SQUARE OUTSOURC S L,        71.00,        71.65,        75.90,        71.65,        73.60,                   936000.00,12800, ,        94.80,        54.85
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       198.00,       196.85,       196.85,       193.80,       193.80,                  4509880.00,23200, ,       340.90,       183.25
N,SM,HOACFOODS,HOAC FOODS INDIA LIMITED,       265.00,       270.00,       273.90,       245.00,       252.65,                 10292625.00,40500, ,       289.00,       105.00
N,SM,HOLMARC,HOLMARC OPTO MECHATRO L,       113.65,       110.00,       110.00,       108.00,       108.00,                   406500.00,3750, ,       214.00,       100.30
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       241.25,       240.00,       240.00,       240.00,       240.00,                    72000.00,300, ,       545.90,       200.45
N,SM,HRHNEXT,HRH NEXT SERVICES LIMITED,        36.50,        35.10,        35.10,        35.00,        35.00,                   315375.00,9000, ,       125.60,        28.75
N,ST,IDEALTECHO,IDEAL TECHNOPLAST IND LTD,       195.00,       200.00,       202.15,       196.00,       196.00,                   800250.00,4000, ,       221.00,        88.00
N,SM,IDENTICAL,IDENTICAL BRAINS STUDIO L,        38.00,        38.00,        38.00,        38.00,        38.00,                   152000.00,4000, ,        99.75,        33.15
N,ST,IEML-RE,INDIAN EMULSIFERS LTD,        17.00,        16.60,        20.00,        16.60,        18.55,                   903112.50,48500, ,        34.00,        15.60
N,SM,IEML,INDIAN EMULSIFIERS LTD,        99.75,       102.80,       103.80,        98.85,       102.25,                  3889625.00,38000, ,       309.85,        96.75
N,SM,IPHL,INDIAN PHOSPHATE LIMITED,        51.20,        51.95,        51.95,        49.00,        49.85,                  4388880.00,87600, ,       105.95,        42.40
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       249.60,       255.90,       261.40,       250.00,       256.90,                  2808825.00,11000, ,       337.50,       213.90
N,ST,INFLUX,INFLUX HEALTHTECH LIMITED,       174.60,       174.00,       177.50,       170.55,       175.00,                  3532080.00,20400, ,       208.00,       120.00
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       396.85,       391.05,       395.90,       388.00,       388.25,                  7171380.00,18400, ,       575.00,       340.90
N,SM,INNOMET,INNOMET ADVANCED MATERI L,       131.90,       131.90,       135.40,       127.25,       130.00,                  1905000.00,14400, ,       216.00,       100.00
N,ST,ITTL,INNOVATIVE TYRE & TUBE LT,        87.30,        85.55,        89.00,        85.55,        89.00,                   136557.75,1575, ,       152.40,        18.60
N,SM,INSPIRE,INSPIRE FILMS LIMITED,        15.85,        16.45,        16.50,        16.45,        16.50,                    65900.00,4000, ,        32.00,        15.00
