"SYMBOL","TOTAL_TRADES","WINNING_TRADES","LOSING_TRADES","WIN_RATE","TOTAL_RETURN","AVG_RETURN","MAX_RETURN","MIN_RETURN","AVG_TRADE_DAYS","SHARPE_RATIO","MAX_DRAWDOWN","PROFIT_FACTOR","CONFIDENCE_SCORE","CURRENT_PRICE","CURRENT_VOLUME","CURRENT_RSI","CURRENT_SMA_20","ANALYSIS_DATE"
"21STCENMGM",28,11,17,0.392857142857143,-0.154816097494503,-0.00552914633908938,0.0611825896523405,-0.059062829591683,4.42857142857143,-0.15083940111091,-0.416521380868896,0.699757850882546,0.365240976692649,53.03,9853,26.0215706560693,56.4825,2025-08-29
"MOKSH",72,13,59,0.180555555555556,-2.0932800957864,-0.0290733346637,0.194835680751174,-0.131600660066007,7.375,-0.556325982062583,-2.07414133980554,0.225108124419029,0.42667747910857,13.58,38343,43.3745189279237,13.6775,2025-08-29
"MOTOGENFIN",100,32,68,0.32,-1.13494609774436,-0.0113494609774436,0.20971242539338,-0.106935533150015,4.23,-0.231627579082294,-1.35847303195276,0.540751039263534,0.500075103926353,25.9,20117,44.4846267494425,26.4585,2025-08-29
"MAHAPEXLTD",88,28,60,0.318181818181818,-0.953525173724089,-0.0108355133377737,0.0924312635156009,-0.15443509797008,5.20454545454546,-0.261649848128873,-1.00991006176625,0.508120417286729,0.496266587183218,101.36,4991,40.7566601732187,104.875,2025-08-29
"HDFCBSE500",193,110,83,0.569948186528497,0.374610543736556,0.0019409872732464,0.128997867803838,-0.096081208687441,4.38341968911917,0.0982238088683655,-0.23354426259055,1.34096531025176,0.60220863973884,36.42,13803,42.9148348649225,36.514,2025-08-29
"MIDQ50ADD",158,95,63,0.60126582278481,0.365070364573812,0.00231057192768236,0.0445990180032733,-0.0613386780241346,4.44936708860759,0.138181187374844,-0.32688040716724,1.43394014153771,0.620127062013604,243.23,2065,36.4252710584861,246.9185,2025-08-29
"JMA",105,32,73,0.304761904761905,-0.961958111576638,-0.00916150582453941,0.2,-0.239845261121857,5.2,-0.173021087025582,-1.15198512679736,0.61405788779313,0.502834360207884,87.69,5665,43.5685899254573,89.772,2025-08-29
"KSHITIJPOL",44,6,38,0.136363636363636,-0.564582125589557,-0.0128314119452172,0.241935483870968,-0.0784929356357928,3.63636363636364,-0.199620091871688,-1.07799521474795,0.546117327015766,0.445520823610667,3.18,157237,49.8075556445923,3.1645,2025-08-29
"NAGREEKEXP",80,36,44,0.45,-0.427328229141646,-0.00534160286427058,0.314565762480055,-0.128428525330752,4.175,-0.0912942889762837,-0.774460858211446,0.766570802497613,0.525321194820584,24.75,19908,39.4038782780741,25.809,2025-08-29
"HINDCON",53,19,34,0.358490566037736,-0.26842792172789,-0.00506467776845075,0.197515527950311,-0.0942145799749238,3.94339622641509,-0.0787803764767892,-0.504500673620354,0.804406857522835,0.422201816427549,31.91,15265,39.3118314122245,33.063,2025-08-29
"HDFCVALUE",160,91,69,0.56875,0.389472321484695,0.00243420200927934,0.0896130346232179,-0.0645578720345075,4.33125,0.148126352978804,-0.17133736335047,1.54289346915538,0.630173796040228,131.27,3694,46.5822645048708,131.0775,2025-08-29
"NIFITETF",151,83,68,0.549668874172185,0.348574689147884,0.00230844164998599,0.0671897989210398,-0.058753951697886,4.44370860927152,0.105021791702216,-0.285114848374646,1.31961837735326,0.581652023731146,362.98,1329,44.0841723133071,362.1295,2025-08-29
"GSEC10YEAR",181,78,103,0.430939226519337,-0.251699223154271,-0.00139060344284128,0.0351778656126482,-0.0661215783860647,4.51933701657459,-0.148858921461458,-0.307486300677377,0.604377793492929,0.415569158882229,29.04,16400,46.1550045378507,29.155,2025-08-29
"ABSLNN50ET",176,99,77,0.5625,0.391750259392458,0.00222585374654806,0.0478129980520631,-0.0507850048061519,4.43181818181818,0.116597151547364,-0.27358409621749,1.33684366000952,0.609969210851918,68.68,6858,37.878822812327,69.734,2025-08-29
"SELECTIPO",46,28,18,0.608695652173913,0.219802152543503,0.00477830766398919,0.0571497468049193,-0.0602069614299154,4.32608695652174,0.215913776838787,-0.0901216869940976,1.74989109509647,0.564101149607804,48.28,9676,42.133698766738,48.8705,2025-08-29
"UNITEDTEA",154,72,82,0.467532467532468,0.129201484266667,0.000838970677056281,0.19484882418813,-0.108146785239701,4.29220779220779,0.0182498179827572,-0.674873628694656,1.05008850868331,0.411694315059681,478,976,51.2004581922114,477.6075,2025-08-29
"QUALITY30",14,9,5,0.642857142857143,0.0296596253438782,0.00211854466741987,0.0226044226044225,-0.0186602870813396,4.28571428571429,0.186347001209308,-0.0354388105712724,1.64088146642805,0.476321655650013,20.51,22041,44.6846485309552,20.415,2025-08-29
"SHIVATEX",119,43,76,0.361344537815126,-1.08806775109421,-0.00914342647978328,0.209618668184405,-0.130688361380438,4.18487394957983,-0.14183423242493,-1.67446445757205,0.689449341561425,0.52734829550068,179.43,2490,41.2533370530924,181.7355,2025-08-29
"CELEBRITY",110,38,72,0.345454545454545,-1.25200746960359,-0.0113818860873054,0.179637214745465,-0.111015490533563,3.98181818181818,-0.222470722146236,-1.29298451239894,0.568157816495292,0.510452145285893,12.46,35482,45.0156503091134,12.679,2025-08-29
"NBIFIN",109,46,63,0.422018348623853,0.201233966767064,0.00184618318134921,0.208107652680484,-0.354361435150713,7.46788990825688,0.0230168004175963,-1.29323621891895,1.08400178736407,0.437924346748854,2435.4,178,37.0401371354332,2535.56,2025-08-29
"SMLT",96,32,64,0.333333333333333,-0.724640809764252,-0.00754834176837764,0.211544413494274,-0.0999655686904624,4.04166666666667,-0.125083475641418,-1.79217549730734,0.712971887236433,0.521297188723643,104.21,4117,33.566665976086,109.3475,2025-08-29
"RAJTV",19,7,12,0.368421052631579,-0.298854520116851,-0.015729185269308,0.072280178837556,-0.0681125439624854,4.47368421052632,-0.364861410606437,-0.498287120834315,0.435874364104761,0.403541012258375,41.58,10099,29.2858800511892,43.8045,2025-08-29
"HITECHCORP",136,55,81,0.404411764705882,-0.67326520138508,-0.00495047942194911,0.187555241293972,-0.108532272325376,4.18382352941176,-0.105689889869759,-1.02246473208014,0.751904076359634,0.546513937047728,198.35,2088,50.575696004336,194.0665,2025-08-29
"SHRENIK",54,13,41,0.240740740740741,-1.32833984729398,-0.0245988860609996,0.198275862068966,-0.413533834586466,12.6296296296296,-0.240082088474911,-1.32833984729398,0.440427722797581,0.46626499450198,0.53,780950,33.7544957753529,0.554000000000001,2025-08-29
"PODDARMENT",120,40,80,0.333333333333333,-1.00815857359187,-0.00840132144659893,0.172387966545999,-0.0806490384615385,4.31666666666667,-0.197806680475428,-1.26649479054116,0.573407389961369,0.507340738996137,264.7,1549,29.4557426439154,284.2625,2025-08-29
"INDIANCARD",119,52,67,0.436974789915966,0.837013950401614,0.00703373067564381,0.183368954325972,-0.10329452563785,4.28571428571429,0.135997725539085,-0.413582859838926,1.49046086838289,0.643738296366987,261.25,1556,34.700193283515,278.0675,2025-08-29
"RELCHEMQ",112,37,75,0.330357142857143,-0.945789923631103,-0.00844455288956341,0.0724172856178258,-0.119659892160929,4.24107142857143,-0.255677931245257,-1.17667251938521,0.502656474453078,0.499372790302451,161.72,2537,36.2454038499705,168.684,2025-08-29
"ALKALI",110,39,71,0.354545454545455,-0.165147621262173,-0.0015013420114743,0.263600280177446,-0.100637222588442,4.27272727272727,-0.0217211108517826,-1.12688608714434,0.940050595294224,0.382942506524145,84.81,4762,30.8233503239017,88.2715,2025-08-29
"SUTLEJTEX",98,43,55,0.438775510204082,-0.378780421397249,-0.00386510634078826,0.134897855816309,-0.111093895258754,4.16326530612245,-0.0770769479712365,-0.934387438612254,0.822520783485613,0.50327494210841,37.85,10530,42.1497211937919,38.608,2025-08-29
"GVPTECH",94,39,55,0.414893617021277,0.139425452288233,0.001483249492428,0.23677130044843,-0.145283018867925,4.87234042553191,0.0211497093680343,-1.05350529090761,1.05916088349174,0.402211870536477,9.99,39545,47.796257692957,10.076,2025-08-29
"LOVABLE",103,43,60,0.41747572815534,-0.333895249428831,-0.00324170145076535,0.154613309916578,-0.089542036910458,4.27184466019417,-0.0705275204539338,-0.794878522897832,0.835519161861539,0.475742259347172,90.88,4288,39.4392907323713,92.3009999999999,2025-08-29
"BAIDFIN",90,28,62,0.311111111111111,-1.65818108347355,-0.0184242342608172,0.175090252707581,-0.107106076210093,3.91111111111111,-0.364422247664393,-1.75145268761716,0.392010725384534,0.482534405871787,11.09,34631,38.3014106767249,11.654,2025-08-29
"ASHOKAMET",83,30,53,0.36144578313253,-0.855120615339503,-0.0103026580161386,0.199925121677274,-0.0965092402464066,4.14457831325301,-0.212410943369216,-0.894291584465007,0.543597990045386,0.512793533944298,16.42,23309,39.8269975357993,17.2405,2025-08-29
"ANMOL",82,30,52,0.365853658536585,-0.9932402828748,-0.012112686376522,0.212523719165085,-0.0964467005076143,4.18292682926829,-0.262962229484864,-1.01497206782782,0.48383173015024,0.508139270576,16.08,23707,48.9291633468309,15.782,2025-08-29
"EQUAL50ADD",156,84,72,0.538461538461538,0.332793128182647,0.0021332892832221,0.0413419179939003,-0.0387451075578749,4.48717948717949,0.159989591209662,-0.225218702783634,1.49751618536968,0.59368560328772,322.63,1186,45.8276821577684,323.3185,2025-08-29
"UTISXN50",180,104,76,0.577777777777778,0.353814602168757,0.00196563667871532,0.0388142193191811,-0.057727217717536,4.37777777777778,0.112650466560734,-0.273553597626962,1.33645505316521,0.595151186390306,87.62,4317,39.5699078040471,88.6395,2025-08-29
"NDGL",79,36,43,0.455696202531646,0.465311104296097,0.00589001397843161,0.28702570379437,-0.412841342859939,11.4556962025316,0.0521845695642388,-1.49258571380294,1.19203258620627,0.593786128484593,3976.8,95,42.7677036578835,4072.2,2025-08-29
"SBINEQWETF",91,44,47,0.483516483516484,0.118160822613256,0.00129847057816765,0.0389836407935956,-0.0405869497346238,4.28571428571429,0.0887669982245568,-0.155348707609088,1.24980682114486,0.437992738298515,31.43,11969,46.1958709223745,31.446,2025-08-29
"IVP",73,28,45,0.383561643835616,-0.293682323967437,-0.0040230455338005,0.216718587746625,-0.0981482613212736,5.32876712328767,-0.0610541246328487,-1.28426574331058,0.839637894288063,0.44587344456321,165.4,2230,35.0102347619767,172.0575,2025-08-29
"LAXMICOT",112,29,83,0.258928571428571,-1.51988705566904,-0.0135704201399021,0.198026315789474,-0.0964320154291225,3.94642857142857,-0.256388092457618,-1.46753103472663,0.50269217748431,0.477947789177002,24.6,14838,33.4838824741725,25.677,2025-08-29
"RETAIL",55,16,39,0.290909090909091,-1.7350049695243,-0.0315455449004417,0.0660768592756428,-0.248475062791532,7,-0.518129301653272,-1.66870335030983,0.188060947681773,0.456078822040905,36.1,9832,40.9759888881375,39.2215,2025-08-29
"MOMGF",21,11,10,0.523809523809524,0.00894990338940691,0.000426185875686043,0.0238112111118984,-0.0198074277854195,4.52380952380952,0.033291186442491,-0.0454431673785762,1.08347944450401,0.373294871932211,142.52,2542,47.8013072919929,142.4445,2025-08-29
"VINNY",30,7,23,0.233333333333333,-2.16734706194354,-0.0722449020647846,0.209349593495935,-0.769747899159664,26.9333333333333,-0.362645855304189,-2.21280160739808,0.171444391183657,0.437144439118366,1.28,277841,29.922612981137,1.7465,2025-08-29
"RVTH",7,3,4,0.428571428571429,-0.295086928844557,-0.0421552755492224,0.0173331941108906,-0.11583459404942,68.1428571428571,-0.693665009152138,-0.31332123541483,0.140256525744125,0.360140545568119,830.6,430,23.6218061864407,915.3375,2025-08-29
"SURYALAXMI",145,62,83,0.427586206896552,-0.259818364402754,-0.00179185078898451,0.230466489176988,-0.109339180703678,4.11724137931034,-0.0331267429121234,-0.688017583833392,0.915154041936116,0.449700448463954,64.64,5521,38.7605471911993,66.9985,2025-08-29
