SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Logistics & Shipping,49.88,6,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1732.8,-0.89,4.32,25.47,56,80.2,14.86,18,8,NA,STRONG_BULLISH,HOLD
Logistics & Shipping,49.88,6,STCINDIA,STCINDIA,MICRO_CAP,122.61,2.05,3.56,13.6,54.7,60.6,4.56,9,16,NA,BULLISH,HOLD
Logistics & Shipping,49.88,6,TCIEXP,TCIEXP,MICRO_CAP,573.6,7.1,10.59,11.9,50.7,58.6,1.45,12,12,NA,STRONG_BEARISH,HOLD
Logistics & Shipping,49.88,6,CONCOR,CONCOR,MID_CAP,526.7,0.48,2.35,16.12,46,66.7,4.5,9,13,NA,BULLISH,WEAK_HOLD
Logistics & Shipping,49.88,6,VRLLOG,VRLLOG,MICRO_CAP,267.9,5.39,4.9,13.66,42,56.8,-6.23,11,16,NA,STRONG_BEARISH,WEAK_HOLD
Agriculture & Fertilizers,49.74,8,SUNFLAG,SUNFLAG,SMALL_CAP,412.3,3.95,40.68,77.36,58,89.2,67.05,23,4,NA,STRONG_BULLISH,HOLD
Agriculture & Fertilizers,49.74,8,NAVINFLUOR,NAVINFLUOR,LARGE_CAP,7085,0.6,4.83,21.7,52.7,82.2,11.27,18,8,NA,STRONG_BULLISH,HOLD
Agriculture & Fertilizers,49.74,8,GNFC,GNFC,MICRO_CAP,501.15,0.56,5.53,23.34,52,67.8,9.02,12,6,NA,BULLISH,HOLD
Agriculture & Fertilizers,49.74,8,GSFC,GSFC,MICRO_CAP,177.71,-0.12,2.98,15.63,44.7,62.2,2.61,9,8,NA,BULLISH,WEAK_HOLD
Agriculture & Fertilizers,49.74,8,RCF,RCF,MICRO_CAP,131.75,-0.25,0.65,12.02,41.3,57,0.31,5,10,NA,BULLISH,WEAK_HOLD
Realty,42.94,8,BRIGADE,BRIGADE,MID_CAP,773.15,-4.43,-3.05,11.81,46,60.7,4.82,8,8,NA,BULLISH,WEAK_HOLD
Realty,42.94,8,OBEROIRLTY,OBEROIRLTY,SMALL_CAP,1675,0.1,-1.49,7.35,44.7,43,11.82,12,8,NA,STRONG_BEARISH,WEAK_HOLD
Realty,42.94,8,DLF,DLF,MID_CAP,618.85,1.52,4.1,15.87,44,61.1,0.09,7,15,NA,BULLISH,WEAK_HOLD
Realty,42.94,8,GODREJPROP,GODREJPROP,LARGE_CAP,1878.6,0.61,0.88,17.05,41.3,63.2,3.34,9,11,NA,BULLISH,WEAK_HOLD
Realty,42.94,8,PRESTIGE,PRESTIGE,MID_CAP,1483.5,1.94,3.47,21.39,38.7,74.4,-0.21,8,8,NA,BULLISH,WEAK_HOLD
