INDEX_NAME,INDEX_STRENGTH,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
NIFTY SMLCAP 100,49.2,2026-05-11,BIOCON,Biocon Limited,NA,SMALL_CAP,390.45,2.64,8.28,12.94,57.3,74.1,NA,BULLISH,HOLD,13,18,NA,58.99,NA,NA,NA,NA,NA,18,55.1,Improving
NIFTY SMLCAP 100,49.2,2026-05-11,MARICO,Marico Limited,NA,MID_CAP,842.55,1.35,7.39,12.74,53.3,88.1,NA,STRONG_BULLISH,HOLD,12,15,NA,55.39,NA,NA,NA,NA,NA,35,55.1,Improving
NIFTY SMLCAP 100,49.2,2026-05-11,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1486.6,-0.05,8.04,10.91,48.7,72.2,NA,STRONG_BULLISH,WEAK_HOLD,15,6,NA,67.41,NA,NA,NA,NA,NA,83,55.1,Improving
NIFTY SMLCAP 100,49.2,2026-05-11,ADANIENSOL,ADANIENSOL,NA,LARGE_CAP,1340.4,-0.98,-4.15,24.25,44,59.6,NA,STRONG_BULLISH,WEAK_HOLD,16,6,NA,10,NA,NA,NA,NA,NA,176,55.1,Improving
NIFTY SMLCAP 100,49.2,2026-05-11,CIPLA,CIPLA,NA,LARGE_CAP,1304.9,-3.13,-2.25,6.57,42.7,64.7,NA,BULLISH,WEAK_HOLD,6,12,NA,51.15,NA,NA,NA,NA,NA,208,55.1,Improving
NIFTY SMLCAP 50,49.2,2026-05-11,BIOCON,Biocon Limited,NA,SMALL_CAP,390.45,2.64,8.28,12.94,57.3,74.1,NA,BULLISH,HOLD,13,18,NA,58.99,NA,NA,NA,NA,NA,18,55.5,Improving
NIFTY SMLCAP 50,49.2,2026-05-11,MARICO,Marico Limited,NA,MID_CAP,842.55,1.35,7.39,12.74,53.3,88.1,NA,STRONG_BULLISH,HOLD,12,15,NA,55.39,NA,NA,NA,NA,NA,35,55.5,Improving
NIFTY SMLCAP 50,49.2,2026-05-11,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1486.6,-0.05,8.04,10.91,48.7,72.2,NA,STRONG_BULLISH,WEAK_HOLD,15,6,NA,67.41,NA,NA,NA,NA,NA,83,55.5,Improving
NIFTY SMLCAP 50,49.2,2026-05-11,ADANIENSOL,ADANIENSOL,NA,LARGE_CAP,1340.4,-0.98,-4.15,24.25,44,59.6,NA,STRONG_BULLISH,WEAK_HOLD,16,6,NA,10,NA,NA,NA,NA,NA,176,55.5,Improving
NIFTY SMLCAP 50,49.2,2026-05-11,CIPLA,CIPLA,NA,LARGE_CAP,1304.9,-3.13,-2.25,6.57,42.7,64.7,NA,BULLISH,WEAK_HOLD,6,12,NA,51.15,NA,NA,NA,NA,NA,208,55.5,Improving
NIFTY SMLCAP 250,49.2,2026-05-11,BIOCON,Biocon Limited,NA,SMALL_CAP,390.45,2.64,8.28,12.94,57.3,74.1,NA,BULLISH,HOLD,13,18,NA,58.99,NA,NA,NA,NA,NA,18,54.4,Improving
NIFTY SMLCAP 250,49.2,2026-05-11,MARICO,Marico Limited,NA,MID_CAP,842.55,1.35,7.39,12.74,53.3,88.1,NA,STRONG_BULLISH,HOLD,12,15,NA,55.39,NA,NA,NA,NA,NA,35,54.4,Improving
NIFTY SMLCAP 250,49.2,2026-05-11,AUROPHARMA,Aurobindo Pharma Limited,NA,LARGE_CAP,1486.6,-0.05,8.04,10.91,48.7,72.2,NA,STRONG_BULLISH,WEAK_HOLD,15,6,NA,67.41,NA,NA,NA,NA,NA,83,54.4,Improving
NIFTY SMLCAP 250,49.2,2026-05-11,ADANIENSOL,ADANIENSOL,NA,LARGE_CAP,1340.4,-0.98,-4.15,24.25,44,59.6,NA,STRONG_BULLISH,WEAK_HOLD,16,6,NA,10,NA,NA,NA,NA,NA,176,54.4,Improving
NIFTY SMLCAP 250,49.2,2026-05-11,CIPLA,CIPLA,NA,LARGE_CAP,1304.9,-3.13,-2.25,6.57,42.7,64.7,NA,BULLISH,WEAK_HOLD,6,12,NA,51.15,NA,NA,NA,NA,NA,208,54.4,Improving
Nifty Metal,48.92,2026-05-11,COALINDIA,COALINDIA,NA,SMALL_CAP,464.45,1.76,-3.23,2.28,53.3,64.2,NA,STRONG_BULLISH,HOLD,9,12,NA,71.16,NA,NA,NA,NA,NA,35,57.2,Improving
Nifty Metal,48.92,2026-05-11,SAIL,Steel Authority of India Limited,NA,MICRO_CAP,180.72,-2.25,-2.92,10.63,52.7,65,NA,STRONG_BULLISH,HOLD,12,8,NA,50.86,NA,NA,NA,NA,NA,40,57.2,Improving
Nifty Metal,48.92,2026-05-11,WELCORP,Welspun Corp Limited,NA,LARGE_CAP,1329.3,2.89,7.3,39.98,49.3,89,NA,STRONG_BULLISH,WEAK_HOLD,15,14,NA,49.35,NA,NA,NA,NA,NA,76,57.2,Improving
Nifty Metal,48.92,2026-05-11,HINDALCO,Hindalco Industries Limited,NA,LARGE_CAP,1023.5,-2,-1.84,3.84,46,52.5,NA,STRONG_BULLISH,WEAK_HOLD,9,8,NA,52.87,NA,NA,NA,NA,NA,131,57.2,Improving
Nifty Metal,48.92,2026-05-11,TATASTEEL,Tata Steel Limited,NA,SMALL_CAP,212.08,-1.12,-0.08,3.35,43.3,50.7,NA,STRONG_BULLISH,WEAK_HOLD,6,10,NA,51.39,NA,NA,NA,NA,NA,185,57.2,Improving
Nifty Infrastructure,48.54,2026-05-11,SIEMENS,SIEMENS,NA,LARGE_CAP,3605.6,-5.68,-5.96,11.89,54.7,42.7,NA,STRONG_BULLISH,HOLD,12,8,NA,51.32,NA,NA,NA,NA,NA,26,63.8,Leadership
Nifty Infrastructure,48.54,2026-05-11,NTPC,NTPC Limited,NA,SMALL_CAP,392.95,-2.29,-1.77,3.78,50,45.5,NA,STRONG_BULLISH,HOLD,6,12,NA,52.87,NA,NA,NA,NA,NA,64,63.8,Leadership
Nifty Infrastructure,48.54,2026-05-11,ABB,ABB,NA,LARGE_CAP,6387.5,-8.91,-11.73,-3.42,48,31.1,NA,STRONG_BULLISH,WEAK_HOLD,7,4,NA,61.29,NA,NA,NA,NA,NA,96,63.8,Leadership
Nifty Infrastructure,48.54,2026-05-11,CONCOR,CONCOR,NA,MID_CAP,530,-0.89,2.64,9.9,45.3,67.4,NA,BULLISH,WEAK_HOLD,7,8,NA,54,NA,NA,NA,NA,NA,143,63.8,Leadership
Nifty Infrastructure,48.54,2026-05-11,POWERGRID,Power Grid Corporation of India Limited,NA,SMALL_CAP,310.9,-0.97,-2.55,4.29,44.7,31.5,NA,STRONG_BULLISH,WEAK_HOLD,6,12,NA,54.35,NA,NA,NA,NA,NA,159,63.8,Leadership
Nifty Next 50,47.6,2026-05-11,MARICO,Marico Limited,NA,MID_CAP,842.55,1.35,7.39,12.74,53.3,88.1,NA,STRONG_BULLISH,HOLD,12,15,NA,55.39,NA,NA,NA,NA,NA,35,48.8,Lagging
Nifty Next 50,47.6,2026-05-11,NTPC,NTPC Limited,NA,SMALL_CAP,392.95,-2.29,-1.77,3.78,50,45.5,NA,STRONG_BULLISH,HOLD,6,12,NA,52.87,NA,NA,NA,NA,NA,64,48.8,Lagging
Nifty Next 50,47.6,2026-05-11,TATACONSUM,Tata Consumer Products Limited,NA,LARGE_CAP,1271,8.06,9.53,17.9,47.3,76.1,NA,STRONG_BULLISH,WEAK_HOLD,14,14,NA,NA,NA,NA,NA,NA,NA,102,48.8,Lagging
Nifty Next 50,47.6,2026-05-11,POWERGRID,Power Grid Corporation of India Limited,NA,SMALL_CAP,310.9,-0.97,-2.55,4.29,44.7,31.5,NA,STRONG_BULLISH,WEAK_HOLD,6,12,NA,54.35,NA,NA,NA,NA,NA,159,48.8,Lagging
Nifty Next 50,47.6,2026-05-11,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1387.7,2.35,7.52,32.85,42.7,87.1,NA,STRONG_BULLISH,WEAK_HOLD,15,14,NA,10,NA,NA,NA,NA,NA,208,48.8,Lagging
Nifty 500,46.12,2026-05-11,ASIANPAINT,ASIANPAINT,NA,LARGE_CAP,2566.1,-1.3,4.82,13.06,51.3,56.3,NA,STRONG_BULLISH,HOLD,8,8,NA,62.21,NA,NA,NA,NA,NA,50,46.4,Lagging
Nifty 500,46.12,2026-05-11,TITAN,TITAN,NA,LARGE_CAP,4205.6,-6.73,-3.61,-5.28,46.7,31.8,NA,STRONG_BULLISH,WEAK_HOLD,6,6,NA,62.9,NA,NA,NA,NA,NA,116,46.4,Lagging
Nifty 500,46.12,2026-05-11,HINDALCO,Hindalco Industries Limited,NA,LARGE_CAP,1023.5,-2,-1.84,3.84,46,52.5,NA,STRONG_BULLISH,WEAK_HOLD,9,8,NA,52.87,NA,NA,NA,NA,NA,131,46.4,Lagging
Nifty 500,46.12,2026-05-11,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1872.7,1.34,2.7,9.06,43.3,77.8,NA,STRONG_BULLISH,WEAK_HOLD,11,10,NA,54.04,NA,NA,NA,NA,NA,185,46.4,Lagging
Nifty 500,46.12,2026-05-11,TATASTEEL,Tata Steel Limited,NA,SMALL_CAP,212.08,-1.12,-0.08,3.35,43.3,50.7,NA,STRONG_BULLISH,WEAK_HOLD,6,10,NA,51.39,NA,NA,NA,NA,NA,185,46.4,Lagging
Nifty Energy,45.6,2026-05-11,NTPC,NTPC Limited,NA,SMALL_CAP,392.95,-2.29,-1.77,3.78,50,45.5,NA,STRONG_BULLISH,HOLD,6,12,NA,52.87,NA,NA,NA,NA,NA,64,51.4,Improving
Nifty Energy,45.6,2026-05-11,TORNTPOWER,TORNTPOWER,NA,LARGE_CAP,1680.9,-2.52,-2.5,16.24,47.3,58.4,NA,STRONG_BULLISH,WEAK_HOLD,11,6,NA,66.97,NA,NA,NA,NA,NA,102,51.4,Improving
Nifty Energy,45.6,2026-05-11,POWERGRID,Power Grid Corporation of India Limited,NA,SMALL_CAP,310.9,-0.97,-2.55,4.29,44.7,31.5,NA,STRONG_BULLISH,WEAK_HOLD,6,12,NA,54.35,NA,NA,NA,NA,NA,159,51.4,Improving
Nifty Energy,45.6,2026-05-11,TATAPOWER,Tata Power Company Limited,NA,SMALL_CAP,433.2,-0.64,-1.86,9.75,43.3,49.7,NA,STRONG_BULLISH,WEAK_HOLD,11,10,NA,56.55,NA,NA,NA,NA,NA,185,51.4,Improving
Nifty Energy,45.6,2026-05-11,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1387.7,2.35,7.52,32.85,42.7,87.1,NA,STRONG_BULLISH,WEAK_HOLD,15,14,NA,10,NA,NA,NA,NA,NA,208,51.4,Improving
Nifty 200,44.14,2026-05-11,ASIANPAINT,ASIANPAINT,NA,LARGE_CAP,2566.1,-1.3,4.82,13.06,51.3,56.3,NA,STRONG_BULLISH,HOLD,8,8,NA,62.21,NA,NA,NA,NA,NA,50,44.8,Lagging
Nifty 200,44.14,2026-05-11,TITAN,TITAN,NA,LARGE_CAP,4205.6,-6.73,-3.61,-5.28,46.7,31.8,NA,STRONG_BULLISH,WEAK_HOLD,6,6,NA,62.9,NA,NA,NA,NA,NA,116,44.8,Lagging
Nifty 200,44.14,2026-05-11,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1872.7,1.34,2.7,9.06,43.3,77.8,NA,STRONG_BULLISH,WEAK_HOLD,11,10,NA,54.04,NA,NA,NA,NA,NA,185,44.8,Lagging
Nifty 200,44.14,2026-05-11,ADANIGREEN,Adani Green Energy Limited,NA,LARGE_CAP,1387.7,2.35,7.52,32.85,42.7,87.1,NA,STRONG_BULLISH,WEAK_HOLD,15,14,NA,10,NA,NA,NA,NA,NA,208,44.8,Lagging
Nifty 200,44.14,2026-05-11,ADANIPORTS,Adani Ports and Special Economic Zone Limited,NA,LARGE_CAP,1767.3,0.39,1.42,22.1,36.7,80.5,NA,STRONG_BULLISH,WEAK_HOLD,14,8,NA,10,NA,NA,NA,NA,NA,358,44.8,Lagging
Nifty FMCG,43.34,2026-05-11,MARICO,Marico Limited,NA,MID_CAP,842.55,1.35,7.39,12.74,53.3,88.1,NA,STRONG_BULLISH,HOLD,12,15,NA,55.39,NA,NA,NA,NA,NA,35,47.1,Lagging
Nifty FMCG,43.34,2026-05-11,COLPAL,Colgate-Palmolive (India) Limited,NA,LARGE_CAP,2139,-2.66,-1.56,12.18,48.7,51.3,NA,BULLISH,WEAK_HOLD,9,10,NA,53.47,NA,NA,NA,NA,NA,83,47.1,Lagging
Nifty FMCG,43.34,2026-05-11,TATACONSUM,Tata Consumer Products Limited,NA,LARGE_CAP,1271,8.06,9.53,17.9,47.3,76.1,NA,STRONG_BULLISH,WEAK_HOLD,14,14,NA,NA,NA,NA,NA,NA,NA,102,47.1,Lagging
Nifty FMCG,43.34,2026-05-11,RADICO,RADICO,NA,LARGE_CAP,3489.7,0.36,2.97,28.43,34.7,60.8,NA,STRONG_BULLISH,SELL,13,8,NA,NA,NA,NA,NA,NA,NA,415,47.1,Lagging
Nifty FMCG,43.34,2026-05-11,HINDUNILVR,HINDUNILVR,NA,LARGE_CAP,2307.2,0.85,-0.09,8.16,32.7,58,NA,BULLISH,SELL,6,13,NA,NA,NA,NA,NA,NA,NA,483,47.1,Lagging
Nifty 100,41.6,2026-05-11,ASIANPAINT,ASIANPAINT,NA,LARGE_CAP,2566.1,-1.3,4.82,13.06,51.3,56.3,NA,STRONG_BULLISH,HOLD,8,8,NA,62.21,NA,NA,NA,NA,NA,50,44.5,Lagging
Nifty 100,41.6,2026-05-11,TITAN,TITAN,NA,LARGE_CAP,4205.6,-6.73,-3.61,-5.28,46.7,31.8,NA,STRONG_BULLISH,WEAK_HOLD,6,6,NA,62.9,NA,NA,NA,NA,NA,116,44.5,Lagging
Nifty 100,41.6,2026-05-11,SUNPHARMA,SUNPHARMA,NA,LARGE_CAP,1872.7,1.34,2.7,9.06,43.3,77.8,NA,STRONG_BULLISH,WEAK_HOLD,11,10,NA,54.04,NA,NA,NA,NA,NA,185,44.5,Lagging
Nifty 100,41.6,2026-05-11,AXISBANK,Axis Bank Limited,NA,LARGE_CAP,1272.3,0.32,-0.22,-3.5,34,32.7,NA,BULLISH,SELL,2,13,NA,52.47,NA,NA,NA,NA,NA,437,44.5,Lagging
Nifty 100,41.6,2026-05-11,HINDUNILVR,HINDUNILVR,NA,LARGE_CAP,2307.2,0.85,-0.09,8.16,32.7,58,NA,BULLISH,SELL,6,13,NA,NA,NA,NA,NA,NA,NA,483,44.5,Lagging
Nifty Private Bank,40.66,2026-05-11,FEDERALBNK,Federal Bank Limited,NA,SMALL_CAP,292.45,-1.61,1.14,3.23,48,47.1,NA,STRONG_BULLISH,WEAK_HOLD,7,8,NA,55.83,NA,NA,NA,NA,NA,96,46.7,Lagging
Nifty Private Bank,40.66,2026-05-11,BANDHANBNK,BANDHANBNK,NA,SMALL_CAP,201.23,-2.37,-2.67,21.27,45.3,74.1,NA,STRONG_BULLISH,WEAK_HOLD,13,6,NA,65.58,NA,NA,NA,NA,NA,143,46.7,Lagging
Nifty Private Bank,40.66,2026-05-11,RBLBANK,RBL Bank Limited,NA,SMALL_CAP,337.5,-1.73,2.21,6.23,43.3,60.9,NA,STRONG_BULLISH,WEAK_HOLD,7,8,NA,50.62,NA,NA,NA,NA,NA,185,46.7,Lagging
Nifty Private Bank,40.66,2026-05-11,AXISBANK,Axis Bank Limited,NA,LARGE_CAP,1272.3,0.32,-0.22,-3.5,34,32.7,NA,BULLISH,SELL,2,13,NA,52.47,NA,NA,NA,NA,NA,437,46.7,Lagging
Nifty Private Bank,40.66,2026-05-11,INDUSINDBK,INDUSINDBK,NA,MID_CAP,922.3,-2.99,0.92,13.23,32.7,66.6,NA,STRONG_BULLISH,SELL,10,8,NA,NA,NA,NA,NA,NA,NA,483,46.7,Lagging
Nifty Auto,39.6,2026-05-11,BHARATFORG,BHARATFORG,NA,LARGE_CAP,1987,-0.14,7.65,14.23,44.7,66.6,NA,STRONG_BULLISH,WEAK_HOLD,11,6,NA,54.83,NA,NA,NA,NA,NA,159,42.8,Lagging
Nifty Auto,39.6,2026-05-11,BAJAJ-AUTO,Bajaj Auto Limited,NA,LARGE_CAP,10595.5,-1.08,4.57,11.33,42,69.5,NA,STRONG_BULLISH,WEAK_HOLD,9,4,NA,52.35,NA,NA,NA,NA,NA,230,42.8,Lagging
Nifty Auto,39.6,2026-05-11,MOTHERSON,MOTHERSON,NA,MICRO_CAP,130.3,-1.31,8.39,11.46,40,59.3,NA,STRONG_BULLISH,WEAK_HOLD,8,2,NA,51.57,NA,NA,NA,NA,NA,276,42.8,Lagging
Nifty Auto,39.6,2026-05-11,BALKRISIND,BALKRISIND,NA,LARGE_CAP,2181.9,-3.56,-1.05,-1.76,38,38.8,NA,STRONG_BEARISH,WEAK_HOLD,5,12,NA,51.38,NA,NA,NA,NA,NA,326,42.8,Lagging
Nifty Auto,39.6,2026-05-11,ASHOKLEY,Ashok Leyland Limited,NA,MICRO_CAP,161.52,-4.18,0.47,-5.2,33.3,32.6,NA,STRONG_BEARISH,SELL,0,10,NA,71.08,NA,NA,NA,NA,NA,456,42.8,Lagging
Nifty Bank,37.480000000000004,2026-05-11,FEDERALBNK,Federal Bank Limited,NA,SMALL_CAP,292.45,-1.61,1.14,3.23,48,47.1,NA,STRONG_BULLISH,WEAK_HOLD,7,8,NA,55.83,NA,NA,NA,NA,NA,96,38.9,Lagging
Nifty Bank,37.480000000000004,2026-05-11,BANKBARODA,Bank of Baroda,NA,SMALL_CAP,266,0.8,0.34,-3,40,32.7,NA,STRONG_BEARISH,WEAK_HOLD,5,15,NA,53.65,NA,NA,NA,NA,NA,276,38.9,Lagging
Nifty Bank,37.480000000000004,2026-05-11,AXISBANK,Axis Bank Limited,NA,LARGE_CAP,1272.3,0.32,-0.22,-3.5,34,32.7,NA,BULLISH,SELL,2,13,NA,52.47,NA,NA,NA,NA,NA,437,38.9,Lagging
Nifty Bank,37.480000000000004,2026-05-11,INDUSINDBK,INDUSINDBK,NA,MID_CAP,922.3,-2.99,0.92,13.23,32.7,66.6,NA,STRONG_BULLISH,SELL,10,8,NA,NA,NA,NA,NA,NA,NA,483,38.9,Lagging
Nifty Bank,37.480000000000004,2026-05-11,CANBK,Canara Bank,NA,MICRO_CAP,129.43,-3.65,-3.98,-6.15,32.7,24.5,NA,STRONG_BEARISH,SELL,5,8,NA,54.62,NA,NA,NA,NA,NA,483,38.9,Lagging
Nifty Consumer Durables,33.36,2026-05-11,TITAN,TITAN,NA,LARGE_CAP,4205.6,-6.73,-3.61,-5.28,46.7,31.8,NA,STRONG_BULLISH,WEAK_HOLD,6,6,NA,62.9,NA,NA,NA,NA,NA,116,54.2,Improving
Nifty Consumer Durables,33.36,2026-05-11,CROMPTON,CROMPTON,NA,SMALL_CAP,290.2,-1.06,4.41,21.98,42.7,69.4,NA,STRONG_BULLISH,WEAK_HOLD,9,8,NA,57.18,NA,NA,NA,NA,NA,208,54.2,Improving
Nifty Consumer Durables,33.36,2026-05-11,BLUESTARCO,BLUESTARCO,NA,LARGE_CAP,1661.1,-1.87,-7.83,0.33,26.7,27.8,NA,STRONG_BEARISH,SELL,0,4,NA,72.84,NA,NA,NA,NA,NA,666,54.2,Improving
Nifty Consumer Durables,33.36,2026-05-11,ORIENTELEC,ORIENTELEC,NA,MICRO_CAP,187.11,-0.65,1.23,17.16,26.7,56.3,NA,BULLISH,SELL,7,8,NA,NA,NA,NA,NA,NA,NA,666,54.2,Improving
Nifty Consumer Durables,33.36,2026-05-11,WHIRLPOOL,WHIRLPOOL,NA,MID_CAP,910,-4.79,-8.53,10.45,24,46.2,NA,BULLISH,SELL,6,8,NA,NA,NA,NA,NA,NA,NA,764,54.2,Improving
Nifty Realty,29.86,2026-05-11,BRIGADE,BRIGADE,NA,MID_CAP,749.65,-1.13,-5.29,6.93,36,41.2,NA,BULLISH,WEAK_HOLD,4,6,NA,56.82,NA,NA,NA,NA,NA,379,54.2,Improving
Nifty Realty,29.86,2026-05-11,PRESTIGE,PRESTIGE,NA,LARGE_CAP,1455.5,-3.44,0.08,10.32,34,62.1,NA,BULLISH,SELL,8,8,NA,NA,NA,NA,NA,NA,NA,437,54.2,Improving
Nifty Realty,29.86,2026-05-11,OBEROIRLTY,OBEROIRLTY,NA,LARGE_CAP,1634.7,-4.01,-3.48,-1.14,30,40.9,NA,STRONG_BEARISH,SELL,5,6,NA,NA,NA,NA,NA,NA,NA,557,54.2,Improving
Nifty Realty,29.86,2026-05-11,SUNTECK,SUNTECK,NA,SMALL_CAP,323.65,-6.19,-4.53,2.97,25.3,48.7,NA,BULLISH,SELL,1,6,NA,NA,NA,NA,NA,NA,NA,708,54.2,Improving
Nifty Realty,29.86,2026-05-11,LODHA,LODHA,NA,MID_CAP,931.1,-3.22,0.81,17.93,24,62.6,NA,BULLISH,SELL,8,6,NA,NA,NA,NA,NA,NA,NA,764,54.2,Improving
Nifty Oil & Gas,29.08,2026-05-11,ONGC,Oil and Natural Gas Corporation Limited,NA,SMALL_CAP,281,0.64,-4.06,-2.63,42,47.7,NA,STRONG_BULLISH,WEAK_HOLD,5,6,NA,64.8,NA,NA,NA,NA,NA,230,40.9,Lagging
Nifty Oil & Gas,29.08,2026-05-11,BPCL,Bharat Petroleum Corporation Limited,NA,SMALL_CAP,294.45,-2.74,-2.4,-0.98,30,34.2,NA,STRONG_BEARISH,SELL,0,10,NA,62.6,NA,NA,NA,NA,NA,557,40.9,Lagging
Nifty Oil & Gas,29.08,2026-05-11,GAIL,GAIL,NA,MICRO_CAP,162.51,-2.39,-1.2,6.76,26.7,60.4,NA,BULLISH,SELL,6,10,NA,NA,NA,NA,NA,NA,NA,666,40.9,Lagging
Nifty Oil & Gas,29.08,2026-05-11,RELIANCE,Reliance Industries Limited,NA,LARGE_CAP,1388.2,-3.27,-5.12,4.38,24.7,54.7,NA,BULLISH,SELL,4,12,NA,NA,NA,NA,NA,NA,NA,741,40.9,Lagging
Nifty Oil & Gas,29.08,2026-05-11,OIL,OIL,NA,SMALL_CAP,456,0.4,-4.02,-3.13,22,41.7,NA,STRONG_BULLISH,SELL,1,9,NA,NA,NA,NA,NA,NA,NA,827,40.9,Lagging
Nifty PSU Bank,26.28,2026-05-11,BANKBARODA,Bank of Baroda,NA,SMALL_CAP,266,0.8,0.34,-3,40,32.7,NA,STRONG_BEARISH,WEAK_HOLD,5,15,NA,53.65,NA,NA,NA,NA,NA,276,31.6,Lagging
Nifty PSU Bank,26.28,2026-05-11,CANBK,Canara Bank,NA,MICRO_CAP,129.43,-3.65,-3.98,-6.15,32.7,24.5,NA,STRONG_BEARISH,SELL,5,8,NA,54.62,NA,NA,NA,NA,NA,483,31.6,Lagging
