SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
CCL,CCL,SMALL_CAP,1207.8,2.5,7.35,5.38,44.7,78.5,,14,11,,STRONG_BULLISH,WEAK_HOLD
NYKAA,NYKAA,SMALL_CAP,269.85,-0.92,0.75,8.84,44.7,58.4,,11,10,,STRONG_BULLISH,WEAK_HOLD
NRBBEARING,NRBBEARING,MICRO_CAP,300.15,2.49,5.18,26.35,44.7,66.1,,10,14,,BULLISH,WEAK_HOLD
BALAJITELE,BALAJITELE,MICRO_CAP,122.94,12.19,24.93,44.52,44.7,87.5,,18,10,,STRONG_BULLISH,WEAK_HOLD
APTUS,APTUS,SMALL_CAP,275.05,2.86,3.86,37.69,44.7,74.5,,16,14,,BULLISH,WEAK_HOLD
SHK,SHK,MICRO_CAP,155.63,6.5,6.73,26.04,44.7,67.4,,13,14,,BULLISH,WEAK_HOLD
TIINDIA,TIINDIA,LARGE_CAP,3015.5,3.38,1.7,16.51,44.0,68.2,,14,10,,STRONG_BULLISH,WEAK_HOLD
MOLDTKPAC,MOLDTKPAC,SMALL_CAP,597.15,6.62,5.66,7.61,44.0,65.1,,12,14,,BULLISH,WEAK_HOLD
QPOWER,QPOWER,LARGE_CAP,1279.2,6.72,-8.13,49.27,44.0,61.9,,16,9,,STRONG_BULLISH,WEAK_HOLD
JAINREC,JAINREC,MID_CAP,504.2,9.08,9.53,13.76,44.0,83.0,,15,14,,STRONG_BULLISH,WEAK_HOLD
APCOTEXIND,APCOTEXIND,SMALL_CAP,511.35,19.99,27.41,41.04,44.0,92.5,,18,8,,STRONG_BULLISH,WEAK_HOLD
DELHIVERY,DELHIVERY,SMALL_CAP,481.75,2.28,3.31,8.99,44.0,63.3,,10,12,,BULLISH,WEAK_HOLD
GOLDIAM,GOLDIAM,SMALL_CAP,417.35,2.32,7.91,37.24,44.0,63.3,,12,11,,BULLISH,WEAK_HOLD
PAYTM,PAYTM,LARGE_CAP,1197.4,7.82,8.44,16.43,44.0,59.8,,11,12,,BULLISH,WEAK_HOLD
ROSSARI,ROSSARI,MID_CAP,539.3,9.97,15.48,21.45,44.0,67.1,,14,12,,BULLISH,WEAK_HOLD
HAL,HAL,LARGE_CAP,4782.1,3.35,9.89,25.97,44.0,76.1,,14,12,,BULLISH,WEAK_HOLD
PPLPHARMA,PPLPHARMA,MICRO_CAP,183.73,11.22,14.72,30.27,44.0,81.5,,16,14,,BULLISH,WEAK_HOLD
JSWSTEEL,JSW Steel Limited,LARGE_CAP,1283.4,0.79,0.29,11.42,44.0,68.9,,8,13,,STRONG_BULLISH,WEAK_HOLD
INTENTECH,INTENTECH,MICRO_CAP,104.92,5.59,6.84,7.02,44.0,40.7,,9,14,,BULLISH,WEAK_HOLD
XPROINDIA,XPROINDIA,MICRO_CAP,1173.8,5.39,14.23,15.08,44.0,62.8,,18,4,,BULLISH,WEAK_HOLD
SIYSIL,SIYSIL,MICRO_CAP,601.15,5.55,4.0,17.45,43.3,70.2,,14,14,,BULLISH,WEAK_HOLD
YATHARTH,YATHARTH,MID_CAP,822.25,0.06,2.4,21.88,43.3,63.3,,16,7,,STRONG_BULLISH,WEAK_HOLD
ELLEN,ELLEN,SMALL_CAP,291.55,5.16,9.09,31.11,43.3,68.5,,11,14,,BULLISH,WEAK_HOLD
WINDMACHIN,WINDMACHIN,MICRO_CAP,316.5,4.7,9.62,29.67,43.3,66.4,,13,14,,BULLISH,WEAK_HOLD
SMSPHARMA,SMSPHARMA,MICRO_CAP,421.5,1.81,2.78,8.06,43.3,48.8,,12,11,,STRONG_BULLISH,WEAK_HOLD
MARATHON,MARATHON,MICRO_CAP,518.85,2.55,8.58,22.99,43.3,66.0,,16,9,,BULLISH,WEAK_HOLD
PROSTARM,PROSTARM,MICRO_CAP,170.05,8.52,8.51,30.02,43.3,73.6,,14,14,,BULLISH,WEAK_HOLD
EIEL,EIEL,SMALL_CAP,219.33,3.76,-0.25,32.9,43.3,52.0,,13,14,,BULLISH,WEAK_HOLD
PTC,PTC,SMALL_CAP,227.38,4.08,11.48,39.71,43.3,83.0,,16,14,,STRONG_BULLISH,WEAK_HOLD
EXIDEIND,EXIDEIND,SMALL_CAP,364.45,3.63,0.28,22.61,43.3,68.9,,14,11,,BULLISH,WEAK_HOLD
NELCO,NELCO,SMALL_CAP,732.3,3.88,2.57,20.53,43.3,63.2,,11,14,,BULLISH,WEAK_HOLD
APTECHT,APTECHT,MICRO_CAP,109.56,5.2,5.17,40.75,43.3,79.5,,14,14,,BULLISH,WEAK_HOLD
OSWALPUMPS,OSWALPUMPS,SMALL_CAP,431.95,2.25,5.84,25.59,43.3,59.2,,14,11,,BULLISH,WEAK_HOLD
UDS,UDS,MICRO_CAP,164.44,3.87,4.27,13.45,43.3,61.2,,11,14,,BULLISH,WEAK_HOLD
REDTAPE,REDTAPE,MICRO_CAP,130.58,2.79,0.31,14.52,43.3,70.2,,7,18,,BULLISH,WEAK_HOLD
JSWENERGY,JSWENERGY,MID_CAP,575.9,1.41,2.77,18.06,43.3,67.4,,13,15,,STRONG_BULLISH,WEAK_HOLD
GOKEX,GOKEX,MID_CAP,727.75,6.34,2.89,17.89,43.3,54.8,,11,14,,BULLISH,WEAK_HOLD
HEALTHIETF,HEALTHIETF,MICRO_CAP,157.97,0.45,3.35,9.9,43.3,82.2,,10,15,,STRONG_BULLISH,WEAK_HOLD
GRWRHITECH,GRWRHITECH,LARGE_CAP,5451.4,8.08,42.96,46.6,43.3,81.3,,20,2,,STRONG_BULLISH,WEAK_HOLD
BDL,BDL,LARGE_CAP,1466.9,4.67,5.22,18.69,43.3,70.8,,14,14,,BULLISH,WEAK_HOLD
PARAGMILK,PARAGMILK,SMALL_CAP,230.52,4.39,1.88,20.17,43.3,51.9,,12,16,,BULLISH,WEAK_HOLD
SALZERELEC,SALZERELEC,MICRO_CAP,700.3,5.63,9.31,30.85,43.3,71.9,,14,14,,BULLISH,WEAK_HOLD
GALLANTT,GALLANTT,MID_CAP,866.5,2.73,-0.02,34.94,43.3,39.9,,15,11,,STRONG_BULLISH,WEAK_HOLD
POCL,POCL,MID_CAP,1436.3,3.39,8.98,30.38,42.7,77.5,,16,10,,STRONG_BULLISH,WEAK_HOLD
PACEDIGITK,PACEDIGITK,MICRO_CAP,185.18,2.85,5.34,29.87,42.7,61.6,,8,16,,BULLISH,WEAK_HOLD
STCINDIA,STCINDIA,MICRO_CAP,122.61,2.05,3.56,13.6,42.7,60.6,,8,16,,BULLISH,WEAK_HOLD
HERANBA,HERANBA,MICRO_CAP,225.2,2.17,0.96,25.42,42.7,67.1,,10,14,,BULLISH,WEAK_HOLD
SJS,SJS,LARGE_CAP,1996.9,2.43,15.23,24.08,42.7,77.1,,16,5,,STRONG_BULLISH,WEAK_HOLD
CARBORUNIV,CARBORUNIV,SMALL_CAP,1003.4,1.58,2.8,17.23,42.7,74.5,,12,13,,STRONG_BULLISH,WEAK_HOLD
KRN,KRN,LARGE_CAP,1329.2,3.0,3.61,47.84,42.7,60.2,,15,9,,STRONG_BULLISH,WEAK_HOLD
ACE,ACE,MID_CAP,905.55,2.03,0.73,8.45,42.7,46.6,,9,18,,STRONG_BEARISH,WEAK_HOLD
TI,TI,SMALL_CAP,469.55,0.75,2.8,12.71,42.7,61.8,,7,15,,STRONG_BULLISH,WEAK_HOLD
FLAIR,FLAIR,MICRO_CAP,333.05,1.46,4.0,12.42,42.7,56.0,,9,13,,STRONG_BULLISH,WEAK_HOLD
INDOCO,INDOCO,SMALL_CAP,250.65,9.61,19.64,29.95,42.0,75.5,,18,8,,BULLISH,WEAK_HOLD
