SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
FMCG & Consumer Goods,58.379999999999995,19,2026-05-15,RADICO,RADICO,NA,LARGE_CAP,3499.2,1.1,0.63,15.24,57.3,73.2,34.81,STRONG_BULLISH,HOLD,16,11,NA,NA,NA,NA,NA,NA,NA,187,46,Lagging
FMCG & Consumer Goods,58.379999999999995,19,2026-05-15,VBL,VBL,NA,MID_CAP,503.8,-0.27,-0.99,9.43,53.3,56.7,14.35,BULLISH,HOLD,14,8,NA,NA,NA,NA,NA,NA,NA,254,46,Lagging
FMCG & Consumer Goods,58.379999999999995,19,2026-05-15,TATACONSUM,Tata Consumer Products Limited,NA,LARGE_CAP,1234,0.46,4.91,11.92,53.3,61.4,10.89,STRONG_BULLISH,HOLD,15,9,NA,NA,NA,NA,NA,NA,NA,254,46,Lagging
Textiles,58.28,7,2026-05-15,WELSPUNLIV,WELSPUNLIV,NA,MICRO_CAP,141.02,5.06,5.4,13.88,75.3,72.4,15.26,STRONG_BULLISH,BUY,21,14,NA,49.31,NA,NA,NA,NA,NA,21,63.8,Leadership
Textiles,58.28,7,2026-05-15,ARVIND,ARVIND,NA,SMALL_CAP,451.1,2.76,3.7,17.12,70.7,78.6,31.02,STRONG_BULLISH,BUY,20,14,NA,57.39,NA,NA,NA,NA,NA,38,63.8,Leadership
Textiles,58.28,7,2026-05-15,RAYMONDREL,RAYMONDREL,NA,MID_CAP,551.85,-2.14,-12.35,21.27,50.7,67.7,34,BULLISH,HOLD,18,6,NA,NA,NA,NA,NA,NA,NA,314,63.8,Leadership
Textiles,58.28,7,2026-05-15,KPRMILL,KPRMILL,NA,MID_CAP,923.45,3.5,-3.38,3.31,50,48,5.6,BULLISH,HOLD,6,12,NA,48.19,NA,NA,NA,NA,NA,325,63.8,Leadership
Textiles,58.28,7,2026-05-15,RAYMOND,RAYMOND,NA,SMALL_CAP,453.55,-1.36,-12.05,7.72,44.7,54.5,15.91,STRONG_BULLISH,WEAK_HOLD,14,2,NA,NA,NA,NA,NA,NA,NA,425,63.8,Leadership
Chemicals,58.26,17,2026-05-15,DEEPAKFERT,DEEPAKFERT,NA,LARGE_CAP,1318.5,1.47,-1.75,10,70.7,62,35.12,BULLISH,BUY,16,7,NA,70.76,NA,NA,NA,NA,NA,38,55,Improving
Chemicals,58.26,17,2026-05-15,ALKYLAMINE,ALKYLAMINE,NA,LARGE_CAP,1722.6,-1.57,0.9,20.74,59.3,66.3,18.8,BULLISH,HOLD,16,8,NA,54.48,NA,NA,NA,NA,NA,164,55,Improving
Chemicals,58.26,17,2026-05-15,DEEPAKNTR,DEEPAKNTR,NA,LARGE_CAP,1826.4,-0.75,-2.64,19.08,57.3,75.5,18.29,BULLISH,HOLD,16,6,NA,59.32,NA,NA,NA,NA,NA,187,55,Improving
Chemicals,58.26,17,2026-05-15,JGCHEM,JGCHEM,NA,SMALL_CAP,392.65,-5.65,-6.01,4.94,56.7,47.2,11.29,STRONG_BULLISH,HOLD,15,4,NA,NA,NA,NA,NA,NA,NA,191,55,Improving
Chemicals,58.26,17,2026-05-15,AARTIIND,AARTIIND,NA,SMALL_CAP,466.25,-0.37,-3.96,6.47,47.3,47.1,7.02,STRONG_BULLISH,WEAK_HOLD,11,6,NA,20.43,NA,NA,NA,NA,NA,372,55,Improving
Paper & Packaging,57.34,9,2026-05-15,SOUTHWEST,SOUTHWEST,NA,SMALL_CAP,238.44,2.3,10.34,-3.77,81.3,59,28.54,STRONG_BULLISH,STRONG_BUY,16,14,NA,70.44,NA,NA,NA,NA,NA,9,56.9,Improving
Paper & Packaging,57.34,9,2026-05-15,NRBBEARING,NRBBEARING,NA,SMALL_CAP,346.9,2.15,9.09,23.39,60.7,91,30.73,STRONG_BULLISH,HOLD,21,10,NA,NA,NA,NA,NA,NA,NA,149,56.9,Improving
Paper & Packaging,57.34,9,2026-05-15,ENRIN,ENRIN,NA,LARGE_CAP,3086.1,-0.6,-3.05,6.37,50.7,40.7,8.04,BULLISH,HOLD,9,4,NA,NA,NA,NA,NA,NA,NA,314,56.9,Improving
Paper & Packaging,57.34,9,2026-05-15,JKPAPER,JKPAPER,NA,SMALL_CAP,381.65,1.07,0.7,0.81,48.7,56.9,8.19,STRONG_BULLISH,WEAK_HOLD,8,11,NA,NA,NA,NA,NA,NA,NA,354,56.9,Improving
Paper & Packaging,57.34,9,2026-05-15,JAINREC,JAINREC,NA,MID_CAP,566.15,0.2,-0.94,35.44,45.3,82.3,45.89,STRONG_BULLISH,WEAK_HOLD,15,6,NA,NA,NA,NA,NA,NA,NA,414,56.9,Improving
