INDEX_NAME,INDEX_STRENGTH,SCORE_DATE,SYMBOL,COMPANY_NAME,SECTOR,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,TREND_SIGNAL,TRADING_SIGNAL,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,RANK,LEADERSHIP_SCORE,ROTATION_BUCKET
Nifty Consumer Durables,52.42,2026-05-15,ORIENTELEC,ORIENTELEC,NA,MICRO_CAP,192.73,0.78,2.33,13.38,46.7,58.2,6.86,STRONG_BULLISH,WEAK_HOLD,9,9,NA,NA,NA,NA,NA,NA,NA,380,56.3,Improving
Nifty Consumer Durables,52.42,2026-05-15,TITAN,TITAN,NA,LARGE_CAP,4169.1,0.82,-7.54,-6.55,39.3,38,-0.92,STRONG_BULLISH,WEAK_HOLD,1,8,NA,62.9,NA,NA,NA,NA,NA,517,56.3,Improving
Nifty Consumer Durables,52.42,2026-05-15,TTKPRESTIG,TTKPRESTIG,NA,MID_CAP,526.05,1.52,1.39,9.14,36.7,52.5,3.38,BULLISH,WEAK_HOLD,7,10,NA,NA,NA,NA,NA,NA,NA,561,56.3,Improving
Nifty Auto,47.06,2026-05-15,BAJAJ-AUTO,Bajaj Auto Limited,NA,LARGE_CAP,10377.5,-0.7,-3.12,5.62,60,67,6.81,STRONG_BULLISH,HOLD,11,10,NA,52.35,NA,NA,NA,NA,NA,160,44.6,Lagging
Nifty Auto,47.06,2026-05-15,MOTHERSON,MOTHERSON,NA,MICRO_CAP,129.92,3.02,-1.6,5.78,58.7,55.9,0.18,STRONG_BULLISH,HOLD,8,12,NA,51.57,NA,NA,NA,NA,NA,175,44.6,Lagging
Nifty Auto,47.06,2026-05-15,BHARATFORG,BHARATFORG,NA,LARGE_CAP,1913.1,-1.84,-3.85,3.09,50,56.7,2.84,STRONG_BULLISH,HOLD,7,4,NA,54.83,NA,NA,NA,NA,NA,325,44.6,Lagging
Nifty Auto,47.06,2026-05-15,ASHOKLEY,Ashok Leyland Limited,NA,MICRO_CAP,153.13,-0.78,-9.16,-13.35,33.3,29.1,-24.72,STRONG_BEARISH,SELL,1,8,NA,71.08,NA,NA,NA,NA,NA,609,44.6,Lagging
Nifty Auto,47.06,2026-05-15,APOLLOTYRE,Apollo Tyres Limited,NA,SMALL_CAP,394.5,-1.82,-3.6,-11.08,33.3,29.8,-10.37,STRONG_BEARISH,SELL,5,12,NA,53.44,NA,NA,NA,NA,NA,609,44.6,Lagging
Nifty Private Bank,45.04,2026-05-15,RBLBANK,RBL Bank Limited,NA,SMALL_CAP,338.1,0.27,-1.56,7.03,67.3,58.6,8.48,STRONG_BULLISH,BUY,12,12,NA,50.62,NA,NA,NA,NA,NA,72,48.7,Lagging
Nifty Private Bank,45.04,2026-05-15,BANDHANBNK,BANDHANBNK,NA,MICRO_CAP,194.46,-2.3,-5.65,11.64,64,65.5,9.6,STRONG_BULLISH,HOLD,14,6,NA,65.58,NA,NA,NA,NA,NA,116,48.7,Lagging
