SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Auto & Auto Ancillaries,47.06,14,BHARATFORG,BHARATFORG,LARGE_CAP,1989.7,-0.16,5.75,11.69,60.7,67.6,NA,18,8,54.83,STRONG_BULLISH,HOLD
Auto & Auto Ancillaries,47.06,14,MOTHERSON,MOTHERSON,MICRO_CAP,132.03,1.23,8.93,11.79,49.3,59.2,NA,10,4,51.57,STRONG_BULLISH,WEAK_HOLD
Auto & Auto Ancillaries,47.06,14,BALKRISIND,BALKRISIND,LARGE_CAP,2262.5,0.18,4.71,1.79,42.7,41.9,NA,5,15,51.38,STRONG_BEARISH,WEAK_HOLD
Auto & Auto Ancillaries,47.06,14,BAJAJ-AUTO,Bajaj Auto Limited,LARGE_CAP,10711.5,1,7.18,14.37,41.3,74.1,NA,11,4,52.35,STRONG_BULLISH,WEAK_HOLD
Auto & Auto Ancillaries,47.06,14,SANDHAR,SANDHAR,MID_CAP,534.95,1.26,8.28,9.98,41.3,60.2,NA,12,4,47.8,STRONG_BULLISH,WEAK_HOLD
Energy - Oil & Gas,44.54,17,BIOCON,Biocon Limited,SMALL_CAP,380.4,-0.48,5.77,8.75,51.3,69.9,NA,11,8,58.99,BULLISH,HOLD
Energy - Oil & Gas,44.54,17,ATGL,ATGL,MID_CAP,633.05,-1.74,-0.26,13.25,44.7,50.1,NA,13,8,52.51,STRONG_BULLISH,WEAK_HOLD
Energy - Oil & Gas,44.54,17,PIGL,PIGL,MICRO_CAP,120.3,3.24,7.9,5.48,44.7,46.6,NA,13,13,NA,BULLISH,WEAK_HOLD
Energy - Oil & Gas,44.54,17,CASTROLIND,CASTROLIND,MICRO_CAP,184.88,-0.34,0.03,3.14,44,62.2,NA,5,12,65.12,STRONG_BEARISH,WEAK_HOLD
Energy - Oil & Gas,44.54,17,MGL,MGL,LARGE_CAP,1172.9,-0.58,3.28,16.3,38,66.9,NA,9,8,NA,BULLISH,WEAK_HOLD
Consumer Durables,44.26,11,TITAN,TITAN,LARGE_CAP,4509,4.68,2.82,0.37,62,48.5,NA,12,14,62.9,STRONG_BULLISH,HOLD
Consumer Durables,44.26,11,CROMPTON,CROMPTON,SMALL_CAP,293.3,0.88,7.69,19.2,50,72.1,NA,12,9,57.18,STRONG_BULLISH,HOLD
Consumer Durables,44.26,11,ORIENTELEC,ORIENTELEC,MICRO_CAP,188.34,-1.95,2.27,18.04,41.3,59,NA,14,8,NA,BULLISH,WEAK_HOLD
Consumer Durables,44.26,11,BLUESTARCO,BLUESTARCO,LARGE_CAP,1692.8,-3.19,-4.95,4.53,37.3,32.8,NA,2,6,72.84,BULLISH,WEAK_HOLD
Consumer Durables,44.26,11,ORIENTTECH,ORIENTTECH,SMALL_CAP,316.65,1.54,16,16.57,30.7,62.8,NA,11,0,NA,BULLISH,SELL
Finance & NBFC,44.26,22,PFC,PFC,SMALL_CAP,461.35,0.83,2.89,10.46,52,47.9,NA,11,11,52.49,STRONG_BULLISH,HOLD
Finance & NBFC,44.26,22,PRECWIRE,PRECWIRE,SMALL_CAP,421.15,3.81,-0.21,37.54,47.3,64.3,NA,15,6,51.48,STRONG_BULLISH,WEAK_HOLD
Finance & NBFC,44.26,22,PRECAM,PRECAM,MICRO_CAP,168.26,3.12,5.98,28,44,65.9,NA,12,14,NA,BULLISH,WEAK_HOLD
Finance & NBFC,44.26,22,JAINREC,JAINREC,MID_CAP,571.5,13.35,24.52,28.48,41.3,88.6,NA,15,10,NA,STRONG_BULLISH,WEAK_HOLD
Finance & NBFC,44.26,22,HDFCAMC,HDFCAMC,LARGE_CAP,2854,0.68,5.21,12.39,36.7,57.1,NA,9,11,NA,BULLISH,WEAK_HOLD
Paper & Packaging,44,9,NRBBEARING,NRBBEARING,SMALL_CAP,318,5.95,11.96,25.78,48.7,68.2,NA,16,14,NA,BULLISH,WEAK_HOLD
Paper & Packaging,44,9,JKPAPER,JKPAPER,SMALL_CAP,379,1.61,5.2,10.03,48,52.3,NA,12,13,NA,STRONG_BULLISH,WEAK_HOLD
Paper & Packaging,44,9,WESTLIFE,WESTLIFE,MID_CAP,505.2,0.85,6.17,10.1,41.3,68.6,NA,13,9,NA,BULLISH,WEAK_HOLD
Paper & Packaging,44,9,JAINREC,JAINREC,MID_CAP,571.5,13.35,24.52,28.48,41.3,88.6,NA,15,10,NA,STRONG_BULLISH,WEAK_HOLD
Paper & Packaging,44,9,SOUTHWEST,SOUTHWEST,SMALL_CAP,216.09,-2.58,-10.18,-2.85,40.7,32.4,NA,4,4,70.44,STRONG_BULLISH,WEAK_HOLD
Textiles,43.46,9,WELSPUNLIV,WELSPUNLIV,MICRO_CAP,133.8,1.18,3.75,8.55,54.7,67.5,NA,11,15,49.31,STRONG_BULLISH,HOLD
Textiles,43.46,9,ARVIND,ARVIND,SMALL_CAP,435,-2.88,9.15,14.07,50,71,NA,16,2,57.39,STRONG_BULLISH,HOLD
Textiles,43.46,9,GARFIBRES,GARFIBRES,MID_CAP,641.15,-4.65,4.29,4.6,47.3,48.5,NA,11,8,51.41,BULLISH,WEAK_HOLD
Textiles,43.46,9,KPRMILL,KPRMILL,MID_CAP,955.75,-2.28,2.04,10.83,35.3,63.5,NA,8,10,48.19,BULLISH,WEAK_HOLD
Textiles,43.46,9,ARVINDFASN,Arvind Fashions Limited,SMALL_CAP,460.05,0.54,3.81,0.2,30,45.1,NA,4,6,50.43,STRONG_BEARISH,SELL
Logistics & Shipping,41.1,3,CONCOR,CONCOR,MID_CAP,534.75,1.53,5.09,12.89,45.3,69.7,NA,9,11,54,BULLISH,WEAK_HOLD
Logistics & Shipping,41.1,3,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1760.4,1.59,6.22,21.13,42,80.4,NA,14,11,10,STRONG_BULLISH,WEAK_HOLD
Logistics & Shipping,41.1,3,CONCORDBIO,CONCORDBIO,LARGE_CAP,1173.9,-2.07,2.79,11.82,36,62.9,NA,9,6,68.6,STRONG_BEARISH,WEAK_HOLD
Telecom,39.72,12,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1176.2,2.13,2.76,10.08,50,65.7,NA,11,18,NA,STRONG_BULLISH,HOLD
Telecom,39.72,12,TATAPOWER,Tata Power Company Limited,SMALL_CAP,436,-0.74,-1.92,10.39,46,55.6,NA,13,10,56.55,STRONG_BULLISH,WEAK_HOLD
Telecom,39.72,12,TATASTEEL,Tata Steel Limited,SMALL_CAP,214.49,-1.2,1.48,5.05,44,54.7,NA,6,10,51.39,STRONG_BULLISH,WEAK_HOLD
Telecom,39.72,12,IDEAFORGE,IDEAFORGE,MID_CAP,814.15,2.76,33.64,94.38,31.3,86,NA,13,9,NA,STRONG_BULLISH,SELL
Telecom,39.72,12,RELIANCE,Reliance Industries Limited,LARGE_CAP,1435.2,-0.07,0.31,6.48,27.3,66,NA,6,10,NA,STRONG_BEARISH,SELL
Media & Entertainment,38.26,14,SUNPHARMA,SUNPHARMA,LARGE_CAP,1847.9,0.74,2.19,7.77,44,74.7,NA,9,13,54.04,STRONG_BULLISH,WEAK_HOLD
Media & Entertainment,38.26,14,TVTODAY,TVTODAY,MICRO_CAP,124.2,4.93,9.36,14.79,41.3,73.1,NA,13,12,NA,BULLISH,WEAK_HOLD
Media & Entertainment,38.26,14,DBREALTY,DBREALTY,MICRO_CAP,141.99,1.17,37.1,41.54,38,81.5,NA,14,0,72.04,BULLISH,WEAK_HOLD
Media & Entertainment,38.26,14,CONCORDBIO,CONCORDBIO,LARGE_CAP,1173.9,-2.07,2.79,11.82,36,62.9,NA,9,6,68.6,STRONG_BEARISH,WEAK_HOLD
Media & Entertainment,38.26,14,HDBFS,HDBFS,MID_CAP,699.65,-0.13,6.56,11.78,32,56.5,NA,5,8,NA,BULLISH,SELL
Banking - Private,37.5,8,FEDERALBNK,Federal Bank Limited,SMALL_CAP,297.25,0.07,3.59,4.5,44.7,56,NA,6,11,55.83,STRONG_BULLISH,WEAK_HOLD
Banking - Private,37.5,8,BANDHANBNK,BANDHANBNK,SMALL_CAP,206.11,-0.73,3.2,25.1,42.7,82,NA,15,4,65.58,STRONG_BULLISH,WEAK_HOLD
Banking - Private,37.5,8,RBLBANK,RBL Bank Limited,SMALL_CAP,343.45,-0.67,2.05,6.38,42.7,65.9,NA,8,6,50.62,STRONG_BULLISH,WEAK_HOLD
Banking - Private,37.5,8,INDUSINDBK,INDUSINDBK,MID_CAP,950.75,0.4,3.79,13.73,30.7,76.2,NA,10,8,NA,STRONG_BULLISH,SELL
Banking - Private,37.5,8,AXISBANK,Axis Bank Limited,LARGE_CAP,1268.3,-1.89,0,-4.85,26.7,30.9,NA,1,8,52.47,BULLISH,SELL
Cement & Construction,37.08,12,DALMIASUG,DALMIASUG,SMALL_CAP,385.25,-0.81,-3.08,3.83,44,46.1,NA,11,4,69.58,STRONG_BULLISH,WEAK_HOLD
Cement & Construction,37.08,12,ORIENTELEC,ORIENTELEC,MICRO_CAP,188.34,-1.95,2.27,18.04,41.3,59,NA,14,8,NA,BULLISH,WEAK_HOLD
Cement & Construction,37.08,12,CREDITACC,Credit Access Grameen Limited,LARGE_CAP,1497,0.44,15.14,21.18,36.7,78.2,NA,11,4,53.16,BULLISH,WEAK_HOLD
Cement & Construction,37.08,12,STARCEMENT,STARCEMENT,SMALL_CAP,236.45,-0.88,2.67,10.23,32.7,63.4,NA,11,10,NA,BULLISH,SELL
Cement & Construction,37.08,12,ORIENTTECH,ORIENTTECH,SMALL_CAP,316.65,1.54,16,16.57,30.7,62.8,NA,11,0,NA,BULLISH,SELL
IT & Software,36.54,12,COFORGE,COFORGE,LARGE_CAP,1368.1,6.44,14.4,7.69,48,55.1,NA,11,12,54.71,STRONG_BEARISH,WEAK_HOLD
IT & Software,36.54,12,INTELLECT,INTELLECT,MID_CAP,806.8,3.15,8.24,17.73,44.7,75.5,NA,16,14,NA,BULLISH,WEAK_HOLD
IT & Software,36.54,12,WSTCSTPAPR,WSTCSTPAPR,MID_CAP,523.7,0.68,8.29,17.4,37.3,60.6,NA,13,6,NA,STRONG_BULLISH,WEAK_HOLD
IT & Software,36.54,12,PERSISTENT,PERSISTENT,LARGE_CAP,5113.6,2.6,6.53,-4.84,28,36.1,NA,3,15,NA,BULLISH,SELL
IT & Software,36.54,12,TECHM,Tech Mahindra Limited,LARGE_CAP,1463,1.02,-0.71,0.8,24.7,42.8,NA,4,11,NA,BULLISH,SELL
Agriculture & Fertilizers,34.82,8,NAVINFLUOR,NAVINFLUOR,LARGE_CAP,7041.5,-0.61,3.23,16.17,48.7,79.1,NA,11,10,69.95,STRONG_BULLISH,WEAK_HOLD
Agriculture & Fertilizers,34.82,8,GNFC,GNFC,SMALL_CAP,496.15,-1,5.72,18.33,36,53.8,NA,10,6,NA,BULLISH,WEAK_HOLD
Agriculture & Fertilizers,34.82,8,RCF,RCF,MICRO_CAP,130.58,-0.89,1.06,4.04,32.7,47,NA,4,10,NA,BULLISH,SELL
Agriculture & Fertilizers,34.82,8,COROMANDEL,COROMANDEL,LARGE_CAP,1927.6,-1.9,-2.73,-8.9,28.7,31.3,NA,1,10,54.33,STRONG_BEARISH,SELL
Agriculture & Fertilizers,34.82,8,RALLIS,RALLIS,SMALL_CAP,267.95,1.23,0.77,3.56,28,49.9,NA,4,13,NA,BULLISH,SELL
Realty,33.86,8,PRESTIGE,PRESTIGE,LARGE_CAP,1507.3,1.6,6.57,14.12,39.3,74.8,NA,9,13,NA,BULLISH,WEAK_HOLD
Realty,33.86,8,OBEROIRLTY,OBEROIRLTY,LARGE_CAP,1703,1.67,2,4.11,36.7,48.6,NA,7,13,NA,STRONG_BEARISH,WEAK_HOLD
Realty,33.86,8,BRIGADE,BRIGADE,MID_CAP,758.25,-1.93,-4.02,5.6,35.3,48.7,NA,6,8,56.82,BULLISH,WEAK_HOLD
Realty,33.86,8,DLF,DLF,MID_CAP,608.25,-1.71,3.62,6.18,30.7,52.5,NA,6,8,NA,BULLISH,SELL
Realty,33.86,8,GODREJPROP,GODREJPROP,LARGE_CAP,1873.6,-0.27,2.09,10.07,27.3,61.7,NA,8,8,NA,BULLISH,SELL
Banking - PSU,31.220000000000002,7,PNBHOUSING,PNBHOUSING,LARGE_CAP,1091.2,3.77,4.36,24.95,38.7,82.6,NA,13,14,NA,BULLISH,WEAK_HOLD
Banking - PSU,31.220000000000002,7,BANKBARODA,Bank of Baroda,SMALL_CAP,263.9,-2.39,0.17,-4.38,36.7,30.2,NA,3,12,53.65,STRONG_BEARISH,WEAK_HOLD
Banking - PSU,31.220000000000002,7,SBIN,State Bank of India,LARGE_CAP,1019.3,-6.66,-4.6,-3.97,30.7,36.8,NA,6,8,NA,BULLISH,SELL
Banking - PSU,31.220000000000002,7,CANBK,Canara Bank,MICRO_CAP,134.34,-1.17,-0.23,-3.48,28,31.3,NA,1,8,54.62,STRONG_BEARISH,SELL
Banking - PSU,31.220000000000002,7,INDIANB,Indian Bank,MID_CAP,865.55,0.56,1.61,-9.51,22,28.3,NA,2,13,NA,BULLISH,SELL
