INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
NIFTY SMLCAP 100,54.82,ADANIENSOL,ADANIENSOL,LARGE_CAP,1387.1,-1.44,-2.19,40.64,54.7,70,38.08,20,6,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 100,54.82,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,54,78.2,6.79,13,13,NA,BULLISH,HOLD
NIFTY SMLCAP 100,54.82,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,52.7,89.3,7.02,14,10,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 100,54.82,ADANIGREEN,Adani Green Energy Limited,LARGE_CAP,1365,0.89,9.66,47.51,50.7,89.8,40.14,20,6,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 50,54.82,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,62,66.7,26.59,20,8,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 50,54.82,ADANIENSOL,ADANIENSOL,LARGE_CAP,1387.1,-1.44,-2.19,40.64,54.7,70,38.08,20,6,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 50,54.82,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,54,78.2,6.79,13,13,NA,BULLISH,HOLD
NIFTY SMLCAP 50,54.82,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,52.7,89.3,7.02,14,10,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 50,54.82,ADANIGREEN,Adani Green Energy Limited,LARGE_CAP,1365,0.89,9.66,47.51,50.7,89.8,40.14,20,6,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 250,54.82,AUROPHARMA,Aurobindo Pharma Limited,LARGE_CAP,1478.7,-0.36,5.86,11.18,62,66.7,26.59,20,8,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 250,54.82,ADANIENSOL,ADANIENSOL,LARGE_CAP,1387.1,-1.44,-2.19,40.64,54.7,70,38.08,20,6,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 250,54.82,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,54,78.2,6.79,13,13,NA,BULLISH,HOLD
NIFTY SMLCAP 250,54.82,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,52.7,89.3,7.02,14,10,NA,STRONG_BULLISH,HOLD
NIFTY SMLCAP 250,54.82,ADANIGREEN,Adani Green Energy Limited,LARGE_CAP,1365,0.89,9.66,47.51,50.7,89.8,40.14,20,6,NA,STRONG_BULLISH,HOLD
Nifty 200,53.74,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1732.8,-0.89,4.32,25.47,56,80.2,14.86,18,8,NA,STRONG_BULLISH,HOLD
Nifty 200,53.74,ASIANPAINT,ASIANPAINT,LARGE_CAP,2530.6,0.46,3.4,15.75,55.3,62.4,5.76,12,10,NA,STRONG_BULLISH,HOLD
Nifty 200,53.74,DIVISLAB,DIVISLAB,LARGE_CAP,6702.5,0.01,2.58,14.57,54,78.2,6.79,13,13,NA,BULLISH,HOLD
Nifty 200,53.74,NESTLEIND,Nestle India Limited,LARGE_CAP,1476,-0.68,0.71,20.71,52.7,91.4,15.81,16,8,NA,STRONG_BULLISH,HOLD
Nifty 200,53.74,ADANIGREEN,Adani Green Energy Limited,LARGE_CAP,1365,0.89,9.66,47.51,50.7,89.8,40.14,20,6,NA,STRONG_BULLISH,HOLD
Nifty FMCG,52.54,RADICO,RADICO,LARGE_CAP,3407,1.48,-1.49,29.59,65.3,70.2,25.37,19,11,NA,STRONG_BULLISH,BUY
Nifty FMCG,52.54,MARICO,Marico Limited,MID_CAP,832.15,2.13,6.78,10.47,52.7,89.3,7.02,14,10,NA,STRONG_BULLISH,HOLD
Nifty FMCG,52.54,NESTLEIND,Nestle India Limited,LARGE_CAP,1476,-0.68,0.71,20.71,52.7,91.4,15.81,16,8,NA,STRONG_BULLISH,HOLD
Nifty FMCG,52.54,VBL,VBL,MID_CAP,510.6,0.32,-2.39,27.38,48,70.1,12.95,16,6,NA,BULLISH,WEAK_HOLD
Nifty FMCG,52.54,TATACONSUM,Tata Consumer Products Limited,LARGE_CAP,1151.7,-0.04,-1.4,8.45,44,63.1,-0.4,6,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 100,49.32,ASIANPAINT,ASIANPAINT,LARGE_CAP,2530.6,0.46,3.4,15.75,55.3,62.4,5.76,12,10,NA,STRONG_BULLISH,HOLD
Nifty 100,49.32,NESTLEIND,Nestle India Limited,LARGE_CAP,1476,-0.68,0.71,20.71,52.7,91.4,15.81,16,8,NA,STRONG_BULLISH,HOLD
Nifty 100,49.32,SUNPHARMA,SUNPHARMA,LARGE_CAP,1834.4,-0.85,3.13,6.78,49.3,70,7.42,12,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 100,49.32,TITAN,TITAN,LARGE_CAP,4307.5,-1.2,-2.98,1.82,47.3,31.6,2.96,7,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 100,49.32,RELIANCE,Reliance Industries Limited,LARGE_CAP,1436.2,-0.12,0.76,10.09,42,69.4,2.25,7,8,NA,BULLISH,WEAK_HOLD
Nifty Consumer Durables,46.12,ORIENTELEC,ORIENTELEC,MICRO_CAP,192.09,4.57,3.19,23.96,64.7,70.2,10.21,19,16,NA,BULLISH,HOLD
Nifty Consumer Durables,46.12,CROMPTON,CROMPTON,SMALL_CAP,290.75,2.36,5.34,23.96,50,71.3,9.7,13,6,NA,STRONG_BULLISH,HOLD
Nifty Consumer Durables,46.12,TITAN,TITAN,LARGE_CAP,4307.5,-1.2,-2.98,1.82,47.3,31.6,2.96,7,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Consumer Durables,46.12,WHIRLPOOL,WHIRLPOOL,SMALL_CAP,978.65,0.91,-1.55,19.17,41.3,80.5,7.48,12,11,NA,BULLISH,WEAK_HOLD
Nifty Consumer Durables,46.12,BLUESTARCO,BLUESTARCO,LARGE_CAP,1748.6,-3.21,-4.83,13.51,27.3,39.2,-10.84,8,8,NA,STRONG_BEARISH,SELL
Nifty Realty,42.94,BRIGADE,BRIGADE,MID_CAP,773.15,-4.43,-3.05,11.81,46,60.7,4.82,8,8,NA,BULLISH,WEAK_HOLD
Nifty Realty,42.94,OBEROIRLTY,OBEROIRLTY,SMALL_CAP,1675,0.1,-1.49,7.35,44.7,43,11.82,12,8,NA,STRONG_BEARISH,WEAK_HOLD
Nifty Realty,42.94,DLF,DLF,MID_CAP,618.85,1.52,4.1,15.87,44,61.1,0.09,7,15,NA,BULLISH,WEAK_HOLD
Nifty Realty,42.94,GODREJPROP,GODREJPROP,LARGE_CAP,1878.6,0.61,0.88,17.05,41.3,63.2,3.34,9,11,NA,BULLISH,WEAK_HOLD
Nifty Realty,42.94,PRESTIGE,PRESTIGE,MID_CAP,1483.5,1.94,3.47,21.39,38.7,74.4,-0.21,8,8,NA,BULLISH,WEAK_HOLD
