"symbol","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","processed_date","processing_batch","batch_number"
"ARTEMISMED",50.87,51.3,47,56.14,49.17,NA,"20250812_0936",3
"ARTNIRMAN",62.81,58.57,77,58.18,56.67,NA,"20250812_0937",3
"ARVEE",53.5,51.3,55,53.64,56.67,NA,"20250812_0937",3
"ARVIND",57.39,51.96,61,57.27,66,NA,"20250812_0938",3
"ARVINDFASN",50.43,47.61,47,55.45,57,NA,"20250812_0939",3
"ARVSMART",71.78,76.09,86,56.45,57,NA,"20250812_0939",3
"ASAHIINDIA",52.31,50.43,51,56.45,54,NA,"20250812_0940",4
"ASAHISONG",70.37,72.61,86,58.64,54,NA,"20250812_0941",4
"ASAL",51.52,50.22,47,55.68,57,NA,"20250812_0941",4
"ASALCBR",51.12,50,46.25,57.27,54,NA,"20250812_0942",4
"ASHAPURMIN",52.76,51.96,47,58.41,57,NA,"20250812_0943",4
"ASHIANA",52.96,51.96,47,57.14,60,NA,"20250812_0943",4
"ASHIMASYN",70.43,72.61,86,56.67,57,NA,"20250812_0944",4
"ASHOKA",65.24,71.74,60,60.45,63,NA,"20250812_0945",4
"ASHOKAMET",72.83,78.26,86,61.36,51.67,NA,"20250812_0945",4
"ASHOKLEY",71.08,74.57,82,59.41,59.17,NA,"20250812_0946",4
"ASIANENE",75.48,78.33,94,62.75,54,NA,"20250812_0947",4
"ASIANHOTNR",69.59,70.87,94,55.71,44,NA,"20250812_0948",4
"ASIANPAINT",62.21,68.26,60,57.05,56.67,NA,"20250812_0948",4
"ASIANTILES",69.29,72.61,86,57.73,48,NA,"20250812_0949",4
"ASKAUTOLTD",71.28,74.57,82,59.77,60,NA,"20250812_0950",4
"ASMS",58.36,55.95,65,55.91,57,NA,"20250812_0950",4
"ASPINWALL",68.53,74.35,76,58.64,53.75,NA,"20250812_0951",4
"ASTEC",51.25,47.61,51,54.55,57,NA,"20250812_0952",4
"ASTERDM",60.89,64.13,56,56.68,66,NA,"20250812_0952",4
"ASTRAL",62.97,68.04,60,59.41,59.17,NA,"20250812_0953",4
"ASTRAMICRO",71.97,73.91,94,57.05,50,NA,"20250812_0954",4
"ASTRAZEN",65.5,69.76,68,60.25,57,NA,"20250812_0955",4
"ASTRON",67.82,72.38,86,55.91,41.25,NA,"20250812_0955",4
"ATALREAL",46.1,47,40.83,50.79,46.25,NA,"20250812_0956",4
"ATAM",50.89,50.22,47,54.77,54,NA,"20250812_0957",4
"ATFL",10,10,10,10,10,NA,"20250812_0957",5
"ATGL",52.51,50.22,47,56.14,63,NA,"20250812_0958",5
"ATHERENERG",63.36,53.7,85,53.64,66,NA,"20250812_0958",5
"ATL",57.09,57.14,56,58.41,57,NA,"20250812_0959",5
"ATLANTAA",61.44,58.48,77,58,48,NA,"20250812_1000",5
"ATLASCYCLE",62.58,57.17,85,58.57,45,NA,"20250812_1000",5
"ATUL",54.54,56.09,53,55.55,51.67,NA,"20250812_1001",5
"ATULAUTO",49.43,48.48,47,55.45,48,NA,"20250812_1002",5
"AUBANK",55,51.19,55,57.35,62,NA,"20250812_1002",5
"AURIONPRO",51.69,51.19,51,57.05,47,NA,"20250812_1003",5
"AUROPHARMA",67.41,70.43,70,59.18,66,NA,"20250812_1004",5
"AURUM",55.03,57.09,54.6,55.24,50,NA,"20250812_1004",5
"AUSOMENT",51.53,49.21,47,57.35,57.5,NA,"20250812_1005",5
"AUTOAXLES",58.77,53.91,65,57.5,63,NA,"20250812_1006",5
"AUTOBEES",10,10,10,10,10,NA,"20250812_1006",5
"AUTOIETF",10,10,10,10,10,NA,"20250812_1007",5
"AUTOIND",65.08,73.48,60,62.95,54,NA,"20250812_1008",5
"AVADHSUGAR",70.96,75.22,82,61.36,54,NA,"20250812_1008",5
"AVALON",54.04,51.3,53,56.36,60,NA,"20250812_1009",5
"AVANTEL",51.41,52.39,47,57.5,48,NA,"20250812_1010",5
"AVANTIFEED",60,68.81,56,59.25,44.17,NA,"20250812_1010",5
"AVG",73.25,74.35,94,59.55,54,NA,"20250812_1011",5
