SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Energy - Power,57.86,18,189,TDPOWERSYS,TD POWER SYSTEMS LTD.,SMALL_CAP,683.8,2.19,5.79,15.73,64.7,73,STRONG_BULLISH,30.16,18,13,0,NA,NA,NA,NA,NA,1104264350.8,HOLD,2025-10-30
Energy - Power,57.86,18,10,ADANIGREEN,ADANI GREEN ENERGY LTD,LARGE_CAP,1140.1,2.47,9.13,11.03,60,67,BULLISH,18.33,20,4,0,10,10,10,10,10,13162036511.2,HOLD,2025-10-30
Energy - Power,57.86,18,467,BORORENEW,BOROSIL RENEWABLES LTD,MICRO_CAP,653.2,-0.78,-0.87,13.99,59.3,56.2,STRONG_BULLISH,5.84,11,10,20,63.2,57.38,81,59.5,54,204432337.9,HOLD,2025-10-30
Energy - Power,57.86,18,53,CGPOWER,CG POWER AND IND SOL LTD,MID_CAP,734.7,-1.86,0.25,-0.84,53.3,46.8,BULLISH,4.55,7,6,15,55.37,53.04,51,57.5,66,3748479860.35,HOLD,2025-10-30
Energy - Power,57.86,18,287,INOXGREEN,INOX GREEN ENERGY SER LTD,SMALL_CAP,267.75,1.98,9.2,33.14,52,69.6,BULLISH,42.18,15,11,0,NA,NA,NA,NA,NA,551679508.23,HOLD,2025-10-30
Energy - Oil & Gas,57.74,15,35,BPCL,BHARAT PETROLEUM CORP  LT,LARGE_CAP,357.6,2.73,7.94,5.28,68.7,69.4,BEARISH,5.85,12,14,20,62.6,70,56,58.64,59.17,5263753111.5,BUY,2025-10-30
Energy - Oil & Gas,57.74,15,40,MRPL,MRPL,LARGE_CAP,162.58,1.98,11.36,22.43,57.3,73.5,BULLISH,25.31,20,4,0,NA,NA,NA,NA,NA,4722976200.13,HOLD,2025-10-30
Energy - Oil & Gas,57.74,15,79,BIOCON,BIOCON LIMITED.,MID_CAP,376.6,0.78,3.95,10.44,56.7,65.9,BEARISH,-0.5,10,13,15,58.99,60.43,56,56.82,63,2652812608.2,HOLD,2025-10-30
Energy - Oil & Gas,57.74,15,30,IOC,INDIAN OIL CORP LTD,LARGE_CAP,163.51,0.26,8.92,9.16,55.3,72.9,STRONG_BULLISH,9.76,14,6,0,NA,NA,NA,NA,NA,5497193384.79,HOLD,2025-10-30
Energy - Oil & Gas,57.74,15,84,OIL,OIL INDIA LTD,MID_CAP,434.75,3.39,4.16,5.06,50.7,63.7,BEARISH,1.78,10,14,0,NA,NA,NA,NA,NA,2602372001.6,HOLD,2025-10-30
Infrastructure,56.379999999999995,19,5,BHEL,BHEL,LARGE_CAP,261.29,6.48,11.52,9.58,69.3,74.8,BEARISH,11.62,16,14,15,53.94,54.13,47,55.45,63,19239744609.28,BUY,2025-10-30
Infrastructure,56.379999999999995,19,10,ADANIGREEN,ADANI GREEN ENERGY LTD,LARGE_CAP,1140.1,2.47,9.13,11.03,60,67,BULLISH,18.33,20,4,0,10,10,10,10,10,13162036511.2,HOLD,2025-10-30
Infrastructure,56.379999999999995,19,4,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,3987.5,0.74,1.76,8.98,54,75.8,STRONG_BULLISH,2.92,10,15,0,NA,NA,NA,NA,NA,19929380105.2,HOLD,2025-10-30
Infrastructure,56.379999999999995,19,215,ADANIENSOL,ADANI ENERGY SOLUTION LTD,SMALL_CAP,965.65,-0.2,1.39,10.71,51.3,63.9,STRONG_BULLISH,17.77,15,8,0,10,10,10,10,10,931550452.25,HOLD,2025-10-30
Infrastructure,56.379999999999995,19,742,ARISINFRA,ARISINFRA SOLUTIONS LTD,MICRO_CAP,164.08,-1.28,-6.12,9.9,47.3,50.5,BULLISH,5.46,9,8,15,56.91,51.96,67,56.36,54,49259106.59,WEAK_HOLD,2025-10-30
Defence & Aerospace,55.480000000000004,13,69,BEML,BEML LIMITED,MID_CAP,4435.7,2.86,0.88,6.27,65.3,56.6,BULLISH,3.75,10,16,15,52.07,49.57,47,55.23,63,2981680889.7,BUY,2025-10-30
Defence & Aerospace,55.480000000000004,13,300,ASTRAL,ASTRAL LIMITED,SMALL_CAP,1464.9,0.01,0.63,7.21,58.7,60.4,BULLISH,8.34,9,12,20,62.97,68.04,60,59.41,59.17,502929381.6,HOLD,2025-10-30
Defence & Aerospace,55.480000000000004,13,348,BELRISE,BELRISE INDUSTRIES LTD,MICRO_CAP,150.85,0.33,-2.22,-4.2,56,48.9,BULLISH,6.65,6,15,15,53.29,50.22,51,57.27,60,374184552.68,HOLD,2025-10-30
Defence & Aerospace,55.480000000000004,13,279,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1317.2,-0.38,1.32,8.64,52.7,66.4,BULLISH,6.45,9,10,15,54.83,55.22,53,56.82,54.17,567241706.5,HOLD,2025-10-30
Defence & Aerospace,55.480000000000004,13,42,BEL,BHARAT ELECTRONICS LTD,LARGE_CAP,409.9,0.66,-2.09,1.47,44.7,51.8,BULLISH,0.38,3,10,15,54.37,52.39,47,56.59,69,4563845915.5,WEAK_HOLD,2025-10-30
Finance & NBFC,52.64,18,185,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,SMALL_CAP,1711.8,0.08,1.61,6.27,61.3,63.4,STRONG_BULLISH,12.17,11,12,15,54.41,50.65,51,57.47,66,1118199831,HOLD,2025-10-30
