INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
NIFTY SMLCAP 250,54.26,41,DIVISLAB,DIVI S LABORATORIES LTD,LARGE_CAP,6883.5,1.16,3.43,12.76,56,73.4,BULLISH,13.03,14,8,0,NA,NA,NA,NA,NA,4939160684.5,HOLD,2025-11-06
NIFTY SMLCAP 250,54.26,148,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1140.6,-0.74,3.46,4.63,55.3,59.7,BULLISH,7.4,5,6,20,67.41,70.43,70,59.18,66,1646782040.6,HOLD,2025-11-06
NIFTY SMLCAP 250,54.26,79,EICHERMOT,EICHER MOTORS LTD,MID_CAP,6806.5,-1.78,-1.2,-2.16,50,45.4,BULLISH,13.04,9,8,0,NA,NA,NA,NA,NA,2989573866.5,HOLD,2025-11-06
NIFTY SMLCAP 250,54.26,210,ADANIENSOL,ADANI ENERGY SOLUTION LTD,SMALL_CAP,968.15,-1.8,0.26,5.35,48.7,59.7,STRONG_BULLISH,15.87,11,8,0,10,10,10,10,10,1036816536.1,WEAK_HOLD,2025-11-06
Nifty FMCG,53.2,31,BRITANNIA,BRITANNIA INDUSTRIES LTD,LARGE_CAP,6013.5,2.05,2.63,2.15,62.7,56.2,BEARISH,3.88,8,16,15,52.36,51.96,47,54.77,59.17,6297834246.5,HOLD,2025-11-06
Nifty FMCG,53.2,84,TATACONSUM,TATA CONSUMER PRODUCT LTD,MID_CAP,1190.4,0.94,1.17,6.29,57.3,62.6,STRONG_BULLISH,6.1,10,12,0,NA,NA,NA,NA,NA,2844617394.9,HOLD,2025-11-06
Nifty FMCG,53.2,212,RADICO,RADICO KHAITAN LTD,SMALL_CAP,3185.9,-0.43,1.31,6.29,54,59.9,STRONG_BULLISH,10.84,11,12,0,NA,NA,NA,NA,NA,1022657753.9,HOLD,2025-11-06
Nifty FMCG,53.2,129,DABUR,DABUR INDIA LTD,MID_CAP,523.7,1.29,4.42,6.39,46.7,59.8,BULLISH,-3.71,4,10,15,51.29,50.22,47,54.77,56.67,2035533040.4,WEAK_HOLD,2025-11-06
Nifty FMCG,53.2,162,NESTLEIND,NESTLE INDIA LIMITED,SMALL_CAP,1266.1,0.09,-1.08,7.59,45.3,52.7,BULLISH,4.77,5,15,0,NA,NA,NA,NA,NA,1487625717.8,WEAK_HOLD,2025-11-06
NIFTY SMLCAP 100,52.26,156,BIOCON,BIOCON LIMITED.,SMALL_CAP,385.2,1.24,2.28,10.75,61.3,69.1,BULLISH,5.56,12,10,15,58.99,60.43,56,56.82,63,1551399168.65,HOLD,2025-11-06
NIFTY SMLCAP 100,52.26,41,DIVISLAB,DIVI S LABORATORIES LTD,LARGE_CAP,6883.5,1.16,3.43,12.76,56,73.4,BULLISH,13.03,14,8,0,NA,NA,NA,NA,NA,4939160684.5,HOLD,2025-11-06
NIFTY SMLCAP 100,52.26,148,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1140.6,-0.74,3.46,4.63,55.3,59.7,BULLISH,7.4,5,6,20,67.41,70.43,70,59.18,66,1646782040.6,HOLD,2025-11-06
NIFTY SMLCAP 100,52.26,210,ADANIENSOL,ADANI ENERGY SOLUTION LTD,SMALL_CAP,968.15,-1.8,0.26,5.35,48.7,59.7,STRONG_BULLISH,15.87,11,8,0,10,10,10,10,10,1036816536.1,WEAK_HOLD,2025-11-06
NIFTY SMLCAP 100,52.26,92,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1060.5,-2.38,-6.98,-0.02,40,50.7,STRONG_BULLISH,7.06,4,6,0,10,10,10,10,10,2700296605.1,WEAK_HOLD,2025-11-06
NIFTY SMLCAP 50,52.26,156,BIOCON,BIOCON LIMITED.,SMALL_CAP,385.2,1.24,2.28,10.75,61.3,69.1,BULLISH,5.56,12,10,15,58.99,60.43,56,56.82,63,1551399168.65,HOLD,2025-11-06
NIFTY SMLCAP 50,52.26,41,DIVISLAB,DIVI S LABORATORIES LTD,LARGE_CAP,6883.5,1.16,3.43,12.76,56,73.4,BULLISH,13.03,14,8,0,NA,NA,NA,NA,NA,4939160684.5,HOLD,2025-11-06
NIFTY SMLCAP 50,52.26,148,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1140.6,-0.74,3.46,4.63,55.3,59.7,BULLISH,7.4,5,6,20,67.41,70.43,70,59.18,66,1646782040.6,HOLD,2025-11-06
NIFTY SMLCAP 50,52.26,210,ADANIENSOL,ADANI ENERGY SOLUTION LTD,SMALL_CAP,968.15,-1.8,0.26,5.35,48.7,59.7,STRONG_BULLISH,15.87,11,8,0,10,10,10,10,10,1036816536.1,WEAK_HOLD,2025-11-06
