Date,Open,High,Low,Close,Volume
2022-04-07,95.5705,96.9047,93.8904,96.0153,18398
2022-04-08,97.9425,97.9425,95.4223,96.6577,9632
2022-04-11,97.8436,97.8436,93.8904,95.3234,14964
2022-04-12,94.3845,97.1024,93.8904,94.9281,8099
2022-04-13,95.1258,103.2794,95.0763,100.7592,108714
2022-04-18,103.1806,103.1806,94.9775,99.2767,41110
2022-04-19,97.3989,101.7969,95.9658,97.5471,22119
2022-04-20,95.9164,99.4744,95.9164,98.6343,8902
2022-04-21,95.5211,102.7852,95.5211,101.6487,39117
2022-04-22,99.3261,101.451,97.3495,97.8931,6250
2022-04-25,95.4223,98.6837,95.3728,96.0153,8407
2022-04-26,101.2533,101.3028,96.5094,97.7448,7411
2022-04-27,95.7188,98.832,95.7188,96.8059,13720
2022-04-28,96.2623,98.5355,96.1141,96.4106,8237
2022-04-29,98.7331,98.7331,95.867,96.6082,6134
2022-05-02,96.0153,98.832,93.7915,95.7682,20321
2022-05-04,101.8463,101.8463,92.902,94.7799,7590
2022-05-05,93.9398,98.832,93.9398,98.832,81872
2022-05-06,95.867,98.832,92.1114,96.9047,34798
2022-05-09,101.6981,101.6981,94.088,94.9281,8624
2022-05-10,97.4483,97.8436,92.0125,94.2363,5033
2022-05-11,95.3728,95.3728,83.9083,87.911,29652
2022-05-12,86.5274,88.4546,83.3153,85.0449,7859
2022-05-13,88.504,90.7772,85.1931,89.5418,6990
2022-05-16,96.8553,98.7331,86.9721,96.3117,22034
2022-05-17,96.3118,98.7331,91.9137,93.9398,41630
2022-05-18,96.8553,97.8436,94.088,94.3351,4447
2022-05-19,92.5561,93.8904,92.5067,93.1985,4477
2022-05-20,93.9892,96.1635,92.902,93.5444,2775
2022-05-23,97.646,97.646,93.6433,93.6433,2452
2022-05-24,93.9398,95.6199,92.3585,93.1491,10527
2022-05-25,93.9398,93.9398,90.4312,90.7772,5214
2022-05-26,89.8382,93.8904,85.292,92.902,36463
2022-05-27,96.46,96.46,89.1464,92.4573,1789
2022-05-30,93.3468,94.3845,87.5157,88.4546,30102
2022-05-31,84.0566,88.9488,83.0189,88.8499,39677
2022-06-01,89.7394,93.8409,88.1581,91.3701,206381
2022-06-02,91.3701,92.655,88.6029,89.9371,20868
2022-06-03,89.3935,92.0125,88.0099,88.8005,26930
2022-06-06,87.1698,90.4807,85.1437,85.9838,9245
2022-06-07,87.2686,88.8005,85.2426,87.0216,8294
2022-06-08,84.7978,89.1958,84.7978,85.9344,14434
2022-06-09,85.9344,87.911,85.9344,86.1815,1587
2022-06-10,86.2803,87.318,82.1294,83.7601,6218
2022-06-13,83.9083,84.5507,78.2749,79.7574,9364
2022-06-14,82.6729,83.0188,79.708,81.4375,2770
2022-06-15,81.8823,83.9083,81.734,83.0188,14854
2022-06-16,84.7978,84.9955,81.0422,81.8823,5873
2022-06-17,84.2542,84.7978,79.115,80.301,5477
2022-06-20,80.0045,81.2399,75.6065,77.8302,6856
2022-06-21,79.0656,82.0305,77.0889,79.0162,3136
2022-06-22,76.2983,80.0539,76.2983,77.8302,2070
2022-06-23,78.8185,80.0045,77.0889,77.7807,1793
2022-06-24,78.5714,80.0539,77.1878,78.6702,23354
2022-06-27,83.5624,83.6118,77.929,78.2255,8564
2022-06-28,84.6002,84.6002,76.1994,79.2138,7055
2022-06-29,80.1527,80.1527,78.6702,78.7691,3008
2022-06-30,79.0656,80.2021,77.6325,79.0162,4627
2022-07-01,78.522,78.9173,77.0889,78.6702,1922
2022-07-04,80.4986,80.4986,77.2866,79.708,8946
2022-07-05,79.8562,80.9928,77.0889,78.3737,950
2022-07-06,79.0656,79.5597,77.0889,77.4843,3886
2022-07-07,79.3621,79.3621,77.929,78.6208,452
2022-07-08,80.6963,80.6963,72.1968,77.7313,8891
2022-07-11,78.9173,80.5481,77.2866,77.8796,2725
2022-07-12,80.0539,80.0539,77.7808,78.1267,585
2022-07-13,82.5247,82.5247,77.4348,79.0162,2769
2022-07-14,77.7808,79.7574,76.0512,77.3854,4275
2022-07-15,76.4959,78.0772,75.9524,77.5337,2330
2022-07-18,79.5103,79.5103,75.1617,76.5948,3949
2022-07-19,77.8302,78.1267,77.7808,78.0773,4318
2022-07-20,78.0773,79.3621,77.1878,78.1267,11895
2022-07-21,78.9173,79.0161,75.1617,75.9524,4694
2022-07-22,74.5193,77.5831,74.4699,75.2111,6863
2022-07-25,74.2228,81.4375,74.2228,77.0889,9655
2022-07-26,79.3621,80.0045,76.1006,76.15,6109
