DATE,SYMBOL,ALERT_TYPE,ENTITY,QTY,VALUE_CR,CATEGORY,DETAIL,SOURCE
2026-05-05,IRMENERGY,BULK_DEAL_SELL,HRTI PRIVATE LIMITED,526529,17.92,Bulk Deal,@ ₹340.27,BULK_DEAL
2026-05-05,KOTYARK,BULK_DEAL_SELL,GAURANG R SHAH HUF,94866,3.93,Bulk Deal,@ ₹414.18,BULK_DEAL
2026-05-05,KSR,BULK_DEAL_SELL,SHARE INDIA SECURITIES LIMITED,105000,0.37,Bulk Deal,@ ₹35.50,BULK_DEAL
2026-05-05,MANOMAY,BULK_DEAL_SELL,SANJEEV SINGHAL,116350,1.92,Bulk Deal,@ ₹164.92,BULK_DEAL
2026-05-05,MANOMAY,BULK_DEAL_SELL,NEO APEX SHARE BROKING SERVICES LLP,128581,2.16,Bulk Deal,@ ₹167.86,BULK_DEAL
2026-05-05,MOL,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,1689971,9.76,Bulk Deal,@ ₹57.75,BULK_DEAL
2026-05-05,MOL,BULK_DEAL_SELL,QE SECURITIES LLP,1376049,7.96,Bulk Deal,@ ₹57.82,BULK_DEAL
2026-05-05,OMAXAUTO,BULK_DEAL_SELL,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,170005,3.18,Bulk Deal,@ ₹187.32,BULK_DEAL
2026-05-05,OMAXAUTO,BULK_DEAL_SELL,D3 STOCK VISION LLP,146080,2.71,Bulk Deal,@ ₹185.51,BULK_DEAL
2026-05-05,OMAXAUTO,BULK_DEAL_SELL,NEO APEX SHARE BROKING SERVICES LLP,170000,3.14,Bulk Deal,@ ₹184.84,BULK_DEAL
2026-05-05,ONELIFECAP,BULK_DEAL_SELL,RAXITKUMAR PATEL,320000,0.58,Bulk Deal,@ ₹18.00,BULK_DEAL
2026-05-05,PRABHAPP,BULK_DEAL_SELL,INTERACTIVE TECHNOLOGIES PVT. LTD.,500000,2.61,Bulk Deal,@ ₹52.20,BULK_DEAL
2026-05-05,PVP,BULK_DEAL_SELL,CRONY VYAPAR PVT LTD,2505152,8.09,Bulk Deal,@ ₹32.29,BULK_DEAL
2026-05-05,QUESS,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,1294958,29.77,Bulk Deal,@ ₹229.93,BULK_DEAL
2026-05-05,SAIFL,BULK_DEAL_SELL,SATYA MURTHY SIVALENKA,876000,0.72,Bulk Deal,@ ₹8.20,BULK_DEAL
2026-05-05,SANGINITA,BULK_DEAL_SELL,STEADFAST TRADECOM,164700,0.37,Bulk Deal,@ ₹22.30,BULK_DEAL
2026-05-05,SPANDANA,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,397807,10.6,Bulk Deal,@ ₹266.58,BULK_DEAL
2026-05-05,SPEB,BULK_DEAL_SELL,COMPACT STRUCTURE FUND,120000,0.66,Bulk Deal,@ ₹54.95,BULK_DEAL
2026-05-05,SPRL,BULK_DEAL_SELL,AMNESTI MULTISERVICES PRIVATE LIMITED,20000,0.19,Bulk Deal,@ ₹94.00,BULK_DEAL
2026-05-05,STANLEY,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,335423,6.0,Bulk Deal,@ ₹178.96,BULK_DEAL
2026-05-05,TITAGARH,BULK_DEAL_SELL,NK SECURITIES RESEARCH PRIVATE LIMITED,679396,57.13,Bulk Deal,@ ₹840.90,BULK_DEAL
2026-05-05,TITAGARH,BULK_DEAL_SELL,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,824311,69.14,Bulk Deal,@ ₹838.82,BULK_DEAL
2026-04-29,RELTD,INSIDER_BUY,Shantanu Lath,70000,0.7,Director,ESOP,PIT
2026-04-28,MWL,PROMOTER_PLEDGE,VIPIN PRAKASH MANGAL,2212300,68.23,Promoters,Pledge Creation,PIT
2026-04-27,BAJAJFINSV,PROMOTER_BUYING,Bajaj Holdings & Investment Limited,2090050,370.02,Promoters,Market Purchase,PIT
2026-04-27,BAJAJFINSV,PROMOTER_SELLING,Bajaj Auto Holdings Limited,2090050,370.08,Promoter Group,Market Sale,PIT
2026-04-24,HCLTECH,PROMOTER_BUYING,Vama Sundari Investments (Delhi) Private Limited,101056,12.27,Promoters,Market Sale,PIT
2026-04-28,HCLTECH,PROMOTER_BUYING,Vama Sundari Investments (Delhi) Private Limited,183673,22.03,Promoters,Market Sale,PIT
2026-04-24,RESPONIND,PROMOTER_PLEDGE,Fairpoint Tradecom LLP,300000,4.75,Promoter Group,Revokation of Pledge,PIT
2026-04-29,SAIFL,PROMOTER_SELLING,Satya Murthy Sivalenka,1648000,1.4,Promoters,Market Sale,PIT
2026-04-27,PARIN,PROMOTER_SELLING,P.P. FURNITURE  PRIVATE LIMITED,11250,0.7,Promoter Group,Market Sale,PIT
2026-04-28,PARIN,PROMOTER_SELLING,P.P. FURNITURE  PRIVATE LIMITED,4750,0.3,Promoter Group,Market Sale,PIT
2026-04-29,PARIN,PROMOTER_SELLING,P.P. FURNITURE  PRIVATE LIMITED,4000,0.25,Promoter Group,Market Sale,PIT
2026-04-28,SAIFL,PROMOTER_SELLING,Satya Murthy Sivalenka,728000,0.62,Promoters,Market Sale,PIT
2026-03-25,ASMS,PROMOTER_SELLING,Kinex India Private Limited,1018382,0.81,Promoters,Market Sale,PIT
2026-03-30,ASMS,PROMOTER_SELLING,Kinex India Private Limited,5100000,3.57,Promoters,Market Sale,PIT
2026-04-22,MIDWESTLTD,PROMOTER_BUYING,Kollareddy Ranganayakamma,1408851,0.0,Promoter Group,Gift,PIT
2026-04-22,MIDWESTLTD,PROMOTER_SELLING,Rama Raghava Reddy Kollareddy,1408851,0.0,Promoters,Gift,PIT
2026-04-22,MIDWESTLTD,PROMOTER_BUYING,Uma Priyadarshini Kollareddy,150000,0.0,Promoters,Gift,PIT
2026-04-22,MIDWESTLTD,PROMOTER_SELLING,Rama Raghava Reddy Kollareddy,150000,0.0,Promoters,Gift,PIT
2026-04-22,DEEPAKFERT,PROMOTER_BUYING,SCM Commercial Private Limited,7400000,129.17,Promoter Group,Inter-se-Transfer,PIT
2026-04-22,DEEPAKFERT,PROMOTER_SELLING,Robust Marketing Services Private Limited,7400000,129.17,Promoters,Inter-se-Transfer,PIT
2026-02-26,COFFEEDAY,PROMOTER_PLEDGE,Coffee Day Consolidations Private Limited,4269780,0.0,Promoter Group,,PIT
2026-04-24,COFFEEDAY,PROMOTER_PLEDGE,Coffee Day Consolidations Private Limited,150000,0.0,Promoter Group,,PIT
