SYMBOL,FNO_PCR,FNO_OI_CHANGE_5D,FNO_PRICE_CHANGE,FNO_BUILDUP,FNO_MAX_PAIN,FNO_SIGNAL
SAMMAANCAP,0.674,125.1,1.16,LONG_BUILDUP,145.0,NEUTRAL
SBICARD,0.621,78.18,-4.14,SHORT_BUILDUP,670.0,BEAR
SBILIFE,0.69,65.8,3.2,LONG_BUILDUP,1840.0,NEUTRAL
SBIN,0.755,83.83,-3.53,SHORT_BUILDUP,1100.0,MILD_BEAR
SHREECEM,0.862,141.98,-3.73,SHORT_BUILDUP,25000.0,MILD_BEAR
SHRIRAMFIN,0.479,204.77,-7.22,SHORT_BUILDUP,960.0,BEAR
SIEMENS,0.611,145.19,0.13,LONG_BUILDUP,3800.0,NEUTRAL
SOLARINDS,0.731,142.68,2.83,LONG_BUILDUP,15250.0,MILD_BULL
SONACOMS,0.763,80.12,7.73,LONG_BUILDUP,600.0,MILD_BULL
SRF,0.907,87.71,1.59,LONG_BUILDUP,2540.0,MILD_BULL
SUNPHARMA,0.755,324.13,12.24,LONG_BUILDUP,1740.0,MILD_BULL
SUPREMEIND,0.463,108.18,-1.28,SHORT_BUILDUP,3700.0,BEAR
SUZLON,0.451,118.32,3.1,LONG_BUILDUP,55.0,NEUTRAL
SWIGGY,0.696,215.44,-5.92,SHORT_BUILDUP,280.0,BEAR
TATACONSUM,0.616,19.35,-2.04,SHORT_BUILDUP,1160.0,BEAR
TATAELXSI,0.454,256.79,-1.06,SHORT_BUILDUP,4200.0,BEAR
TATAPOWER,0.697,98.43,2.85,LONG_BUILDUP,450.0,NEUTRAL
TATASTEEL,0.613,114.6,0.79,LONG_BUILDUP,210.0,NEUTRAL
TCS,0.807,173.92,1.64,LONG_BUILDUP,2500.0,MILD_BULL
TECHM,0.776,183.55,8.35,LONG_BUILDUP,1440.0,MILD_BULL
TIINDIA,1.025,216.23,-0.04,SHORT_BUILDUP,3000.0,NEUTRAL
TITAN,0.78,120.75,-0.25,SHORT_BUILDUP,4400.0,MILD_BEAR
TMPV,0.86,236.37,-1.72,SHORT_BUILDUP,355.0,MILD_BEAR
TORNTPHARM,0.786,165.05,1.8,LONG_BUILDUP,4200.0,MILD_BULL
TRENT,0.42,197.5,-3.38,SHORT_BUILDUP,4200.0,BEAR
