SYMBOL,EVENT_TYPE,EVENT_DATE,PURPOSE_RAW,DETAIL,SOURCE
TVTODAY,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
RANEHOLDIN,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results,Financial Results,NSE_EVENT_CALENDAR
NOIDATOLL,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results,Financial Results,NSE_EVENT_CALENDAR
GPIL,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
GOKULAGRO,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
GLAND,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GICHSGFIN,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results/Dividend/Fund Raising/Other business matters,Financial Results/Dividend/Fund Raising/Other business matters,NSE_EVENT_CALENDAR
GANGOTRI,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results,Financial Results,NSE_EVENT_CALENDAR
EMKAY,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
APLLTD,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
IEX,CORPORATE_ACTION,2026-05-15,,,NSE_CORP_ACTION
ANANDRATHI,CORPORATE_ACTION,2026-05-15,,,NSE_CORP_ACTION
CUPID,RESULT_ANNOUNCEMENT,2026-05-15,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
ATULAUTO,RESULT_ANNOUNCEMENT,2026-05-16,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GVT&D,RESULT_ANNOUNCEMENT,2026-05-18,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
NELCAST,RESULT_ANNOUNCEMENT,2026-05-18,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ARVEE,RESULT_ANNOUNCEMENT,2026-05-18,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
MANBA,RESULT_ANNOUNCEMENT,2026-05-18,Financial Results/Dividend/Fund Raising,Financial Results/Dividend/Fund Raising,NSE_EVENT_CALENDAR
RITES,RESULT_ANNOUNCEMENT,2026-05-19,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
HCG,RESULT_ANNOUNCEMENT,2026-05-19,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
BOSCH-HCIL,RESULT_ANNOUNCEMENT,2026-05-19,Financial Results,Financial Results,NSE_EVENT_CALENDAR
BASF,RESULT_ANNOUNCEMENT,2026-05-19,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
MINDTECK,RESULT_ANNOUNCEMENT,2026-05-19,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
LMW,RESULT_ANNOUNCEMENT,2026-05-20,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BOSCHLTD,RESULT_ANNOUNCEMENT,2026-05-20,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
HONAUT,RESULT_ANNOUNCEMENT,2026-05-20,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
JUBLFOOD,RESULT_ANNOUNCEMENT,2026-05-20,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
LENSKART,RESULT_ANNOUNCEMENT,2026-05-20,Financial Results,Financial Results,NSE_EVENT_CALENDAR
MURUDCERA,RESULT_ANNOUNCEMENT,2026-05-20,Financial Results,Financial Results,NSE_EVENT_CALENDAR
LMW,EX_DIVIDEND,2026-05-20,Dividend,Dividend,NSE_EVENT_CALENDAR
MEDPLUS,RESULT_ANNOUNCEMENT,2026-05-20,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
TREJHARA,RESULT_ANNOUNCEMENT,2026-05-21,Financial Results,Financial Results,NSE_EVENT_CALENDAR
EMAMILTD,RESULT_ANNOUNCEMENT,2026-05-21,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
CENTRUM,RESULT_ANNOUNCEMENT,2026-05-21,Financial Results/Fund Raising/Other business matters,Financial Results/Fund Raising/Other business matters,NSE_EVENT_CALENDAR
BIKAJI,RESULT_ANNOUNCEMENT,2026-05-21,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
HYBRIDFIN,RESULT_ANNOUNCEMENT,2026-05-21,Financial Results/Other business matters,Financial Results/Other business matters,NSE_EVENT_CALENDAR
GMBREW,CORPORATE_ACTION,2026-05-21,,,NSE_CORP_ACTION
MTNL,RESULT_ANNOUNCEMENT,2026-05-21,Financial Results,Financial Results,NSE_EVENT_CALENDAR
PAGEIND,RESULT_ANNOUNCEMENT,2026-05-21,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
HINDALCO,RESULT_ANNOUNCEMENT,2026-05-22,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
INDIGOPNTS,RESULT_ANNOUNCEMENT,2026-05-22,Financial Results,Financial Results,NSE_EVENT_CALENDAR
TTKPRESTIG,RESULT_ANNOUNCEMENT,2026-05-22,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
JUBLPHARMA,RESULT_ANNOUNCEMENT,2026-05-22,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
JINDALSAW,CORPORATE_ACTION,2026-05-22,,,NSE_CORP_ACTION
LTTS,CORPORATE_ACTION,2026-05-22,,,NSE_CORP_ACTION
815GS2026,CORPORATE_ACTION,2026-05-22,,,NSE_CORP_ACTION
HBLENGINE,RESULT_ANNOUNCEMENT,2026-05-23,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ARE&M,RESULT_ANNOUNCEMENT,2026-05-25,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
CONCOR,RESULT_ANNOUNCEMENT,2026-05-25,Financial Results/Dividend/Other business matters,Financial Results/Dividend/Other business matters,NSE_EVENT_CALENDAR
IFBIND,RESULT_ANNOUNCEMENT,2026-05-25,Financial Results,Financial Results,NSE_EVENT_CALENDAR
NESCO,RESULT_ANNOUNCEMENT,2026-05-25,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
WIPL,RESULT_ANNOUNCEMENT,2026-05-25,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
JUBLINGREA,RESULT_ANNOUNCEMENT,2026-05-26,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
PGHL,RESULT_ANNOUNCEMENT,2026-05-26,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
GILLETTE,RESULT_ANNOUNCEMENT,2026-05-27,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ESABINDIA,RESULT_ANNOUNCEMENT,2026-05-27,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
662GS2051,CORPORATE_ACTION,2026-05-27,,,NSE_CORP_ACTION
COFFEEDAY,RESULT_ANNOUNCEMENT,2026-05-27,Financial Results,Financial Results,NSE_EVENT_CALENDAR
CUMMINSIND,RESULT_ANNOUNCEMENT,2026-05-27,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
APARINDS,RESULT_ANNOUNCEMENT,2026-05-28,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
BANCOINDIA,RESULT_ANNOUNCEMENT,2026-05-28,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
INSECTICID,RESULT_ANNOUNCEMENT,2026-05-28,Financial Results,Financial Results,NSE_EVENT_CALENDAR
MBECL,RESULT_ANNOUNCEMENT,2026-05-28,Financial Results,Financial Results,NSE_EVENT_CALENDAR
PGHH,RESULT_ANNOUNCEMENT,2026-05-28,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
TIIL,RESULT_ANNOUNCEMENT,2026-05-28,Financial Results,Financial Results,NSE_EVENT_CALENDAR
KOTHARIPRO,RESULT_ANNOUNCEMENT,2026-05-29,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
ASIANPAINT,RESULT_ANNOUNCEMENT,2026-05-29,Financial Results/Dividend,Financial Results/Dividend,NSE_EVENT_CALENDAR
