category_code,category_label,is_thematic,nse_group_raw,index_display_name,api_index_symbol,last,percent_change,pe,pb,year_high,year_low
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,NIFTY AQLV 30,20023.7,-0.29,21.81,4.54,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY HIGH BETA 50,NIFTY HIGHBETA 50,4068.15,-0.98,31.7,3.76,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY LOW VOLATILITY 50,NIFTY LOW VOL 50,24454.9,-0.29,29.9,4.97,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY QUALITY LOW-VOLATILITY 30,NIFTY QLTY LV 30,16385.2,-0.35,26.96,5.96,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY SMALLCAP250 QUALITY 50,NIFTY SML250 Q50,25180.85,-0.31,24.15,5.15,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY TOP 15 EQUAL WEIGHT,NIFTY TOP 15 EW,9886.7,-1.12,20.58,3.65,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY100 ALPHA 30,NIFTY100 ALPHA 30,17880.6,-1.38,18.23,3.58,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY200 VALUE 30,NIFTY200 VALUE 30,15636.65,-1.17,10.28,1.59,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY500 EQUAL WEIGHT,NIFTY500 EW,14174.15,-0.54,29.65,3.83,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY500 MULTICAP MOMENTUM QUALITY 50,NIFTY MULTI MQ 50,41642.65,-0.72,33.45,8.12,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY500 VALUE 50,NIFTY500 VALUE 50,16559.15,-0.93,10.33,1.6,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY TOP 20 EQUAL WEIGHT,NIFTY TOP 20 EW,8772.2,-0.96,22.8,3.91,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY500 QUALITY 50,NIFTY500 QLTY50,19532.25,-0.05,31.1,10.4,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY500 LOW VOLATILITY 50,NIFTY500 LOWVOL50,22100.7,-0.5,23.71,4.46,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY500 MULTIFACTOR MQVLV 50,NIFTY500 MQVLV50,31185.6,-0.79,14.67,2.88,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY50 USD,NIFTY50 USD,8900.5,-1.16,0,0,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY500 FLEXICAP QUALITY 30,NIFTY500 FLEXICAP,9833.1,-0.87,29.58,6.45,0,0
STRATEGY,Strategy / factor,0,STRATEGY INDICES,NIFTY TOTAL MARKET MOMENTUM QUALITY 50,NIFTY TMMQ 50,43029.05,-0.56,32.09,7.83,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY COMMODITIES,NIFTY COMMODITIES,10145.6,-0.7,17.17,2.43,10236.5,8201.8
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA CONSUMPTION,NIFTY CONSUMPTION,11424.85,-1.15,38.55,7.8,12716.2,10298.5
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY CPSE,NIFTY CPSE,7383.4,0.14,15.21,2.38,7421.45,5989.55
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY ENERGY,NIFTY ENERGY,39996.75,0.25,16.54,2.57,40208.25,32791.85
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INFRASTRUCTURE,NIFTY INFRA,9318.25,-0.45,21.5,3.12,9792.6,8426.65
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY100 LIQUID 15,NIFTY100 LIQ 15,7225.25,-1.19,23.4,3.46,7774.6,6565.7
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY MIDCAP LIQUID 15,NIFTY MID LIQ 15,15832.8,-1.06,46.86,5.26,16755.8,13589.9
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY MNC,NIFTY MNC,31888.1,-0.51,39.93,8.73,32242.05,26372.2
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY PSE,NIFTY PSE,10649.7,-0.3,11.57,2.14,10716.8,9160.7
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY SERVICES SECTOR,NIFTY SERV SECTOR,30882,-1.18,20.15,3.32,34549.75,28232.65
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY100 ESG SECTOR LEADERS,NIFTY100ESGSECLDR,4054.75,-1.18,21.81,3.53,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA DIGITAL,NIFTY IND DIGITAL,7900.2,-0.59,57,7.19,10152.15,4755.25
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY100 ESG,NIFTY100 ESG,4919.65,-1.19,22.89,4.07,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA MANUFACTURING,NIFTY INDIA MFG,15507.75,-0.65,28.58,4.5,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,NIFTY TATA 25 CAP,14910.7,-1.42,36.44,5.38,18764.95,9887.45
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,NIFTY MULTI MFG,15817.35,-0.51,29.91,4.13,16323.15,8394.35
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,NIFTY MULTI INFRA,14264.7,-0.51,26.85,3.58,15154.1,8010.1
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA DEFENCE,NIFTY IND DEFENCE,8985.5,0.45,56.68,11.9,9195.15,3374.95
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA TOURISM,NIFTY IND TOURISM,7438.55,-1.75,56.78,9.7,9497.2,6058.05
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY CAPITAL MARKETS,NIFTY CAPITAL MKT,5197,-0.73,46.8,13.37,5331.15,2009.6
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY EV & NEW AGE AUTOMOTIVE,NIFTY EV,2968.2,-1.56,38.29,4.94,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA NEW AGE CONSUMPTION,NIFTY NEW CONSUMP,11003.2,-1.53,59.14,6.9,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),NIFTY CORP MAATR,37494.95,-0.95,29.56,3.5,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY MOBILITY,NIFTY MOBILITY,21447.85,-1.78,32.45,4.7,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY100 ENHANCED ESG,NIFTY100 ENH ESG,4955,-1.18,22.91,4.08,0,0
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY CORE HOUSING,NIFTY COREHOUSING,14884.1,-1.79,33.53,3.58,17961.7,12788.2
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY HOUSING,NIFTY HOUSING,12011.45,-1.06,24.96,3.11,12386.3,9839.7
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY IPO,NIFTY IPO,2118.2,-0.58,68.3,10.96,2387.55,1617.15
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY MIDSMALL INDIA CONSUMPTION,NIFTY MS IND CONS,17814.25,-1.03,81.41,8.46,20923.3,14493.4
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY NON-CYCLICAL CONSUMER,NIFTY NONCYC CONS,15046.95,-0.75,53.57,10.42,18289.65,13081.55
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY RURAL,NIFTY RURAL,15352.2,-1.09,26.78,4.19,16396.4,12304.35
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY SHARIAH 25,NIFTY SHARIAH 25,7939.4,-0.09,27.84,4.99,9449.55,7121.55
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY TRANSPORTATION & LOGISTICS,NIFTY TRANS LOGIS,23798.9,-1.92,40.92,5.5,26459.7,16828.35
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY50 SHARIAH,NIFTY50 SHARIAH,4408.6,-0.36,24.5,4.25,5677.9,4082.25
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY500 SHARIAH,NIFTY500 SHARIAH,6882,-0.39,28.7,4.74,8238.85,6004.55
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY SME EMERGE,NIFTY SME EMERGE,13745.2,-0.32,21.55,3.37,17223.65,11015.55
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY INDIA INTERNET,NIFTY INTERNET,1248.7,-0.72,208.81,6.54,1501.9,1056.45
THEMATIC,Thematic,1,THEMATIC INDICES,NIFTY WAVES,NIFTY WAVES,1980.5,0.47,0,2.49,2789.8,1581.05
