INDEX_NAME,STOCK_SYMBOL
NIFTY MIDCAP 100,POLYCAB
NIFTY MIDCAP 100,BDL
NIFTY MIDCAP 100,TIINDIA
NIFTY MIDCAP 100,TATATECH
NIFTY MIDCAP 100,SONACOMS
NIFTY MIDCAP 100,GODFRYPHLP
NIFTY MIDCAP 100,SWIGGY
NIFTY MIDCAP 100,IREDA
NIFTY MIDCAP 100,MOTILALOFS
NIFTY MIDCAP 100,POWERINDIA
NIFTY MIDCAP 100,WAAREEENER
NIFTY MIDCAP 100,PREMIERENE
NIFTY FINANCIAL SERVICES EX-BANK,SBICARD
NIFTY FINANCIAL SERVICES EX-BANK,CHOLAFIN
NIFTY FINANCIAL SERVICES EX-BANK,LTF
NIFTY FINANCIAL SERVICES EX-BANK,SHRIRAMFIN
NIFTY FINANCIAL SERVICES EX-BANK,ABCAPITAL
NIFTY FINANCIAL SERVICES EX-BANK,PNBHOUSING
NIFTY FINANCIAL SERVICES EX-BANK,MUTHOOTFIN
NIFTY FINANCIAL SERVICES EX-BANK,POLICYBZR
NIFTY FINANCIAL SERVICES EX-BANK,MCX
NIFTY FINANCIAL SERVICES EX-BANK,BAJAJFINSV
NIFTY FINANCIAL SERVICES EX-BANK,BSE
NIFTY FINANCIAL SERVICES EX-BANK,ICICIPRULI
NIFTY FINANCIAL SERVICES EX-BANK,BAJFINANCE
NIFTY FINANCIAL SERVICES EX-BANK,360ONE
NIFTY FINANCIAL SERVICES EX-BANK,PAYTM
NIFTY FINANCIAL SERVICES EX-BANK,CDSL
NIFTY FINANCIAL SERVICES EX-BANK,HDFCLIFE
NIFTY FINANCIAL SERVICES EX-BANK,ANGELONE
NIFTY FINANCIAL SERVICES EX-BANK,SBILIFE
NIFTY FINANCIAL SERVICES EX-BANK,JIOFIN
NIFTY FINANCIAL SERVICES EX-BANK,RECLTD
NIFTY FINANCIAL SERVICES EX-BANK,PFC
NIFTY FINANCIAL SERVICES EX-BANK,MFSL
NIFTY FINANCIAL SERVICES EX-BANK,IRFC
NIFTY FINANCIAL SERVICES EX-BANK,ICICIGI
NIFTY FINANCIAL SERVICES EX-BANK,LICHSGFIN
NIFTY FINANCIAL SERVICES EX-BANK,LICI
NIFTY FINANCIAL SERVICES EX-BANK,HDFCAMC
NIFTY FINANCIAL SERVICES EX-BANK,IEX
NIFTY FINANCIAL SERVICES EX-BANK,CAMS
NIFTY MEDIA,PFOCUS
NIFTY MEDIA,SAREGAMA
NIFTY MEDIA,NAZARA
NIFTY MEDIA,ZEEL
