date_issued,symbol,sector,company,signal,setup_class,investment_score,technical_score,rsi,supertrend_state,price_at_issue,entry_low,entry_high,stop_loss,target_1,target_2,regime_at_issue,fno_pcr,fno_oi_change_5d,fno_buildup,fno_signal,date_resolved,price_at_resolution,return_pct,hit_target,hit_stop,action_bucket,action_reason,fii_flow_signal,insider_alert,insider_score,insider_detail
2026-05-03,COCHINSHIP,Defence & Aerospace,COCHIN SHIPYARD LIMITED,HOLD,NEUTRAL,62.03,60.7,72.7,BULLISH,1695.6,1678.64,1707.92,1577.92,1716.5,1930.44,BEAR_TREND,0.694,51.71,LONG_BUILDUP,NEUTRAL,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,CESC,Energy - Power,CESC LTD,HOLD,NEUTRAL,61.53,58.0,85.8,BULLISH,191.27,189.36,192.33,178.0,193.3,217.76,BEAR_TREND,,,,,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,MTARTECH,Defence & Aerospace,MTAR TECHNOLOGIES LIMITED,WEAK_HOLD,NEUTRAL,60.48,48.0,75.3,BULLISH,5292.1,5239.18,5397.94,4924.83,5445.0,6025.06,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,BULK_DEAL_BUY,0.0,Bulk Deal Buy: JUMP TRADING FINANCIAL INDIA P ₹101.8Cr; Bulk Deal Sell: JUMP TRADING FINANCIAL INDIA P ₹102.4Cr
2026-05-03,BHARATFORG,EV & Auto Ancillaries,BHARAT FORGE LTD,HOLD,NEUTRAL,59.61,60.0,61.7,BULLISH,1894.8,1875.85,1915.38,1763.3,1925.0,2157.23,BEAR_TREND,0.763,-1.47,NEUTRAL,NEUTRAL,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,DCXINDIA,Defence & Aerospace,DCX SYSTEMS LIMITED,HOLD,NEUTRAL,58.68,60.7,63.4,BULLISH,201.56,199.54,205.59,187.57,209.65,229.47,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,JSWENERGY,Energy - Power,JSW ENERGY LIMITED,HOLD,NEUTRAL,58.59,54.7,71.2,BULLISH,580.9,575.09,572.62,540.58,575.5,661.35,BEAR_TREND,0.573,-3.72,NEUTRAL,NEUTRAL,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,NLCINDIA,Energy - Power,NLC INDIA LIMITED,HOLD,NEUTRAL,58.12,50.0,73.5,BULLISH,318.15,314.97,320.39,296.07,322.0,362.22,BEAR_TREND,,,,,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
2026-05-03,NTPCGREEN,Energy - Power,NTPC GREEN ENERGY LIMITED,HOLD,NEUTRAL,58.08,51.3,67.1,BULLISH,115.81,114.65,118.13,107.77,119.95,131.85,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,AEROFLEX,Defence & Aerospace,AEROFLEX INDUSTRIES LTD,HOLD,NEUTRAL,56.53,52.7,58.7,BULLISH,293.03,290.1,298.89,272.69,321.4,333.62,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,TORNTPOWER,Energy - Power,TORRENT POWER LTD,HOLD,NEUTRAL,56.53,50.7,73.8,BULLISH,1754.9,1737.35,1790.0,1633.11,1824.1,1997.95,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,SANSERA,EV & Auto Ancillaries,SANSERA ENGINEERING LTD,HOLD,NEUTRAL,55.82,51.3,67.2,BULLISH,2576.7,2550.93,2619.74,2397.87,2632.9,2933.57,BEAR_TREND,,,,,,,,,,WATCHLIST,Mixed setup; wait for cleaner confirmation.,DII_ABSORBING,,,
2026-05-03,SONACOMS,EV & Auto Ancillaries,SONA BLW PRECISION FRGS L,HOLD,NEUTRAL,55.77,58.7,64.7,BULLISH,598.8,592.81,593.97,557.24,596.95,681.73,BEAR_TREND,0.783,3.28,NEUTRAL,NEUTRAL,,,,,,BREAKOUT_WATCH,Near high/base setup; wait for price and volume breakout confirmation.,DII_ABSORBING,,,
